url,name,description,brand,price,thc_min,thc_max,flowering_min,flowering_max,yield_min,yield_max,genetics,type,flavors,seedbank,quality_score,effects,cbd_min,cbd_max
https://www.gorilla-cannabis-seeds.co.uk/growerschoice/feminized/platinum-mimosa-cookies.html,Platinum Mimosa Cookies Cannabis Seeds,"Discover Platinum Mimosa Cookies Feminized Seeds with 30%+ THC, fast 8-week flowering, and yields over 750g per plant. A premium blend of Platinum Cookies and Mimosa. Available now!",Growers Choice,,30,30,8,8,750,750,"Platinum Cookies × Mimosa for a balanced, high-end profile",Autoflower,"Sweet, Fruity, Citrus, Lemon",Gorilla Seeds Bank,76.42276423,,,
https://www.gorilla-cannabis-seeds.co.uk/faq/how-do-i-add-stealth-delivery.html,Gorilla Cannabis Seeds,"Before contacting a Cannabis Seeds representative, please review this list of frequently asked questions to find out if your issue has been addressed.",Bitcoi,99,,,,,99,99,,Autoflower,,Gorilla Seeds Bank,33.33333333,,,
https://www.gorilla-cannabis-seeds.co.uk/barneysfarm/feminized/gorilla-zkittlez.html,Gorilla Zkittlez Feminized Cannabis Seeds,"Discover Gorilla Zkittlez Feminized Cannabis Seeds by Barney’s Farm. High THC, incredible yields, and delicious flavors await. Shop online now at Gorilla Seeds!",Barney,,24,24,,,700,700,Glue x Zkittlez,Autoflower,"Fruity, Earthy",Gorilla Seeds Bank,65.04065041,Creative,,
https://www.gorilla-cannabis-seeds.co.uk/seedbank.html,seedbank,"Discover a vast selection of cannabis seed banks at Gorilla Seeds, featuring high-quality strains for every grower. Shop trusted brands and find your perfect seeds today!",,,,,,,,,,Autoflower,"Sweet, Fruity, Lemon, Grape",Gorilla Seeds Bank,19.51219512,Focused,,
https://www.gorilla-cannabis-seeds.co.uk/feminisedseeds/feminized/gorilla-glue.html,Gorilla Glue Seeds,"New for 2016, Feminised Seeds releases Gorilla Glue, bred from reversed cuts of the original couchlocker. Get these rare weed seeds now.",,,,,,,,,34% Sativa,Autoflower,"Earthy, Pine",Gorilla Seeds Bank,22.76422764,,,
https://www.gorilla-cannabis-seeds.co.uk/anesia/feminized/elementz-feminized.html,Elementz Feminized Cannabis Seeds,"Discover Elementz Feminized Cannabis Seeds from Anesia, featuring astonishing THC levels up to 38%. Enjoy a unique flavor profile with notes of grape and exotic fruits, perfect for connoisseurs seeking potent and high-quality cannabis. Elevate your collec","Anesia





















































Java",,38,38,7,8,550,550,UhOh x Epic,Autoflower,"Fruity, Grape",Gorilla Seeds Bank,76.42276423,,,
https://www.gorilla-cannabis-seeds.co.uk/drkrippling/feminized/the-incredible-bulk-feminized-seeds.html,The Incredible Bulk Feminized Seeds,Get The Incredible Bulk Feminized Seeds for massive yields up to 1500g per plant and potent 24% THC. This fast-flowering strain offers easy cultivation with top-rated Indica genetics.,,,24,24,7,8,1500,1500,Bud X Super,Autoflower,"Sweet, Earthy",Gorilla Seeds Bank,76.42276423,"Euphoric, Creative",,
https://www.gorilla-cannabis-seeds.co.uk/faq/legal-disclaimer.html,Gorilla Cannabis Seeds,"In accordance with UK law, Gorilla Seeds sells genuine cannabis seeds from an international set of elite breeders for collection or souvenir purposes only.",Gorilla Seeds,,,,,,,,,Autoflower,,Gorilla Seeds Bank,14.63414634,,,
https://www.gorilla-cannabis-seeds.co.uk/fastbuds/autoflowering/gorilla-cookies-auto.html,Gorilla Cookies Auto,"Discover Gorilla Cookies Auto by FastBuds. High-THC autoflowering seeds with bold flavors, legendary genetics, and unmatched potency. Shop now!",Fast,,27,27,,,49,49,Premium cannabis seeds bred for speed without sacrificing quality or yield,Autoflower,"Sweet, Citrus, Earthy, Pine, Diesel",Gorilla Seeds Bank,65.04065041,Euphoric,,
https://www.gorilla-cannabis-seeds.co.uk/barneysfarm/feminized/gelato--45.html,GELATO #45,"GELATO #45 <h4>WHAT ARE YOU WAITING FOR?</h4>
<p>Gelato #45 by Barney's Farm is modern cannabis breeding at its absolute best. Recognising the quality of the Gelato genotype, the breeders at Barney's Farm saw it's true potential, and de",Barney,,,,,,99,99,Sunset Sherbet x Thin Mint (GSC),Autoflower,"Sweet, Earthy, Skunky",Gorilla Seeds Bank,43.90243902,,,
