seed_bank,breeder_name,seed_type,growth_type,source_url,extraction_methods_used,scraped_at,about_info,genetics,strain_name,availability,data_completeness_score,quality_tier,breeding_notes,awards,plant_height,yield,aroma_flavour,effects,medicinal_effect,grow_difficulty,growth_odour,indica_sativa
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/zo-raven,"['description', 'patterns', 'fallback']",2026-01-10T22:35:54.602453,"Lemon, strawberries, cream, candy and chemicals. A taste sensation in the waiting. Expect a squatter plant with beautiful fades and colours across the spectrum as she comes to the end of flower.","es, we've paired some of the finest strains in the Mephisto catalogue to a hand-selected Do-si-delirium pollen donor",Zo Raven,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/zinfandel,"['description', 'patterns', 'fallback']",2026-01-10T22:35:55.044837,Introducing our third drop of our new format Limited Editions! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Livers BX1 project which took 12 generations of breeding to get to the point of release; our Walter White,; with our Artisanals line we put in the work and take things to a level that not many others do,Zinfandel,SoldOut,42.9,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/willys-gum,"['description', 'patterns', 'fallback']",2026-01-10T22:35:55.439300,"Willy's Gum Old School Mango Haze x HubbaBubbaHaze15/85 Bubblegum, mango and that classic haze goodness. Sweet on the nose and the inhale, she’s more complex than the name might give her credit for. Expect a bigger girl that might take some taming, but the work will be more than worth it in the end.","es we’ve paired our award-winning Old School Mango Haze with some beautiful ladies from across the Mephisto arsenal, each designed to get those taste buds tingling and the head spinning, in the best possible way",Willys Gum,SoldOut,42.9,Medium,,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/white-wedding,"['description', 'patterns', 'fallback']",2026-01-10T22:35:55.973285,"Originally only available as a special freebie strain as part of our third new format Limited Editions, White Wedding is, for the first time, available for purchase! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Li",; with our Artisanals line we put in the work and take things to a level that not many others do,White Wedding,,40.2,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/white-raven,"['description', 'patterns', 'fallback']",2026-01-10T22:35:56.949586,Introducing our third drop of our new format Limited Editions! Walter White Bx1 isn’t our first backcross; with our Artisanals line we put in the work and take things to a level that not many others do. As with our Livers BX1 project which took 12 generations of breeding to get to the point of release; our Walter White,; with our Artisanals line we put in the work and take things to a level that not many others do,White Raven,SoldOut,42.9,Medium,"to get to the point of release; our Walter White BX1 has been a labour of love, beginning the second outcross to our cut of Krome’s ‘The White’ in 2018",,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-61-white-creme,"['description', 'patterns', 'fallback']",2026-01-10T22:35:57.570036,Brand new for 2022Illuminauto #61 - White CremeWalter White x Creme de la Chem,,Illuminauto 61 White Creme,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/white-crack,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:35:58.019749,"White Crack was initially just given out as a freebie for European orders during 2016-2017, she recieved such good feedback she was added as a Worldwide Limited Edition in 2018 and now she's back again, this time with our first wave Reserva release!",,White Crack,SoldOut,79.5,High,,on a lot of levels,60 to 90cm,100 to 180 grams.,"Funky, creamy, sweet. Flavours are creamy, with peppery hints, sweet notes on the end.","Sweet, Spicy, and Fruity","Sedative pain killing qualities, appetite and sleep inducing",Independently tested at over 27% THC,Medium,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-71-wedding-train,"['description', 'patterns', 'fallback']",2026-01-10T22:35:58.541379,"All Illuminauto strains are untested, aside from our usual germination and general quality control tests. These seeds are listed more cheaply than our usual catalogue items, as we use these lines as a testbed to find the best fire to add to our catalogue for longer-term use.Released as part of our June 2023 Illuminauto",,Illuminauto 71 Wedding Train,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/wedding-doves,"['description', 'patterns', 'fallback']",2026-01-10T22:35:58.988949,"Wedding Doves Mephisto's Wedding x Ravenberry Mephisto's Wedding and Ravenberry's union results in Wedding Doves. This strain is like a matrimonial celebration, bursting with love, sweet berry flavours, and a hint of festive spice.",the Mephisto Genetics range to pair with some epic female Ravenberry plants,Wedding Doves,SoldOut,42.9,Medium,s made in Spain by Mitch & Tim with F1 to F3 selections made for the first time in Canada by our newest team member Terrance,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/mephistos-wedding,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:35:59.387026,"You are cordially invited to witness the union of our beautiful farm friends Marley and Pepper! Our first strain to be bred outside of our little farmstead in España, and instead in our new home in the US by Nico in NorCal. Using Seed Junky’s legendary Wedding Cake cut crossed to Double Grape to make our F1 selections ","North America for some time now, but finding a cut we were completely happy with had become a bit of a running gag at the farm; the ‘Wedding Cake treatment’ become a synonym for nitpicking or splitting hairs",Mephistos Wedding,SoldOut,85.7,Premium,s,", but we weren’t quite done yet, we wanted to add an extra bit of Meph confetti to the white wedding",50 to 80cm,70 to 90 grams.,"Very dank, funky chemical and gas with a hint of grape. Sweet vanilla, like grape Victoria sponge on the exhale.","Gassy, Fruity, and Sweet",Great for aching joints and insomnia.,Intermediate,High,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/war-pigs,"['description', 'patterns', 'fallback']",2026-01-10T22:35:59.762318,"Sound the sirens—War Pigs is a battle-ready fusion of Old School Mango Haze x 505 Headbanger, delivering a riot of tropical fruit, classic haze spice, and sour funk. Ripe mango, overripe pineapple, and citrus zest hit first, followed by earthy haze and sharp diesel undertones creeping in like a slow-building storm. Lik",,War Pigs,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/1-walt,"['description', 'patterns', 'fallback']",2026-01-10T22:36:00.141074,"A meshing of two of our longest projects; Walter White BX1 was a labour of love on the farm by both Mitch and Tim. Outcrossing a second time with our cut of Krome ‘The White’ for 5 generations, she’s a fine-tuned, more indicia-leaning strain than our Original Walter White and closer to her photoperiod parent. Whilst re","ing a second time with our cut of Krome ‘The White’ for 5 generations, she’s a fine-tuned, more indicia-leaning strain than our Original Walter White and closer to her photoperiod parent",1 Walt,SoldOut,42.9,Medium,s of our new high THC catalogue favourites,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/violets-crinkle,"['description', 'patterns', 'fallback']",2026-01-10T22:36:00.544149,"“Violet, you’re turning violet!” — and this strain leans all the way in. A stinky purple knockout with a nose like funky gym socks and a punch like a bedtime hammer, Violet’s Crinkle is all gas, skunk, and sedation. Dense, frosty buds with deep purples and a full-bodied couch-lock hit make this one a heavy, dreamy smok",,Violets Crinkle,SoldOut,36.6,Basic,s from our catalogue,#NAME?,,,,,,,,
