source_url,strain_name,primary_generation,breeding_method,phenotype,lineage,breeder_name,bank_name,seed_gender,flowering_behavior,sativa_percentage,indica_percentage,thc_min,thc_max,thc,cbd_min,cbd_max,cbd,flowering_days_min,flowering_days_max,height_indoor_description,height_indoor_cm,yield_decription,indoor_yield_min_g,indoor_yield_max_g,outdoor_yield_min_g,outdoor_yield_max_g,effects,flavors,terpenes,grow_difficulty,scraped_at,strain_info,quality_score,confidence_notes
https://neptuneseedbank.com/product/nasha-genetics-zz-bang/,ZZ Bang,,,#31,Jokerz #31 X Zoap,Nasha Genetics,Neptune Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T03:17:20.182976Z,Nasha Zz Bang is a cannabis strain bred by Nasha Genetics. Its genetic lineage is a cross between Jokerz #31 and Zoap.,1,"Webpage content was empty, so all additional details (THC/CBD, genetics ratios, flowering time, effects, flavors) are missing. The enhanced info is based solely on the provided scraped data."
https://www.cannabis-seeds-bank.co.uk/archive-seeds-zwoosh/prod_9996,Zwoosh,,,,Zkittlez X Oishii,Archive Seeds,The Attitude Seed Bank,Regular,Photoperiod,,,,,,,,,63,50,Stretch Medium,,,,,,,,"potpourri skunk, tropical-candy",,,2025-11-25T14:51:50.904813,"Zwoosh, a hybrid cultivar from Archive Seedbank, is a powerful strain built on dominant Zkittlez traits, resulting from a cross between Zkittlez and Oishii. It is renowned for its complex aroma, featuring a potpourri skunk profile layered over the classic tropical-candy notes inherited from Zkittlez. This fast-flowering strain typically finishes in 7 weeks (49-50 days), though some phenotypes may exhibit slightly longer flowering periods. While it requires precise environmental fine-tuning and nutrient management, Zwoosh rewards growers with medium to high yields and explosive terpene profiles. Its compact stature and rapid rotation potential make it particularly well-suited for multi-tier LED setups, enabling ambitious growers to achieve multiple harvests annually. Zwoosh is positioned as a connoisseur-level cultivar capable of delivering commercial-grade returns.",3,"THC, CBD, Sativa/Indica percentages, and explicit effects were not found in the provided text. Flowering time was derived from '7 Weeks / 50 Days'. Flavors were extracted from the aroma description. The webpage content was irrelevant for strain-specific data."
https://www.cannabis-seeds-bank.co.uk/grounded-genetics-zwisher/prod_9439,Zwisher,,,,Swoosh X Zhoreline,Grounded Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,56,60,Stretch Large,,,,,,,,"tropical fruit, sweet, dessert",,,2025-11-25T08:48:04.522793,"Zwisher, a creation by Grounded Genetics, is an exceptional cannabis strain renowned for its distinctive flavor profile and striking visual appeal, setting a new benchmark in exotic cannabis genetics. This cultivar is the result of crossing a super Sherb-dominant phenotype of Swoosh ([Gary Payton x {41 x Sherb BX1}] x [OZ Kush x {41 x Sherb BX1}]) with reversed pollen from a meticulously selected Zkittlez x Shoreline winner. Zwisher plants are a visual masterpiece, producing dense, colorful colas adorned with a shimmering layer of silvery resin glands. The flowers exhibit vibrant shades of dark purple contrasted by frosty, large-glandular trichomes, ensuring supreme bag appeal. It boasts a complex bouquet of exotic tropical fruit aromas infused with sweet, dessert-like undertones, delivering an unparalleled sensory experience. This strain has a flowering time of 56 to 60 days and offers medium to high yields.",3,"THC, CBD, and Sativa/Indica percentages were not found in the provided text. Effects were not explicitly listed. Flowering time and flavors were successfully extracted and integrated into the enhanced description."
https://multiversebeans.com/product/aeque-genetics-zwiesel-strain-auto-fem-3-pack/,Zwiesel Auto,,,,,Aeque Genetics,Multiverse Beans,Feminized,Autoflowering,,,,,,,,,,,,,,,,,,,,,,2025-11-24T21:20:55.086074Z,"Zwiesel is an autoflowering, feminized cannabis strain developed by Aeque Genetics. It is available in 3-pack seed quantities.",1,"Most fields are null as the provided webpage content for 'Zwiesel' only specifies it as an 'Auto Fem' strain from 'Aeque Genetics' and its pack size. No details regarding THC/CBD percentages, specific genetics (sativa/indica ratios), flowering time, effects, or flavors were present for this particular strain."
https://www.northatlanticseed.com/product/new-zweet-og-r2-f/,Zweet OG,R2,,#1,,Ethos Genetics,North Atlantic Seed Company,Feminized,,,,,,,,,,,,,,,,,,,,,"Heavy Gas, Chem, Lemon Lime Candy",,2025-11-24T17:10:11.809763Z,"Zweet OG R2 (F) is a cannabis strain available for purchase online through North Atlantic Seed Co. This strain has been recognized for its quality, having been voted #1 by the ICA Cannabis Awards. North Atlantic Seed Co. emphasizes fast shipping and premium genetics for this offering.",1,"The provided webpage content is primarily navigational and promotional for North Atlantic Seed Co. and does not contain specific details regarding THC/CBD percentages, genetics ratios, flowering time, effects, or flavors for the Zweet OG R2 strain. All specific data points are null due to lack of information in the source text."
https://www.northatlanticseed.com/product/zweet-inzanity-rBX-f/,Zweet Inzanity,,RBX,#1,,Ethos Genetics,North Atlantic Seed Company,Feminized,,,,,,,,,,,,,,,,,,,,,"Powdered Sugar, Sweet Citrus, Sour Gasoline",,2025-11-24T16:40:31.149205Z,"Zweet Inzanity RBX (F) cannabis seeds are available for purchase online from North Atlantic Seed Co., an online retailer that requires age verification (21+) for all purchases. The strain has been recognized with an award, being voted #1 by the ICA Cannabis Awards. North Atlantic Seed Co. emphasizes fast shipping and premium genetics for their products.",1,"The webpage content provided is primarily navigational and promotional, offering no specific details regarding the strain's THC/CBD percentages, genetic ratios, flowering time, effects, or flavors. The enhanced info is based solely on the scraped data and the limited context from the webpage about the vendor."
https://www.northatlanticseed.com/product/zweet-chem-r/,Zweet Chem,,,#1,,Clearance,North Atlantic Seed Company,Regular,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T18:28:51.646517Z,"Information regarding the Zweet Chem R strain, including its specific genetic profile, cannabinoid percentages, flowering time, effects, and flavors, could not be extracted from the provided webpage content. The URL led to a 'Page not found' error on the North Atlantic Seed Co. website, preventing access to detailed strain information.",1,"The provided webpage content resulted in a 'Page not found' error, making it impossible to extract any specific details about the Zweet Chem R strain. All fields are null due to lack of data."
https://multiversebeans.com/product/ethos-genetics-zweet-auto-rBX2-strain-auto-fem/,Zweet Auto,,RBX2,,,Ethos Genetics,Multiverse Beans,Feminized,Autoflowering,,,,,,,,,,,,,,,,,,,,,,2025-11-24T21:15:17.276896Z,"Zweet Auto RBX2 is an autoflowering, feminized hybrid strain developed by Ethos Genetics. It is categorized as a hybrid, encompassing characteristics of both Indica and Sativa varieties. This strain is offered in various seed pack sizes, including 1, 3, 5, and 10 seeds.",1,"Most detailed information such as THC/CBD percentages, specific sativa/indica ratios, flowering time in weeks, effects, and flavors were not present in the provided webpage content. The scraped lineage 'Zweet Inzanity x Durban Auto' was not found on the webpage for Zweet Auto RBX2."
https://www.northatlanticseed.com/product/zweet-auto/,Zweet Auto,,,#1,,Ethos Genetics,North Atlantic Seed Company,Feminized,Autoflowering,,,,,,,,,,,,,,,,,,,,"Lemon Lime Candy, Sour Fuel, Sweet Citrus",,2025-11-24T18:22:36.835554Z,"Zweet Auto RBX2 is an autoflowering cannabis strain available for purchase online through North Atlantic Seed Co. This strain has received recognition, being voted #1 by the ICA Cannabis Awards, and is marketed with a focus on premium genetics and fast shipping.",1,"The provided webpage content and scraped data offer very limited information about the Zweet Auto RBX2 strain itself. No details regarding THC/CBD percentages, genetics ratios, flowering time, effects, or flavors were found. The enhanced_info paragraph synthesizes the available marketing information."
https://www.northatlanticseed.com/product/zuzu-fruit/,Zuzu Fruit,,,#1,,Secret Society Seed Co.,North Atlantic Seed Company,Regular,,,,,,,,,,,,,,Heavy,,,,,,,,,2025-11-24T17:10:01.548133Z,"Zuzu Fruit (R) cannabis seeds are available for purchase online through North Atlantic Seed Co., a retailer recognized for fast shipping and premium genetics. The company has been voted #1 by the ICA Cannabis Awards.",1,"The provided webpage content did not contain any specific strain details such as THC/CBD percentages, genetics, flowering time, effects, or flavors. The enhanced info is based solely on the limited scraped data."
