seed_bank,source_url,strain_name,mother,reversal,category,genetics_lineage,sex,pack_size,sku
Exotic Genetix,https://exoticgenetix.com/product/alpha-one-3231313/,Alpha One,The One,Grape Jubilee,Unreleased,The One x Grape Jubilee,,,
Exotic Genetix,https://exoticgenetix.com/product/big-ripper-2/,Big Ripper,Grease Monkey,Scotty 2 Hotty,Exclusives,Grease Monkey x Scotty 2 Hotty,Feminized,6 Seeds,
Exotic Genetix,https://exoticgenetix.com/product/sweat-helmet/,Sweat Helmet,Sherb,,,,Regular,11 Seeds,
Exotic Genetix,https://exoticgenetix.com/product/big-league-sherb-regs/,Big League Sherb,Sherb,,Backstock,,Regular,11 Seeds,EG164
Exotic Genetix,https://exoticgenetix.com/product/breakfast-of-champions/,Breakfast of Champions,Strawberry Gary,Cereal Milk,Unreleased,Strawberry Gary x Cereal Milk,Feminized,,
Exotic Genetix,https://exoticgenetix.com/product/splash-daddy-gen/,Splash Daddy,Zoap,Drippin’ Aint Eazy,Drippin' Aint Eazy,Zoap x Drippin’ Aint Eazy,Feminized,6 seeds,DAE-0007
Exotic Genetix,https://exoticgenetix.com/product/tina/,Tina,Constantine,,Regular,,Regular,11 seeds,EGTB-001
Exotic Genetix,https://exoticgenetix.com/product/blueberry-bang-bang-player-packs/,Blueberry Bang Bang Player Packs,,,Player Packs,,,,PPBBB-01
Exotic Genetix,https://exoticgenetix.com/product/dunkin-dandy/,Dunkin’ Dandy,Milk & Cookies,Falcon-9,Unreleased,Milk & Cookies x Falcon-9,Feminized,,
Exotic Genetix,https://exoticgenetix.com/product/nal-nudda/,Nal Nudda – Early Release Label,Grease Monkey,Drippin’ Aint Eazy,Drippin' Aint Eazy,Grease Monkey x Drippin’ Aint Eazy,Feminized,6 Seeds,
