seed_bank,source_url,strain_name,breeder_name,spec_indoor,spec_outdoor,spec_cannabis_genetics,spec_flowering_time,spec_thc,spec_thc_notes,spec_medical,spec_flowering_outdoors,spec_indoor_yield,spec_mainly_indica,spec_sativa_/_indica_ratio,features_all,thc_content,overview,description,flavors_all,primary_flavor,spec_height_info,spec_height_notes,spec_flavour,spec_aroma,spec_outdoor_yield,spec_yield_notes,spec_greenhouse,thc_min,thc_max,effects_all,primary_effect,spec_auto_flowering,spec_autoflowering_cycle,spec_yield,spec_cbd,flowering_time,cbd_content,spec_mainly_sativa,spec_indica_100%,spec_medical_cannabis_info,indoor_yield_min,indoor_yield_max,indoor_yield_range,outdoor_yield_min,outdoor_yield_max,spec_mix_packs,spec_cup_winner,spec_cannabis_cup,spec_cbn,spec_sativa_100%
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/deliciousseeds/feminized/black-russian-feminized.html,Delicious Seeds Black Russian Feminized,Delicious Seeds,Yes,Yes,Black Domina / White Russian,7-8 weeks,V.Strong,20%,Yes,take by mid September,450 gr/m2 indoor,Yes,20% sativa 80% indica,100% Feminized Seeds | 80% Indica: 20% Sativa | 50 to 55 Day Finish | Super Potent - 20% THC | 450 gr/m2 Inside,20,"Meet the USSR's best export - Black Russian Feminized Seeds! Highly medicinal & extremely potent, Black Russian measures in at 20% THC with astronomical yields in just 50 to 55 days after the flip. Best of all you don't even have to go to Moscow to get these beasts - The Gorilla's done all the legwork for you!","About Delicious Seeds Black Russian FeminizedDeliciousSeedsBlack RussianFeminizedTakesMMJto the Highest Level …And then leaps even higher! A premium mix of frost-coveredWhite Russianand the eliteBlack Domina,Black RussianFeminizedSeedsput the M in MMJ. These high-performancecannabisseedsare a full 80%Indicawith an astronomical 20%THCfor deep physical relaxation that'll leave you feeling as loose & limp as an old banana peal - in a good way, of course!Black RussianFeminizedis an Extremely Physical 80%IndicaGreat for Both MMJ or Recreation20%THC, Moisture Resistant, Strong & StableConnoisseur Quality with Amazing Flavour & FragranceSweetSeedsBlack RussianFeminizedsmells great & tastes even better! Depending on the phenotype, the flavours & aromas range from lush tropical fruit to sweet, sugar-coated candy. Yum! And, you won't have to wait forever to find out exactly what's what; On average,Black Russianonly needs 50 to 55 days after the flip to get the job done. These ladies do not f*ck around!This description ofBlack RussianFeminizedis based on the features displayed by the mother plant as described by the original breeder,DeliciousSeeds.GorillaSeedssellscannabisseedsfor legal collection purposes only & prohibits any illegal usage including germination & cultivation.Buy Your Black RussianFeminizedSeedsfrom GorillaSeedsNow - No One Beats Our Prices!",sweet,sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/barneysfarm/feminized/purple-punch-x-lemon-drizzle.html,Purple Punch x Lemon Drizzle Feminized Seeds,Barneys Farm Seeds,Yes,,Purple Punch Strain x Lemon Drizzle Strain,7-8 weeks,V.Strong,24-26%,,October,650 gr/m²,Yes,55% Indica,"Genetics:Purple Punch x Lemon Drizzle | THC Levels:Up to 24% | Flavor Profile:Sweet berries, tangy citrus, and earthy undertones | Effects:Uplifting, relaxing, and mood-enhancing",24,"Purple Punch x Lemon Drizzle Feminized Seeds combine the sweet, berry notes of Purple Punch with the zesty citrus of Lemon Drizzle. This balanced hybrid delivers up to 24% THC, offering uplifting effects followed by a calming, full-body relaxation.","About Purple Punch x Lemon Drizzle Feminized SeedsPurple Punch x Lemon Drizzle Feminized Seedsare a testament to creative cannabis breeding, blending two flavorful and potent strains into one incredible hybrid. This balanced strain offers the best of both worlds, starting with an uplifting burst of euphoria that melts into a deeply relaxing body high.The flavor profile is just as impressive as its effects. Sweet, juicy berry notes fromPurple Punchmeet the tangy citrus zest ofLemon Drizzle, creating a smooth, flavorful smoke that’s as satisfying as a fruity dessert.Whether you’re looking to spark creativity or unwind after a long day, Purple Punch x Lemon Drizzle has you covered. Its balanced effects make it a versatile choice for both daytime and evening use.Why Choose Purple Punch x Lemon Drizzle Feminized Seeds?Vibrant Flavors:A blend of sweet berry and zesty citrus with earthy undertones.Balanced Effects:Uplifting and mood-boosting, followed by deep relaxation.High Potency:Withup to 24% THC, it delivers a powerful, long-lasting experience.","earthy, sweet, citrus, fruity",earthy,medium,Indoors 100-120cm / Outdoors 150 – 180cm,"Blueberry, Candy, Sweet Grapes, Sour Citrus, Creamy Vanilla","Blueberry Pie, Sweet, Sour, Citrus, Earthy, Grapes",1.5kg per Plant,650 gr/m² Indoors / 1.5kg per Plant,Yes,24,26,"relaxing, uplifting, creative, calming",relaxing,,,,,,,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/seedstockers/autoflowering/bcn-critical-xxl-auto.html,BCN Critical XXL Auto,Seed Stockers,Yes,Yes,Kritical Bilbo X Critical Mass X Auto,Autoflowering,V.Strong,22% THC or more,,,,,,,,"BCN Critical XXL Auto does it all … and does it in just 75 days from seed. This mixture of award-winning genetics produces huge colas made up of gigantic buds oozing with THC-filled terpenes in just 75 days from seed. The aromas are tart citrus, the taste is candied lemon, and the happy-chill high goes on for hours. Isn't that everything you could possibly dream of, all wrapped up in a convenient, uncomplicated autoflowering seed?!","About BCN Critical XXL AutoWith 22%THCor More, The Happy, Calm Highs Have Staying Power!With large top colas and twin sets of XLbudsat every lower node, BCN Critical XXL Auto is the highest yieldingCritical Plus Autowe've ever seen, bar none! This is most definitely a fluff-free and no-disappointment zone. To get there in just 75 days from seed, Seed Stockers didn't sacrifice anything but the wait. We expected nothing but the highest quality from these award-winning Kritical Bilbo X Critical Mass cross and they over delivered!BCN Critical XXL Auto Flowering Time = 75 Days fromSeed!Strong Highs - Hours of Happy, Chill EnjoymentFresh Citrus Aroma Paired with a Candied-Lemon TastePriced to Move with Fast, International Shipping!Vigorous and rapidly developing from the start, the only thing BCN Critical XXL Autoseedscould only to be faster is to start throwing pistils inside their pack! Theybudup quickly with an abundance of frost-laden flowers that are heavy for their size. Give this citrus-scented beauty the support she needs to prevent breakage from the weight. Order thisSeedStocker's best seller today in packs of 3 to 25cannabisseeds!EvenSeedStockers Was Shocked By BCN Critical XXL Auto'sYields!NB:BCN Critical XXL Auto is extremely fast, but her big sister, photoperiodBCN Critical XXL, is a bit stronger. Why not pick up a pack of each? These collectible souvenirs are for holding not germinating.","sweet, citrus",sweet,,,Sweet Lemon,Citrus,,XXL,Yes,,,happy,happy,Yes,75 Days fro m Seed,Good,,,,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/dinafem/autoflowering/haze-automatic.html,Haze Automatic,DinaFem Seeds,Yes,Yes,Roadrunner (Lowryder #1 X DinaFem #1) X JYD Haze,Autoflowering,Average,6 to 12%,,From April to October,,Yes,55% Indica/20% Sativa/25% Ruderalis,100% Feminized Seeds | Fully Autoflowering | Indica Dominant | High Yields/Medium THC,,"The Gorilla was going to tell you how Haze Automatic is an Indica, Sativa, Ruderalis hybrid but he forgot. He’s chilling in his lounger. This autoflowering queen of the sofa is sure to take you to your happy place, without sapping what precious little drive you have left. She’s also a champ at mending hurt feelings if that offends you.","About Haze AutomaticHaze AutomaticFeminizedis not a cure for butt stink or a runny nose, but her highCBDlevels are sure to keep you comfortable with your hurt feelings and such.Speaking of stink,Haze Autosmells great and offers crisp, fresh flavour the family will enjoy. Here’s some other things The Gorilla forgot to tell you about:Great during or while skipping college classesLowryder #1,JYD Haze,DinaFem #1hybridSuper high-yieldautoflowering seedsShe’s thecannabisseedwith the speed you need, and you’d better heed this breed. Her secret to success is her heritage. This tough hybrid honey is super hard working outdoors and in, with a compact size that makes her perfect for any tight space, including pants pockets.The Gorilla is too hazed out to remind you about his high standards, fast shipping, secure purchasing, and discreet packaging, so be sure to check back tomorrow and he’ll remind you then. Until then, drink plenty of fluids and continue browsing his awesome selection ofmarijuanaseeds.Buy DinaFemSeedsHaze Automatic and Get Hazy Now!NB:The Gorilla is never too hazed out to know the law. Our products, while 100% genuine, are for amusement only. Do not, under any circumstances, attempt your ownHaze Automaticgrow.And, if you like thisHaze AutomaticStrain, check outBig Buddha Super AutomaticSativa- you'll love it!",sweet,sweet,short,100 cm max,Strong,Strong,,20 to 50 Grams,Yes,,,happy,happy,Yes,70 to 80 Days from Seed,Good,High%,Fully Autoflowering,100,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/fastbuds/autoflowering/amnesia-zkittlez-auto.html,AMNESIA ZKITTLEZ AUTO,Fast Buds Seeds,Yes,Yes,Amnesia Zkittlez Auto,9-10 weeks,Strong,Up to 24%,,,450 – 600 gr/m2,,Sativa 75%/Indica 25%,"Tropical Bliss:Delight in sweet mango, citrus, and candy flavors. | Potent High:Uplifting and euphoric effects with up to 24% THC. | Fast Results:Fully grown and ready to harvest in just 9–10 weeks. | Easy Growing:Perfect for beginners and seasoned cultivators alike.",24,"Amnesia Zkittlez Auto by Fast Buds combines tropical flavors with uplifting effects in a fast-flowering autoflowering strain. Perfect for creativity and relaxation, now available at Gorilla Seeds.","About AMNESIA ZKITTLEZ AUTOAmnesia Zkittlez Auto by Fast Buds: A Flavorful Autoflowering DelightAmnesia Zkittlez Auto from Fast Buds is an exceptional strain that blends tropical fruit flavors with uplifting effects. Designed for both beginners and seasoned enthusiasts, this autoflowering marvel delivers fast results, vibrant aromas, and a powerful high. Here's why it's a must-try:Tropical Flavors:Enjoy a burst of mango, citrus, and candy-like sweetness with every hit.Uplifting Effects:Experience a euphoric and creative high that’s perfect for daytime use.Rapid Growth:Harvest quality buds in just 9–10 weeks from seed.High THC Content:Boasting THC levels of up to 24%, it's a potent choice for any enthusiast.Pairing flavorful strains like this with the right smoking setup makes all the difference — check outBongs.co.ukfor premium glassware and accessories that elevate your session.Whether you're looking to elevate your mood or savor the fruity aroma, Amnesia Zkittlez Auto is a top-tier choice. Explore this strain and more from Fast Buds, available now at Gorilla Seeds.New Fruity Autoflowers from Fast BudsMeet the latest flavour-forward autoflowers from Fast Buds. These fresh drops are packed with exotic terpene profiles, intense effects, and next-gen genetics—perfect for growers who crave powerful taste and reliable performance in one sweet autoflowering package.Papayton Auto£11.99Lemon Cherry Runtz Auto£11.99","sweet, citrus, fruity",sweet,tall,70 – 120 cm,HIGH POWERED AUTO SATIVA,,,,Yes,,,"euphoric, uplifting, creative",euphoric,Yes,9-10 weeks,Good,,,,Yes,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/anesia/feminized/dankberry.html,Dankberry Feminzied,Anesia Seeds,Yes,Yes,,,V.Strong,,,,,Yes,,"550g per sqm indoors | exceptionally strong and impressive high | Little Devil x Skunkberry,",,"Dankberry has exceptional potency & is full of fruity flavors, she tastes of berries and nuts and produces hefty yields.","About Dankberry FeminziedDankberry Autoby Anesia Seeds is a next-gen autoflowering hybrid that packs high THC power with a mouth-watering berry-diesel flavour. Designed for collectors who want resin-heavy genetics with speed and convenience, this strain stands out for its potency, taste, and balanced effects.The experience begins with a euphoric lift that boosts mood and creativity, before easing into a deep, calming body relaxation. Its terpene profile delivers a fusion of sweet blueberry and nutty notes layered with gassy undertones—an irresistible mix for fans of fruity yet dank autos. With breeder reports of up to32–35% THC, Dankberry Auto offers serious strength in a compact cycle.Why Choose Dankberry Auto?Explosive Flavour:Sweet berries, nuts, and earthy diesel for a bold terpene punch.Resin-Rich Buds:Dense flowers coated in THC crystals for maximum bag appeal.Fast Autoflowering:Finishes in 9–10 weeks with minimal fuss.Balanced Genetics:60% Indica / 40% Sativa delivering both uplift and relaxation.High Yields:Around 550 g/m² indoors or up to 1000 g per plant outdoors under optimal conditions.Dankberry Auto Feminized Seedsare a must-have for collectors chasing rare flavours and powerhouse potency in autoflowering form. This hybrid combines Anesia’s elite breeding with modern autoflower convenience, making it a standout choice for any serious seed vault.Browse more: Anesia Seeds · Autoflowering Cannabis Seeds · High THC StrainsUK Legal Notice:Cannabis seeds are sold by Gorilla Seeds as collectible adult souvenirs. Germination and cultivation are not encouraged where prohibited. All descriptions are based on breeder-supplied data.If you like the futuristic potency of Aura, don’t missFuture #1 Feminized— a next-gen powerhouse from Anesia Seeds.","earthy, sweet, diesel, fruity",earthy,,,,"blueberry, nutty",,,Yes,,,"euphoric, calming",euphoric,,,,,,,,Yes,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/humboldtseeds/feminized/lemon-garlic-og.html,Lemon Garlic OG,Humboldt Seeds,Yes,Yes,Refined True OG,9-10 weeks,Strong,17 to 20% THC,,,10 to 15 oz/yd2,,40% Sativa; 60% Indica,100% Feminized Seeds | Max Potency - 20% THC | Amazing Taste & Smell | Huge Yields - Big Blooms,20,Lemon Garlic OG is a curious True OG phenotype that Humboldt Seeds painstakingly refined over six generations to bring out an unbelievably good flavour & aroma combination that's different from anything else you've ever tried. The potency is top-notch with 20% THC - think long-lasting highs & stones. Brilliant!,"About Lemon Garlic OGNearly Even Mix ofIndica&Sativawith 20%THC!If you're looking for maximum power, unique aromas and a flavour that'll reach out and grab you where it counts - all in an easy-to-manage, mid-sized 100%feminizedseed,HumboldtSeedsLemon Garlic OGis just what the doctor ordered. She's so tasty she even made Big G put down the bananas for an entire night - and that never happens!Lemon Garlic OGFlowering Time - 68 to 73 DaysYieldsare Incredible- 15+ oz/yd Inside or 106+ oz/seedOutsideA Tempting Aroma with Matching Flavour - Delish!Amazing Quality - GenuineTrue OGGeneticsLemon Garlic OGCannabisSeedsare a 100%True OGphenotype in every single way except for the strong notes of garlic. Theyieldsare incredibly high, the quality can't be beat and the delightful mix of body stones and head highs keep going for hours. Finishes are not as fast as manystrainsat 68 to 73 days, but thesebig, resin-dripping, dab-friendly flowersare more than worth it!Order Your Lemon Garlic OGFeminizedSeedsNow - They're Amazing!NB:Ready to get yourLemon Garlic OGgrow on? Forget about it! That's illegal in the UK & those are the rules Big G has to play by. That means ourcannabisseedsare collectible souvenirs and are not intended for germination.","sweet, pine",sweet,medium,10 to 16 Feet Outside,"Garlic, Lemon, Pine","Garlic, Lemon, Pine",25 to 106 oz/seed,,Yes,,,,,,,Good,,,,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/advancedseeds/autoflowering/auto-blue-diesel.html,Auto Blue Diesel,Advanced Seeds,Yes,Yes,Auto BioDiesel Mass X Auto Blueberry,Autoflowering,Strong,16%,,April - November,,,,100% Feminized Seeds | Fully Autoflowering | 16% THC | 55 to 60 Days Total!,16,"Auto Blue Diesel by Advanced Seeds brings together two all-time winners, Auto Blueberry and Auto Biodiesel Mass. The best of these two beauties blends together to create one extremely wild ride. Totally feminized, completely stable and fully autoflowering, this beast shows off her stuff in just 65 days. Order yours today!","About Auto Blue DieselHigh-Octane FlavorYou can't deny the raw power ofAuto Blue Diesel'sheritage. Assembled for both flavour and aroma, this beastlycannabisseedburns on super sweet crude, it's chrome pipes just belching out a super dense citrus cloud with a berry flavour that flows smooth.It's hard to believe that an incredibly fast, very easyautofloweringseedcan produce this kind of quality, this kind of power or this kind ofyieldin such a short time - but it's absolutely true. BuyAuto Blue Dieseltoday & find out for yourself. You will not be disappointed!Thisautoflowering18-wheeler is there for the long haul and has it all:This potent 18-wheeler has 16%THC!The heady citrus exhaust produces heavy resin with crazyCBDEnds with a super-smooth effectExtremely Cheap for Top QualityFeminizedSeeds!Wondering what's in this epic mix?Auto Blue Dieselis a premium blend ofAuto Biodiesel Mass& the one & onlyBlueberry. It's got plenty ofCBDfor all youmedicinalseedlovers out there & a copious amounts of sweet resin to please the rest. Either way, she'll be ready to go in only 60 days fromseed. Marvelous!The Gorilla knows thisbudand recommendsAuto Blue DieselSeedsto his little monkeys who enjoy flavour and aroma just as much as a beautiful high. With discreet shipping and qualitycannabisseedswith stellar lineages,GorillaSeedsis the only place to shop for yourweed seeds.Put the pedal to metal and get this sweet monster today!NB:The Gorilla won’t be such a beauty if he finds out you're doing more than just looking at his potentmarijuanaseeds. Don't be a drag - keep it strictly legal or prepare to pay the consequences!","sweet, citrus, diesel",sweet,medium,50-80 cm Inside - 75 to 120 cm Outside,Sweet Blueberry,Citrus,,300 to 350 gr/m2,Yes,,,,,Yes,60 Days,Average,,Fully Autoflowering,,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/aceseeds/feminized/ace-mix.html,Ace Mix Feminised Seeds,zAce Seeds,,,Mixed Pack,,,,,,,,,,,,"About Ace Mix Feminised SeedsACESeedsACE MIX are for those who find it hard to choose between many superb Ace varieties, Ace created a specialcannabisseedmix which consist of bothsativaandindicacannabisstrains. A randomly mixed assortment of AceSeedsindustry taken from any or all of the 7strainsfeatured on the list of Acecannabisstrains.Asindicaandsativacannabisare varied in accordance withTHCand CDB content,marijuanasmokers can actually try differentstrainsto notice the difference staying in.",sweet,sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla Seed Bank,https://www.gorilla-cannabis-seeds.co.uk/bombseeds/feminized/cluster-bomb.html,Cluster Bomb Feminised,Bomb Seeds,Yes,Yes,Skunk #1 X Cinderella 99,7-8 weeks,Strong,,,Sep-Oct,,,,700-800g/m2! | 7-9 weeks! | 15-20% THC | Skunk #1 X Cinderella 99,20,Custer Bomb has a unique structure - small internodal spacing promotes an abundance of bud forming sites. Bud to leaf ratio is good making this ideal for commercial collectors.,"About Cluster Bomb FeminisedHigh Expectations? You should choose Cluster Bomb.Cluster Bombhas everything you would expect fromBombSeedsplus more! Just when you thought you'd seen it all, BombSeedsdecided to rock theseedgame with their latest offering 'Cluster Bomb'!As with all theBombSeeds range,Cluster Bombwill knock you for six! Her genetics descend fromSensiSeedsSkunk#1crossed withFemaleSeedsCinderalla 99and then backcrossed withBombSeedsvery own trustyBomb #1. Thanks to theCinderalla 99genetics,Cluster Bombis ready earlier than mosthigh yieldingstrains..Her mainlyIndicaratio givesCluster Bomba shorter and denser structure coupled with a highbudto leaf ratio making this one particularity favourable amongst commercial collectors. Thanks to some well selected genetics internodal spacing is kept to a minimum promoting an abundance ofbudforming sites hence large number of clusters.Up to 800g/m2 can be obtained in ideal conditions,THCis also through the roof and recorded at over 20%.Please note that this description forCluster Bombis based on the original description fromBombSeedswhich describes the mother plant from which theseseedswere derived. Germination ofcannabisseedsis forbidden,seedsare sold strictly for collection purposes only. Please read our legal disclaimer for more information on this policy.",sweet,sweet,,90-140cm,,,,700-800g/m2,,15,20,,,,,Good,,,,,,,,,,,,,,,,
