seed_bank,source_url,scraped_at,url_domain,extraction_version,meta_viewport,meta_robots,meta_description,meta_og_locale,meta_og_type,meta_og_title,meta_og_description,meta_og_url,meta_og_site_name,meta_article_modified_time,meta_og_image,meta_og_image_width,meta_og_image_height,meta_og_image_type,meta_twitter_card,meta_twitter_site,meta_twitter_label1,meta_twitter_data1,meta_twitter_label2,meta_twitter_data2,meta_product_price_amount,meta_product_price_currency,meta_og_availability,meta_product_availability,meta_product_retailer_item_id,meta_product_condition,meta_generator,meta_msapplication_tileimage,page_title,prices_usd,min_price_usd,max_price_usd,avg_price_usd,price_count_usd,thc_content,thc_min,thc_max,strain_images,strain_image_count,total_image_count,has_media_gallery,awards,award_count,has_awards,genetics_lineage,is_hybrid,original_breeder,strain_name,extraction_methods_used,method_count,data_completeness_score,market_tier,total_fields_captured,flavors_all,primary_flavor,flavors_citrus,spec_yield,spec_harvest_time,spec_pack_size,spec_cannabis_type,spec_dominant_terpene,spec_feelings,spec_flowering_time,spec_flowering_type,spec_grow_difficulty,spec_height,spec_terpene_profile,package_sizes,min_package_size,max_package_size,flowering_min,flowering_max,flowering_time,effects_all,primary_effect,effect_count,effects_mental,effects_physical,flavors_fruity,flavors_sweet,flavors_diesel,flavors_earthy,flavors_floral,spec_helps,parent_1,parent_2,spec_seeds_per_pack,terpenes,dominant_terpene,terpene_count,flavors_spicy,yield_amount,yield_unit,spec_color,award_years,latest_award_year,earliest_award_year,product_images,product_image_count,height_amount,height_unit,effects_appetite,sativa_percentage,indica_percentage,dominant_type,spec_size
Neptune Seed Bank,https://neptuneseedbank.com/product/nasha-genetics-zz-bang/,2026-01-12T15:17:28.459070,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Nasha Genetics - ZZ Bang. 10 (F) Lineage: Jokerz #31 x Zoap,en_US,product,Nasha Genetics - ZZ Bang,Nasha Genetics - ZZ Bang. 10 (F) Lineage: Jokerz #31 x Zoap,https://neptuneseedbank.com/product/nasha-genetics-zz-bang/,Neptune Seed Bank,2025-12-11T20:03:35+00:00,https://neptuneseedbank.com/wp-content/uploads/2023/04/ZzBang2-e1680704033645.png,959,1200,image/png,summary_large_image,@NeptuneSeedBank,Price,$90.00 ,Availability,In stock,90,USD,instock,instock,NASH35,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Nasha Genetics - ZZ Bang - Neptune Seed Bank - Cannabis Strains,"90.0, 120.0, 150.0, 199.0, 200.0",90,200,154,12,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/04/ZzBang2-e1680704033645-600x751.png",2,2,FALSE,Cup Winners,1,TRUE,#NAME?,FALSE,Nasha Genetics,Nasha Genetics – ZZ Bang,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33.3,Basic,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/secret-society-seed-co-zuzu-fruit/,2026-01-12T15:17:28.734876,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Secret Society Seed Co. - ZuZu Fruit. 12 Regular Seeds Lineage: Wedding Cake x Sprinklez,en_US,product,Secret Society Seed Co. - ZuZu Fruit,Secret Society Seed Co. - ZuZu Fruit. 12 Regular Seeds Lineage: Wedding Cake x Sprinklez,https://neptuneseedbank.com/product/secret-society-seed-co-zuzu-fruit/,Neptune Seed Bank,2025-12-11T20:02:12+00:00,https://neptuneseedbank.com/wp-content/uploads/2022/04/sprinklez-line-secret-society.jpg,434,602,image/jpeg,summary_large_image,@NeptuneSeedBank,Price,$150.00 ,Availability,In stock,150,USD,instock,instock,SECR0108,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Secret Society Seed Co. - ZuZu Fruit - Neptune Seed Bank - Cannabis Strains,"100.0, 115.0, 150.0, 199.0",100,199,138.58,12,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/01/Zuzu-Fruit-secret-society-1.png",3,3,FALSE,Cup Winners,1,TRUE,Wedding Cake x Sprinklez,TRUE,Secret Society Seed Co,Secret Society,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,37,Basic,59,lime,lime,lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/nasha-genetics-zushlato/,2026-01-12T15:17:28.946970,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Nasha Genetics - Zushlato. 10 (F) Lineage: Gushlato #41 x Zoap,en_US,product,Nasha Genetics - Zushlato,Nasha Genetics - Zushlato. 10 (F) Lineage: Gushlato #41 x Zoap,https://neptuneseedbank.com/product/nasha-genetics-zushlato/,Neptune Seed Bank,2025-12-11T20:03:35+00:00,https://neptuneseedbank.com/wp-content/uploads/2023/04/ZushLato.png,959,1200,image/png,summary_large_image,@NeptuneSeedBank,Price,$90.00 ,Availability,In stock,90,USD,instock,instock,NASH33,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Nasha Genetics - Zushlato - Neptune Seed Bank - Cannabis Strains,"50.0, 90.0, 120.0, 150.0, 199.0, 200.0",50,200,152.55,11,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/04/ZushLato-600x751.png",2,2,FALSE,Cup Winners,1,TRUE,#NAME?,FALSE,Nasha Genetics,Nasha Genetics – Zushlato,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33.3,Basic,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/zushi-kuro-strain/,2026-01-12T15:17:29.157981,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Zushi Kuro strain feminized seeds by In House combine Black Cherry Pie and Blue Zushi for cherry dessert terps, blueberry gas, and resin-heavy buds.",en_US,product,In House Genetics - Zushi Kuro,"Zushi Kuro strain feminized seeds by In House combine Black Cherry Pie and Blue Zushi for cherry dessert terps, blueberry gas, and resin-heavy buds.",https://neptuneseedbank.com/product/zushi-kuro-strain/,Neptune Seed Bank,2025-12-11T20:08:02+00:00,https://neptuneseedbank.com/wp-content/uploads/2023/01/in-house-genetics-logo-2.jpg,225,225,image/jpeg,summary_large_image,@NeptuneSeedBank,Price,$100.00 ,Availability,In stock,100,USD,instock,instock,INHOUSE83,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Zushi Kuro Strain | In House Genetics | Neptune Seed Bank | Cannabis Strains,"50.0, 100.0, 120.0, 150.0, 199.0, 200.0, 250.0",50,250,155.67,12,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/01/in-house-genetics-logo-2.jpg",2,2,FALSE,Cup Winners,1,TRUE,| Neptune Seed Bank | Cannabis Strains,FALSE,In House Genetics,In House Genetics – Zushi Kuro,"['Meta Tags', 'Tables', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,53.9,Standard,82,"cherry, sweet, vanilla, candy, fuel, gas",cherry,,Medium – High,60 – 65 days,6 pack,Indical Leaning Hybrid,Gas,"calm, Euphoric, relaxed",60 – 65 days,Feminized,Easy,High,"Cherry, Gas, Sweet",6,6,6,60,65,60-65 weeks,"euphoric, creative, uplifting, relaxing, body",euphoric,5,"euphoric, creative, uplifting","relaxing, body",cherry,"sweet, vanilla, candy","fuel, gas",,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/in-house-genetics-zurkle-f-1-2pack/,2026-01-12T15:17:29.325234,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",In House Genetics - Zurkle (F) 1/2pack. 6 (F) Lineage: Zoap x Urkle,en_US,product,In House Genetics - Zurkle (Feminized) 1/2pack,In House Genetics - Zurkle (F) 1/2pack. 6 (F) Lineage: Zoap x Urkle,https://neptuneseedbank.com/product/in-house-genetics-zurkle-f-1-2pack/,Neptune Seed Bank,2025-12-11T20:04:32+00:00,https://neptuneseedbank.com/wp-content/uploads/2023/01/In-House-Genetics-Cali-Cactus-Cactus-x-Mendo-Breath.jpg,225,225,image/jpeg,summary_large_image,@NeptuneSeedBank,Price,$150.00 ,Availability,In stock,150,USD,instock,instock,INHO0763,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,In House Genetics - Zurkle (Feminized) 1/2pack - Neptune Seed Bank - Cannabis Strains,"100.0, 120.0, 150.0, 199.0, 200.0",100,200,156.18,11,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/01/In-House-Genetics-Cali-Cactus-Cactus-x-Mendo-Breath.jpg",2,2,FALSE,Cup Winners,1,TRUE,- Zurkle (Feminized) 1/2pack - Neptune Seed Bank - Cannabis Strains,FALSE,In House Genetics,In House Genetics – Zurkle (Feminized) 1/2pack,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33.3,Basic,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/nasha-genetics-zuper-doh/,2026-01-12T15:17:29.555582,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Nasha Genetics - Zuper Doh. 10 (F) Lineage: Come back Kush #71 x Zoap,en_US,product,Nasha Genetics - Zuper Doh,Nasha Genetics - Zuper Doh. 10 (F) Lineage: Come back Kush #71 x Zoap,https://neptuneseedbank.com/product/nasha-genetics-zuper-doh/,Neptune Seed Bank,2025-12-11T20:03:35+00:00,https://neptuneseedbank.com/wp-content/uploads/2023/04/ZuperDoh-2.png,959,1200,image/png,summary_large_image,@NeptuneSeedBank,Price,$90.00 ,Availability,In stock,90,USD,instock,instock,NASH32,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Nasha Genetics - Zuper Doh - Neptune Seed Bank - Cannabis Strains,"90.0, 100.0, 120.0, 150.0, 199.0",90,199,137.33,12,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/04/ZuperDoh-2-600x751.png",2,2,FALSE,Cup Winners,1,TRUE,#NAME?,FALSE,Nasha Genetics,Nasha Genetics – Zuper Doh,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33.3,Basic,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/raw-genetics-zuni-f-1-2-pack/,2026-01-12T15:17:29.734024,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Raw Genetics - Galaxy Glaze (F) Fullpack (presale) . 12 (F) Lineage: Bacio mints x georgia pie,en_US,product,Raw Genetics - Zuni (Feminized) 1/2 pack,Raw Genetics - Galaxy Glaze (F) Fullpack (presale) . 12 (F) Lineage: Bacio mints x georgia pie,https://neptuneseedbank.com/product/raw-genetics-zuni-f-1-2-pack/,Neptune Seed Bank,2025-12-11T20:03:29+00:00,https://neptuneseedbank.com/wp-content/uploads/2023/04/Zuni-1.png,1080,1080,image/png,summary_large_image,@NeptuneSeedBank,Price,$80.00 ,Availability,In stock,80,USD,instock,instock,RAW02601,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Raw Genetics - Zuni (Feminized) 1/2 pack - Neptune Seed Bank - Cannabis Strains,"80.0, 120.0, 150.0, 199.0, 200.0",80,200,169.8,10,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2023/04/Zuni-1-600x600.png",2,2,FALSE,Cup Winners,1,TRUE,- Zuni (Feminized) 1/2 pack - Neptune Seed Bank - Cannabis Strains,FALSE,Raw Genetics,Raw Genetics – Zuni (Feminized) 1/2 pack,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,37,Basic,58,apple,apple,,,,,,,,,,,,,,,,,,,,,,,,apple,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/raw-genetics-zunami-f/,2026-01-12T15:17:29.970480,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Discover Zoonami cannabis seeds, an indica-dominant strain bred from Zoap and Blue Slushi. Expect fruity flavors, colorful frosty buds, balanced effects.",en_US,product,Raw Genetics - Zoonami (F),"Discover Zoonami cannabis seeds, an indica-dominant strain bred from Zoap and Blue Slushi. Expect fruity flavors, colorful frosty buds, balanced effects.",https://neptuneseedbank.com/product/raw-genetics-zunami-f/,Neptune Seed Bank,2025-12-11T20:06:49+00:00,https://neptuneseedbank.com/wp-content/uploads/2025/04/rawzoonamioutnow-1024x1024.png,1024,1024,image/png,summary_large_image,@NeptuneSeedBank,Availability,In stock,,,,,instock,instock,RAWG333,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Raw Genetics - Zoonami (F) - Neptune Seed Bank - Cannabis Strains,"50.0, 80.0, 120.0, 150.0, 199.0, 200.0",50,200,141.2,15,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2025/04/rawzoonamioutnow-600x600.png",2,2,FALSE,Cup Winners,1,TRUE,#NAME?,FALSE,Raw Genetics,Raw Genetics – Zoonami (F),"['Meta Tags', 'Tables', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",7,40.6,Standard,66,"lemon, orange, berry, fruity, cherry, tropical, sweet, gas",lemon,"lemon, orange",Medium – High,60 – 65 days,"12 pack, 6 pack",,,,,,,,"Berry, Gas, Hash",,,,,,,"euphoric, uplifting, cerebral, relaxing, body",euphoric,5,"euphoric, uplifting, cerebral","relaxing, body","berry, fruity, cherry, tropical",sweet,gas,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/n-y-ceeds-zubway-seriez-f/,2026-01-12T15:17:30.148243,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Lineage: Larry OG x Skywalker OG 7 fem seeds,en_US,product,N.Y. Ceeds - Zubway Seriez (F),Lineage: Larry OG x Skywalker OG  7 fem seeds,https://neptuneseedbank.com/product/n-y-ceeds-zubway-seriez-f/,Neptune Seed Bank,2025-12-11T20:06:41+00:00,https://neptuneseedbank.com/wp-content/uploads/2025/03/zubway-seriez-ny-ceeds.jpg,828,1472,image/jpeg,summary_large_image,@NeptuneSeedBank,Price,$100.00 ,Availability,In stock,100,USD,instock,instock,NYS19,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,N.Y. Ceeds - Zubway Seriez (F) - Neptune Seed Bank,"60.0, 100.0, 150.0, 199.0, 200.0, 250.0",60,250,178,11,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2025/03/zubway-seriez-ny-ceeds-600x1067.jpg",2,2,FALSE,Cup Winners,1,TRUE,Larry OG x Skywalker OG,TRUE,N,N.Y. Ceeds – Zubway Seriez (F),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33.3,Basic,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptune Seed Bank,https://neptuneseedbank.com/product/canna-research-co-ztrufflez-s1-f/,2026-01-12T15:17:30.385402,neptuneseedbank.com,1,"width=device-width, initial-scale=1, minimum-scale=1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Canna Research Co. - Ztrufflez S1 (F) . 10+ Feminized Lineage: Ztrufflez,en_US,product,Canna Research Co. - Ztrufflez S1 (F),Canna Research Co. - Ztrufflez S1 (F) . 10+ Feminized Lineage: Ztrufflez,https://neptuneseedbank.com/product/canna-research-co-ztrufflez-s1-f/,Neptune Seed Bank,2025-12-18T16:17:41+00:00,https://neptuneseedbank.com/wp-content/uploads/2024/05/phonto-2-1024x1024.jpeg,1024,1024,image/jpeg,summary_large_image,@NeptuneSeedBank,Price,$100.00 ,Availability,In stock,100,USD,instock,instock,CANNA025,new,Site Kit by Google 1.168.0,https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png,Canna Research Co. - Ztrufflez S1 (F) - Neptune Seed Bank - Cannabis Strains,"100.0, 120.0, 150.0, 199.0, 200.0",100,200,174.36,11,0.03,0.03,0.03,"https://neptuneseedbank.com/wp-content/uploads/2025/04/cropped-Neptune-Seed-Bank-Dark-LOGO-1-1.png, https://neptuneseedbank.com/wp-content/uploads/2024/05/phonto-1-1-600x616.jpeg, https://neptuneseedbank.com/wp-content/uploads/2024/05/phonto-2-600x600.jpeg",3,3,FALSE,Cup Winners,1,TRUE,Ztrufflez  x Ztrufflez,TRUE,Canna Research Co,Canna Research Co. – Ztrufflez S1 (F),"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,33.3,Basic,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
