seed_bank,breeder_name,source_url,scraped_at,url_domain,extraction_version,meta_description,meta_keywords,meta_og_site_name,meta_og_title,meta_og_description,meta_og_type,meta_robots,meta_viewport,meta_og_url,meta_twitter_site,meta_twitter_card,meta_twitter_title,meta_twitter_description,meta_twitter_image,meta_og_image,meta_position,meta_reviewcount,meta_brand,meta_image,meta_category,meta_gtin8,meta_sku,meta_url,meta_price,meta_pricecurrency,meta_itemcondition,meta_availability,meta_itemreviewed,meta_author,meta_datepublished,page_title,prices_usd,min_price_usd,max_price_usd,avg_price_usd,price_count_usd,prices_gbp,min_price_gbp,max_price_gbp,avg_price_gbp,price_count_gbp,package_sizes,min_package_size,max_package_size,thc_content,thc_min,thc_max,yield_min,yield_max,yield_unit,yield_range,effects_all,primary_effect,effect_count,effects_mental,effects_physical,flavors_all,primary_flavor,flavors_earthy,flavors_sweet,flavors_spicy,flavors_diesel,product_images,product_image_count,strain_images,strain_image_count,total_image_count,has_media_gallery,awards,award_count,has_awards,genetics_lineage,is_hybrid,sativa_percentage,indica_percentage,dominant_type,generation,strain_name,extraction_methods_used,method_count,data_completeness_score,market_tier,total_fields_captured,height_amount,height_unit,terpenes,dominant_terpene,terpene_count,flavors_citrus,original_breeder,yield_amount,effects_appetite,flavors_fruity,height_min,height_max,height_range,award_years,latest_award_year,earliest_award_year,parent_1,parent_2,flowering_min,flowering_max,flowering_time,cbd_content,effects_social,thc_range,thc_average,flavors_floral
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/178-white-widow-automatic.html,2026-01-12T17:24:50.363836,www.royalqueenseeds.com,2,"With sativa, indica, and ruderalis, White Widow Auto produces a slightly spicy smoke and a hard-hitting,  relaxing high hardly found in other strains.","white widow weed, white widow seeds, white widow strain, white widow cannabis, white widow cannabis seeds, white widow marijuana, white widow weed plant, white widow automatic, white widow auto",Royal Queen Seeds,Buy White Widow Auto Cannabis Seeds - Royal Queen Seeds USA,"With sativa, indica, and ruderalis, White Widow Auto produces a slightly spicy smoke and a hard-hitting,  relaxing high hardly found in other strains.",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/178-white-widow-automatic.html,@royalqueenseeds,summary_large_image,White Widow Auto,"With sativa, indica, and ruderalis, White Widow Auto produces a slightly spicy smoke and a hard-hitting,  relaxing high hardly found in other strains.",https://www.royalqueenseeds.com/178-3932-large/white-widow-automatic.jpg,https://www.royalqueenseeds.com/178-3932-large/white-widow-automatic.jpg,3,856,Royal Queen Seeds,https://www.royalqueenseeds.com/178-3932/white-widow-automatic.jpg,Autoflower Seeds,8.43552E+12,AUT03014,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/178-white-widow-automatic.html,13.48,USD,http://schema.org/NewCondition,http://schema.org/InStock,White Widow Auto,B T,7/25/2023,Buy White Widow Auto Cannabis Seeds - Royal Queen Seeds USA,"5.5, 11.5, 19.5, 23.37, 25.5, 27.5, 29.5, 32.0, 45.0, 83.0, 165.5",5.5,165.5,37.38,18,135,135,135,135,1,"1, 3, 5, 10, 25, 37, 50",1,50,14,14,14,190,240,g,190-240 g,"happy, relaxing",happy,2,happy,relaxing,"earthy, woody, pine, sweet, honey, pepper, diesel",earthy,"earthy, woody, pine","sweet, honey",pepper,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=178,1,"https://www.royalqueenseeds.com/178-3932-large/white-widow-automatic.jpg, https://www.royalqueenseeds.com/us/img/loader_dark.svg, https://www.royalqueenseeds.com/178-3932-medium/white-widow-automatic.jpg, https://www.royalqueenseeds.com/178-1930-medium/white-widow-automatic.jpg, https://www.royalqueenseeds.com/178-2273-medium/white-widow-automatic.jpg",67,68,TRUE,Cup Winners | Cup Winners,2,TRUE,"of the classic Dutch strain White Widow, recognized by most smokers and growers as an absolute classic strain",FALSE,40,40,Balanced Hybrid,F1,"White
																								Widow","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,60.4,Professional,87,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/122-white-widow.html,2026-01-12T17:24:50.673785,www.royalqueenseeds.com,2,"Created with award-winning genetics, the sativa-dominant crystalline buds of White Widow exert energetic effects and treat users to fruity tastes.","white widow weed, white widow seeds, white widow strain, white widow cannabis, white widow cannabis seeds, white widow marijuana, white widow weed plant, white widow feminized, white widow fem",Royal Queen Seeds,Get White Widow feminized marijuana seeds - Royal Queen Seeds USA,"Created with award-winning genetics, the sativa-dominant crystalline buds of White Widow exert energetic effects and treat users to fruity tastes.",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/122-white-widow.html,@royalqueenseeds,summary_large_image,White Widow,"Created with award-winning genetics, the sativa-dominant crystalline buds of White Widow exert energetic effects and treat users to fruity tastes.",https://www.royalqueenseeds.com/122-2022-large/white-widow.jpg,https://www.royalqueenseeds.com/122-2022-large/white-widow.jpg,3,1503,Royal Queen Seeds,https://www.royalqueenseeds.com/122-2022/white-widow.jpg,Feminized Marijuana Seeds,8.43552E+12,FEM03002,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/122-white-widow.html,12.31,USD,http://schema.org/NewCondition,http://schema.org/InStock,White Widow,A S,5/16/2024,Get White Widow feminized marijuana seeds - Royal Queen Seeds USA,"7.5, 10.5, 25.5, 29.5, 38.5, 70.0, 73.26, 140.0",7.5,140,42.84,11,135,135,135,135,1,"1, 3, 5, 10, 25, 50",1,50,19,19,19,450,500,g,450-500 g,"creative, uplifting, cerebral",creative,3,"creative, uplifting, cerebral",,"orange, citrus, earthy, pine, pepper, diesel",orange,"earthy, pine",,pepper,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=122,1,"https://www.royalqueenseeds.com/122-2022-large/white-widow.jpg, https://www.royalqueenseeds.com/us/img/loader_dark.svg, https://www.royalqueenseeds.com/122-2022-medium/white-widow.jpg, https://www.royalqueenseeds.com/122-1946-medium/white-widow.jpg, https://www.royalqueenseeds.com/122-2350-medium/white-widow.jpg",61,62,TRUE,Cup Winners | Cup Winners,2,TRUE,in a next-gen experience that you won’t soon forget,TRUE,50,50,Balanced Hybrid,F1,"White
																								Widow","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,67.9,Professional,93,1,m,"myrcene, pinene, caryophyllene",myrcene,3,"orange, citrus",s created our own version of this classic using Wh,,,,,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/679-tropicana-cookies-purple-automatic.html,2026-01-12T17:24:50.988030,www.royalqueenseeds.com,2,Get Tropicana Cookies Purple Auto seeds and enjoy unbelievably fruity flavours paired with high levels of THC and a motivating and uplifting high.,,Royal Queen Seeds,Buy Tropicana Cookies Purple Auto Seeds - Royal Queen Seeds USA,Get Tropicana Cookies Purple Auto seeds and enjoy unbelievably fruity flavours paired with high levels of THC and a motivating and uplifting high.,og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/679-tropicana-cookies-purple-automatic.html,@royalqueenseeds,summary_large_image,Tropicana Cookies Purple Auto,Get Tropicana Cookies Purple Auto seeds and enjoy unbelievably fruity flavours paired with high levels of THC and a motivating and uplifting high.,https://www.royalqueenseeds.com/679-4327-large/tropicana-cookies-purple-automatic.jpg,https://www.royalqueenseeds.com/679-4327-large/tropicana-cookies-purple-automatic.jpg,3,31,Royal Queen Seeds,https://www.royalqueenseeds.com/679-4327/tropicana-cookies-purple-automatic.jpg,Autoflower Seeds,8.43552E+12,AUT03047,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/679-tropicana-cookies-purple-automatic.html,15.24,USD,http://schema.org/NewCondition,http://schema.org/InStock,Tropicana Cookies Purple Auto,G L,10/26/2024,Buy Tropicana Cookies Purple Auto Seeds - Royal Queen Seeds USA,"3.0, 13.0, 13.5, 19.5, 23.37, 25.5, 27.5, 29.5, 32.0, 34.5, 51.0, 95.5",3,95.5,30.55,17,135,135,135,135,1,"1, 3, 5, 10, 25, 37, 50",1,50,20,20,20,,,g,,"euphoric, creative, uplifting, happy, hungry",euphoric,5,"euphoric, creative, uplifting, happy",,"citrus, grape, fruity, diesel",citrus,,,,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=679,1,"https://www.royalqueenseeds.com/679-4327-large/tropicana-cookies-purple-automatic.jpg, https://www.royalqueenseeds.com/679-4327-medium/tropicana-cookies-purple-automatic.jpg, https://www.royalqueenseeds.com/679-4327-thickbox/tropicana-cookies-purple-automatic.jpg, https://www.royalqueenseeds.com/679-4327-small/tropicana-cookies-purple-automatic.jpg, https://www.royalqueenseeds.com/679-4327-small/tropicana-cookies-purple-automatic.jpg",16,17,TRUE,Cup Winners | Cup Winners,2,TRUE,ing parent strains OG Kush Auto with Tropicana Cookies Purple,FALSE,60,35,Sativa,F1,"Tropicana
																								Cookies
																								Purple","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,57.9,Standard,84,,,,,,citrus,s created this sativa-dominant hybrid by crossing,30,hungry,"grape, fruity",,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/572-triple-g-automatic.html,2026-01-12T17:24:51.290248,www.royalqueenseeds.com,2,"Triple G Auto has it all. This Premium USA strains boasts high levels of THC, sweet terpenes, a rapid growing cycle, and rewarding yields.",,Royal Queen Seeds,Get Triple G Auto Marijuana Seeds - Royal Queen Seeds USA,"Triple G Auto has it all. This Premium USA strains boasts high levels of THC, sweet terpenes, a rapid growing cycle, and rewarding yields.",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/572-triple-g-automatic.html,@royalqueenseeds,summary_large_image,Triple G Auto,"Triple G Auto has it all. This Premium USA strains boasts high levels of THC, sweet terpenes, a rapid growing cycle, and rewarding yields.",https://www.royalqueenseeds.com/572-3450-large/triple-g-automatic.jpg,https://www.royalqueenseeds.com/572-3450-large/triple-g-automatic.jpg,3,108,Royal Queen Seeds,https://www.royalqueenseeds.com/572-3450/triple-g-automatic.jpg,Autoflower Seeds,8.43552E+12,AUT03034,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/572-triple-g-automatic.html,15.24,USD,http://schema.org/NewCondition,http://schema.org/InStock,Triple G Auto,J B,5/2/2023,Get Triple G Auto Marijuana Seeds - Royal Queen Seeds USA,"5.0, 13.0, 22.5, 27.5, 29.5, 32.0, 34.5, 39.1, 46.0, 51.0, 95.5, 191.0",5,191,44.17,18,135,135,135,135,1,"1, 3, 5, 10, 25, 50",1,50,20,20,20,,,,,body,body,1,,body,"apple, earthy, sweet, diesel",apple,earthy,sweet,,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=572,1,"https://www.royalqueenseeds.com/572-3450-large/triple-g-automatic.jpg, https://www.royalqueenseeds.com/572-3450-medium/triple-g-automatic.jpg, https://www.royalqueenseeds.com/572-3329-medium/triple-g-automatic.jpg, https://www.royalqueenseeds.com/572-3684-medium/triple-g-automatic.jpg, https://www.royalqueenseeds.com/572-3442-medium/triple-g-automatic.jpg",52,53,TRUE,Cup Winners | Cup Winners,2,TRUE,Grow Report,FALSE,80,15,Sativa,F1,"Triple
																								G","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,61.6,Professional,86,,cm,,,,,s at Royal Queen Seeds set out to create Triple G,,,apple,60,120,60-120 cm,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/657-trainwreck-automatic.html,2026-01-12T17:24:51.615790,www.royalqueenseeds.com,2,"The autoflowering version of Trainwreck, Trainwreck Auto retains many of its parent strain's celebrated traits, including the multifaceted aroma and happy high.",,Royal Queen Seeds,Get Trainwreck Auto marijuana seeds  - Royal Queen Seeds USA,"The autoflowering version of Trainwreck, Trainwreck Auto retains many of its parent strain's celebrated traits, including the multifaceted aroma and happy high.",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/657-trainwreck-automatic.html,@royalqueenseeds,summary_large_image,Trainwreck Auto,"The autoflowering version of Trainwreck, Trainwreck Auto retains many of its parent strain's celebrated traits, including the multifaceted aroma and happy high.",https://www.royalqueenseeds.com/657-4165-large/trainwreck-automatic.jpg,https://www.royalqueenseeds.com/657-4165-large/trainwreck-automatic.jpg,3,25,Royal Queen Seeds,https://www.royalqueenseeds.com/657-4165/trainwreck-automatic.jpg,Autoflower Seeds,8.43552E+12,AUT03041,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/657-trainwreck-automatic.html,14.65,USD,http://schema.org/NewCondition,http://schema.org/InStock,Trainwreck Auto,A N,5/21/2024,Get Trainwreck Auto marijuana seeds  - Royal Queen Seeds USA,"7.0, 12.5, 23.37, 27.5, 29.5, 32.0, 34.5, 48.0, 89.5, 179.0",7,179,40.8,18,135,135,135,135,1,"1, 3, 5, 10, 25, 37, 50",1,50,19,19,19,,,g,,"uplifting, energetic, happy",uplifting,3,"uplifting, energetic, happy",,"lemon, earthy, pine, sweet, spicy, pepper, diesel",lemon,"earthy, pine",sweet,"spicy, pepper",diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=657,1,"https://www.royalqueenseeds.com/657-4165-large/trainwreck-automatic.jpg, https://www.royalqueenseeds.com/657-4165-medium/trainwreck-automatic.jpg, https://www.royalqueenseeds.com/657-4166-medium/trainwreck-automatic.jpg, https://www.royalqueenseeds.com/657-4165-thickbox/trainwreck-automatic.jpg, https://www.royalqueenseeds.com/657-4165-small/trainwreck-automatic.jpg",19,20,TRUE,Cup Winners | Cup Winners,2,TRUE,ed with Big Skunk Auto genetics thrown in the mix,TRUE,85,15,Sativa,F1,Trainwreck,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,57.9,Standard,89,,cm,,,,lemon,,10,,,80,130,80-130 cm,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/655-trainwreck.html,2026-01-12T17:24:51.865879,www.royalqueenseeds.com,2,"Uplifting, euphoric effects and a complex aroma, courtesy of cosmopolitan genetics in our Trainwreck cannabis seeds. Learn more and buy the strain here!",,Royal Queen Seeds,Buy Trainwreck feminized marijuana seeds - Royal Queen Seeds USA,"Uplifting, euphoric effects and a complex aroma, courtesy of cosmopolitan genetics in our Trainwreck cannabis seeds. Learn more and buy the strain here!",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/655-trainwreck.html,@royalqueenseeds,summary_large_image,Trainwreck,"Uplifting, euphoric effects and a complex aroma, courtesy of cosmopolitan genetics in our Trainwreck cannabis seeds. Learn more and buy the strain here!",https://www.royalqueenseeds.com/655-4159-large/trainwreck.jpg,https://www.royalqueenseeds.com/655-4159-large/trainwreck.jpg,3,16,Royal Queen Seeds,https://www.royalqueenseeds.com/655-4159/trainwreck.jpg,Feminized Marijuana Seeds,8.43552E+12,FEM03067,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/655-trainwreck.html,14.65,USD,http://schema.org/NewCondition,http://schema.org/InStock,Trainwreck,D P,4/3/2024,Buy Trainwreck feminized marijuana seeds - Royal Queen Seeds USA,"12.5, 25.5, 27.5, 29.5, 32.0, 37.0, 41.5, 48.0, 89.5, 179.0",12.5,179,43.65,17,135,135,135,135,1,"1, 3, 5, 10, 25, 50",1,50,19,19,19,,,,,"euphoric, creative, uplifting, happy",euphoric,4,"euphoric, creative, uplifting, happy",,"citrus, pine, diesel",citrus,pine,,,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=655,1,"https://www.royalqueenseeds.com/655-4159-large/trainwreck.jpg, https://www.royalqueenseeds.com/us/img/loader_dark.svg, https://www.royalqueenseeds.com/655-4159-medium/trainwreck.jpg, https://www.royalqueenseeds.com/655-4160-medium/trainwreck.jpg, https://www.royalqueenseeds.com/655-4724-medium/trainwreck.jpg",51,52,TRUE,Cup Winners | Cup Winners,2,TRUE,"A cross between Mexican, Thai, and Afghan landraces, Trainwreck is a sativa-dominant (90/10) strain that promises to mak",TRUE,90,10,Sativa,F1,Trainwreck,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,54.1,Standard,81,,,,,,citrus,,,,,,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/cbd-seeds/480-tatanka-pure-cbd.html,2026-01-12T17:24:52.147108,www.royalqueenseeds.com,2,Tatanka Pure CBD is a therapeutic strain inspired by the famous Native American medicine man Tatanka Iyotake. It offers medicinal effects without a high.,,Royal Queen Seeds,Get Tatanka Pure CBD Cannabis Seeds - Royal Queen Seeds USA,Tatanka Pure CBD is a therapeutic strain inspired by the famous Native American medicine man Tatanka Iyotake. It offers medicinal effects without a high.,og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/cbd-seeds/480-tatanka-pure-cbd.html,@royalqueenseeds,summary_large_image,Tatanka Pure CBD,Tatanka Pure CBD is a therapeutic strain inspired by the famous Native American medicine man Tatanka Iyotake. It offers medicinal effects without a high.,https://www.royalqueenseeds.com/480-2572-large/tatanka-pure-cbd.jpg,https://www.royalqueenseeds.com/480-2572-large/tatanka-pure-cbd.jpg,3,141,Royal Queen Seeds,https://www.royalqueenseeds.com/480-2572/tatanka-pure-cbd.jpg,CBD Cannabis Seeds,8.43552E+12,CBD03013,https://www.royalqueenseeds.com/us/cbd-seeds/480-tatanka-pure-cbd.html,15.24,USD,http://schema.org/NewCondition,http://schema.org/InStock,Tatanka Pure CBD,B G,12/18/2023,Get Tatanka Pure CBD Cannabis Seeds - Royal Queen Seeds USA,"3.0, 13.0, 22.5, 27.5, 29.5, 32.0, 34.5, 44.0, 51.0, 95.5, 191.0",3,191,43.15,17,135,135,135,135,1,"1, 3, 5, 10, 25, 50",1,50,0.3,0.3,0.3,,,,,calming,calming,1,,calming,"fruity, caramel, pepper, diesel",fruity,,caramel,pepper,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=480,1,"https://www.royalqueenseeds.com/480-2572-large/tatanka-pure-cbd.jpg, https://www.royalqueenseeds.com/480-2572-medium/tatanka-pure-cbd.jpg, https://www.royalqueenseeds.com/480-2525-medium/tatanka-pure-cbd.webp, https://www.royalqueenseeds.com/480-2808-medium/tatanka-pure-cbd.webp, https://www.royalqueenseeds.com/480-5105-medium/tatanka-pure-cbd.webp",48,49,TRUE,Cup Winners | Cup Winners,2,TRUE,breeding parent strains Elixir Vitae and Medical CBD,TRUE,30,70,Indica,F1,"Tatanka
																								Pure
																								CBD","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,54.1,Standard,84,160,cm,,,,,,,,fruity,,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/677-tangie.html,2026-01-12T17:24:52.478059,www.royalqueenseeds.com,2,Tangie is a high-powered hybrid strain of California Orange x Skunk with over 20% THC. Get Tangie seeds at RQS now and grow delicious sativa buds today!,,Royal Queen Seeds,Buy Tangie Feminized Marijuana Seeds  - Royal Queen Seeds USA,Tangie is a high-powered hybrid strain of California Orange x Skunk with over 20% THC. Get Tangie seeds at RQS now and grow delicious sativa buds today!,og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/677-tangie.html,@royalqueenseeds,summary_large_image,Tangie,Tangie is a high-powered hybrid strain of California Orange x Skunk with over 20% THC. Get Tangie seeds at RQS now and grow delicious sativa buds today!,https://www.royalqueenseeds.com/677-4325-large/tangie.jpg,https://www.royalqueenseeds.com/677-4325-large/tangie.jpg,3,12,Royal Queen Seeds,https://www.royalqueenseeds.com/677-4325/tangie.jpg,Feminized Marijuana Seeds,8.43552E+12,FEM03070,https://www.royalqueenseeds.com/us/feminized-cannabis-seeds/677-tangie.html,15.24,USD,http://schema.org/NewCondition,http://schema.org/InStock,Tangie,S D,5/24/2025,Buy Tangie Feminized Marijuana Seeds  - Royal Queen Seeds USA,"13.0, 13.5, 22.5, 25.5, 27.5, 29.5, 32.0, 34.5, 51.0, 95.5",13,95.5,33.03,16,135,135,135,135,1,"1, 3, 5, 10, 25, 50",1,50,20,20,20,,,,,"creative, uplifting",creative,2,"creative, uplifting",,"lemon, orange, citrus, fruity, diesel",lemon,,,,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=677,1,"https://www.royalqueenseeds.com/677-4325-large/tangie.jpg, https://www.royalqueenseeds.com/677-4325-medium/tangie.jpg, https://www.royalqueenseeds.com/677-4325-thickbox/tangie.jpg, https://www.royalqueenseeds.com/677-4325-small/tangie.jpg, https://www.royalqueenseeds.com/677-4325-small/tangie.jpg",16,17,TRUE,Cup Winners | Cup Winners,2,TRUE,the world for her quintessential sativa high and vibrant citrus aromas/flavors,FALSE,70,30,Sativa,F1,Tangie,"['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,57.9,Standard,83,190,cm,,,,"lemon, orange, citrus","s, growing this mighty sativa queen at home couldn",,,fruity,,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/492-sweet-zz-automatic.html,2026-01-12T17:24:52.805781,www.royalqueenseeds.com,2,"Sweet ZZ Auto is an indica-dominant hybrid. Boasting a THC level of 18%, she's one of the most potent autos you can find. Get seeds here!",,Royal Queen Seeds,Buy Sweet ZZ Auto Cannabis Seeds - Royal Queen Seeds USA,"Sweet ZZ Auto is an indica-dominant hybrid. Boasting a THC level of 18%, she's one of the most potent autos you can find. Get seeds here!",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/492-sweet-zz-automatic.html,@royalqueenseeds,summary_large_image,Sweet ZZ Auto,"Sweet ZZ Auto is an indica-dominant hybrid. Boasting a THC level of 18%, she's one of the most potent autos you can find. Get seeds here!",https://www.royalqueenseeds.com/492-3070-large/sweet-zz-automatic.jpg,https://www.royalqueenseeds.com/492-3070-large/sweet-zz-automatic.jpg,3,398,Royal Queen Seeds,https://www.royalqueenseeds.com/492-3070/sweet-zz-automatic.jpg,Autoflower Seeds,8.43552E+12,AUT03025,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/492-sweet-zz-automatic.html,14.65,USD,http://schema.org/NewCondition,http://schema.org/InStock,Sweet ZZ Auto,S R,5/2/2023,Buy Sweet ZZ Auto Cannabis Seeds - Royal Queen Seeds USA,"5.5, 12.5, 19.5, 23.37, 27.5, 29.5, 32.0, 34.5, 48.0, 89.5, 178.5",5.5,178.5,39.22,18,135,135,135,135,1,"1, 3, 5, 10, 25, 37, 50",1,50,18,18,18,,,,,"relaxing, sedating, body",relaxing,3,,"relaxing, sedating, body","lemon, grapefruit, citrus, grape, fruity, sweet, pepper, diesel",lemon,,sweet,pepper,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=492,1,"https://www.royalqueenseeds.com/492-3070-large/sweet-zz-automatic.jpg, https://www.royalqueenseeds.com/492-3070-medium/sweet-zz-automatic.jpg, https://www.royalqueenseeds.com/492-2542-medium/sweet-zz-automatic.jpg, https://www.royalqueenseeds.com/492-2799-medium/sweet-zz-automatic.jpg, https://www.royalqueenseeds.com/492-4022-medium/sweet-zz-automatic.jpg",52,53,TRUE,Cup Winners | Cup Winners,2,TRUE,strain for this very reason,FALSE,35,60,Indica,F1,"Sweet
																								ZZ","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,61.6,Professional,86,,,"limonene, caryophyllene, humulene",limonene,3,"lemon, grapefruit, citrus",s created Sweet ZZ Auto seeds using premium parent,,,"grape, fruity",,,,,,,,,,,,,,,,
Royal Queen Seeds,Royal Queen Seeds,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/181-sweet-skunk-automatic.html,2026-01-12T17:24:53.187281,www.royalqueenseeds.com,2,"Lovers of classic Skunk will enjoy this tasty cross of Early Skunk and Critical Mass Auto. This strains boasts dense balls of herb with musky, spicy flavors.",,Royal Queen Seeds,Buy Sweet Skunk Auto Cannabis Seeds 🦨 - Royal Queen Seeds USA,"Lovers of classic Skunk will enjoy this tasty cross of Early Skunk and Critical Mass Auto. This strains boasts dense balls of herb with musky, spicy flavors.",og:product,"index,follow","width=device-width, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0, user-scalable=no",https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/181-sweet-skunk-automatic.html,@royalqueenseeds,summary_large_image,Sweet Skunk Auto,"Lovers of classic Skunk will enjoy this tasty cross of Early Skunk and Critical Mass Auto. This strains boasts dense balls of herb with musky, spicy flavors.",https://www.royalqueenseeds.com/181-3831-large/sweet-skunk-automatic.jpg,https://www.royalqueenseeds.com/181-3831-large/sweet-skunk-automatic.jpg,3,346,Royal Queen Seeds,https://www.royalqueenseeds.com/181-3831/sweet-skunk-automatic.jpg,Autoflower Seeds,8.43552E+12,AUT03017,https://www.royalqueenseeds.com/us/autoflowering-cannabis-seeds/181-sweet-skunk-automatic.html,13.48,USD,http://schema.org/NewCondition,http://schema.org/InStock,Sweet Skunk Auto,J G,6/5/2023,Buy Sweet Skunk Auto Cannabis Seeds 🦨 - Royal Queen Seeds USA,"11.5, 23.37, 25.5, 27.5, 29.5, 34.5, 45.0, 83.0, 165.5",11.5,165.5,38.94,18,135,135,135,135,1,"1, 3, 5, 10, 25, 37, 50",1,50,15,15,15,,,,,uplifting,uplifting,1,uplifting,,"fruity, earthy, sweet, spicy, diesel",fruity,earthy,sweet,spicy,diesel,https://s3s.fr/pview.php?universe=rqs_loyalty&product=181,1,"https://www.royalqueenseeds.com/181-3831-large/sweet-skunk-automatic.jpg, https://www.royalqueenseeds.com/181-3831-medium/sweet-skunk-automatic.jpg, https://www.royalqueenseeds.com/181-1929-medium/sweet-skunk-automatic.jpg, https://www.royalqueenseeds.com/181-2609-medium/sweet-skunk-automatic.jpg, https://www.royalqueenseeds.com/181-3343-medium/sweet-skunk-automatic.jpg",52,53,TRUE,Cup Winners | Cup Winners,2,TRUE,"between Early Skunk, Critical and Ruderalis, back-crossed and stabilised over a few generations to perfect the hybrid",FALSE,10,60,Indica,F1,"Sweet
																								Skunk","['Meta Tags', 'Pricing', 'Cannabis Data', 'Media Assets', 'Awards', 'Genetics']",6,54.1,Standard,82,,,,,,,,,,fruity,,,,,,,,,,,,,,,,
