seed_bank,source_url,scraped_at,total_fields,meta_description,jsonld_name,jsonld_sku,jsonld_brand,jsonld_price,jsonld_currency,strain_name,spec_sku,spec_brand/breeder,spec_parental_lines,spec_variety,spec_flowering_type,spec_sex,spec_photoperiod_flowering_time,spec_aroma,genetics,flavors,primary_flavor,flavor_count,breeder,seed_type,min_price,max_price,avg_price,spec_thc_content,spec_yield_outdoor,spec_yield_indoor,spec_suitable_climates,spec_odour,spec_good_for_extracts,effects,primary_effect,effect_count,terpenes,dominant_terpene,climate,spec_colour,spec_autoflowering_seed_to_harvest_time,spec_cbd_content,spec_plant_size,spec_northern_hemisphere_harvest,spec_southern_hemisphere_harvest,spec_mould_resistance,"spec_bud_density_(1=loose_&_leafy,_5=ultra_dense)",spec_delivery_method,spec_delivery_times,spec_payment_method,spec_generational_type,spec_pack_size,parent_1,parent_2,height_min,height_max,height_range,indica_percentage,sativa_percentage,strain_type,yield_min,yield_max,yield_range,thc_min,thc_max,thc_avg,spec_awards_list,spec_eu_size,spec_xs,spec_s,spec_m,spec_l,spec_xl,spec_material,thc_content,flowering_time_min,flowering_time_max,flowering_time
Seedsman,https://www.seedsman.com/us-en/platinum-green-apple-candy-feminized-seeds-atl-pgac-fem,2026-01-15T18:13:52.133243,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/cbg-relief-auto-feminized-seeds-sman-cbgr-auto-fem,2026-01-15T18:13:52.949454,9,"Experience natural wellness with CBG Relief Auto Feminised Seeds. High-quality, easy-to-grow seeds providing a potent blend for therapeutic benefits.",CBG Relief Auto Feminized Seeds,SMAN-CBGR-AUTO-FEM,Seedsman,17.95,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/deluxe-sugarcane-feminized-seeds-ihg-desu-fem,2026-01-15T18:13:53.644605,27,"Discover Deluxe Sugarcane Feminised Seeds, a top-quality product for robust plant growth. Exclusively selected for superior performance, resilience and high yield.",Deluxe Sugarcane Feminized Seeds,IHG-DESU-FEM,In House Genetics,64,USD,Deluxe Sugarcane Feminized Seeds,IHG-DESU-FEM,In House Genetics,Slurmint IX #7 x Platinum,Indica dominant,Photoperiod,Feminised,9 to 11 weeks,Earthy | Minty | Sweet,FeminisedSeedsDeluxe Sugarcane Feminized Seeds$64,"earthy, sweet",earthy,2,In House GeneticsParental linesSlurmint IX #7 x Pl,Feminized,64,125,74.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/jellycat-feminised-seeds-mosca-jlycat-fem,2026-01-15T18:13:54.231934,14,"Jellycat Feminised Seeds #html-body [data-pb-style=SR81TQP]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}Jellycat is a bushy, indi",Jellycat Feminised Seeds,MOSCA-JLYCAT-FEM,Mosca Seeds,55,USD,Jellycat Feminised Seeds,,,,,,,,,ing Mind Reaper with Runtz de Frutas,,,,,,55,100,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/tangielope-kush-regular-seeds-dna-taku-reg,2026-01-15T18:13:54.761741,39,Tangielope Kush Regular Seeds grow an atypical indica-dominant strain in terms of both its morphology and effect. Growers will harvest some high yields of uplifting weed with a rich terpene profile. Good for extract-makers.,Tangielope Kush Regular Seeds,DNA-TAKU-REG,DNA Genetics,80,USD,Tangielope Kush Regular Seeds,DNA-TAKU-REG,DNA Genetics,24K x Chocolope Kush,Indica dominant,Photoperiod,Regular,8 to 10 weeks,Fruity | Spicy,RegularSeedsTangielope Kush Regular Seeds$80,"earthy, citrus, fruity, spicy",earthy,4,DNA GeneticsParental lines24K x Chocolope KushVari,Regular,80,80,80,High THC (16-24%),High Yield (450-750gr/plant),High Yield (450-600gr/m2),Dry | Temperate | Warm,High,High,"relaxing, euphoric, creative, uplifting",relaxing,4,myrcene,myrcene,"indoor, outdoor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/granddaddy-purple-auto-feminised-seeds-rqs-grdp-auto-fem,2026-01-15T18:13:55.310652,29,"Purchase Granddaddy Purple Auto Feminised Seeds from Seedsman today! Enjoy top-quality seeds at competitive prices,with delivery across the US in just 2-12 days",Granddaddy Purple Auto Feminised Seeds,RQS-GRDP-AUTO-FEM,Royal Queen Seeds,12,USD,Granddaddy Purple Auto Feminised Seeds,RQS-GRDP-AUTO-FEM,Royal Queen Seeds,Granddaddy Purple x Big Bud Auto,,Autoflowering,Feminised,,Fruity | Piney,of Granddaddy Purple and Big Bud Auto,,,,Royal Queen SeedsParental linesGranddaddy Purple x,Autoflower,12,90,37.06,,,High Yield (450-600gr/m2),Dry | Hot | Temperate | Warm,,,relaxing,relaxing,1,,,,Purple,10 to 12 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/pink-mist-auto-feminised-seeds-rqs-pmist-auto-fem,2026-01-15T18:13:55.824595,35,Small autoflowering plants for tight spaces. Buy Pink Mist Auto Feminised seeds online from Seedsman and receive fast delivery and our famous customer service.,Pink Mist Auto Feminised Seeds,RQS-PMIST-AUTO-FEM,Royal Queen Seeds,10.5,USD,Pink Mist Auto Feminised Seeds,RQS-PMIST-AUTO-FEM,Royal Queen Seeds,Pink Mist x Royal Haze Auto,Sativa dominant,Autoflowering,Feminised,,Earthy | Floral | Fruity,al linesPink Mist x Royal Haze AutoVarietySativa dominantColourPink | PurpleFlowering typeAutofloweringSexFeminisedTHC contentHigh THC (16-24%)CBD con,,,,Royal Queen SeedsParental linesPink Mist x Royal H,Feminized,10.5,70,23.31,High THC (16-24%),Modest Yield (up to 200gr/plant),Average Yield (350-450gr/m2),Dry | Temperate | Warm,Medium,,"relaxing, euphoric, uplifting",relaxing,3,,,,Pink | Purple,more than 12 weeks,Low CBD (0-1%),Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/baja-blast-s1-feminised-seeds-mosca-babls1-fem,2026-01-15T18:13:56.298020,29,Baja Blast S1 Feminised Seeds is a slightly indica-dominant strain that grows large plants outdoors with a robust branching structure. Delicious sweet citrus flavours.,Baja Blast S1 Feminised Seeds,MOSCA-BABLS1-FEM,Mosca Seeds,65,USD,Baja Blast S1 Feminised Seeds,MOSCA-BABLS1-FEM,Mosca Seeds,Mtn Deux Baja Blast selection,Indica dominant,Photoperiod,Feminised,,Fruity,al linesMtn Deux Baja Blast selectionVarietyIndica dominantFlowering typePhotoperiodSexFeminisedYield outdoorVery High Yield (above 750gr/plant)Yield,lemon,lemon,1,Mosca SeedsParental linesMtn Deux Baja Blast selec,,65,120,74.17,,Very High Yield (above 750gr/plant),High Yield (450-600gr/m2),Hot | Warm,,,,,,,,,,,,,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/duck-auto-feminized-seeds-dp-auto-duck,2026-01-15T18:13:56.746798,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedsman,https://www.seedsman.com/us-en/planet-of-the-grapes-auto-feminized-seeds-etho-potg-auto-fem,2026-01-15T18:13:57.163884,9,Planet of the Grapes Auto Feminised Seeds #html-body [data-pb-style=DASJCIW]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}Planet o,Planet of the Grapes Auto Feminized Seeds,ETHO-POTG-AUTO-FEM,Ethos Genetics,70,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
