strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
dbf76673-0cf9-4829-954f-f51e3576a690,dutch_passion,Auto Xtreme Haze,,,,,,,,,,,,,,,,,,,,,,True,html/0b722e5d36a35ac4.html,,2026-01-12T12:55:37.308276,,https://dutch-passion.us/cannabis-seeds/auto-xtreme-haze,,,,0.3,0.3,0.3,,,,,Dutch Passion
51038e74-5843-431f-b294-25b4284a4d4b,dutch_passion,The World's Largest,,s Seeds,0.1,,,,,,,,,,,,,F5,,,,,,False,html/27af522e7540dbb1.html,,2026-01-12T12:55:37.542508,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-xtreme/prod_2233,,,,,,,,,,,Dutch Passion
123e9d87-cb83-49a9-b34d-3b8e0fb5e49a,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,,,"earthy, pine",,,F5,,,,,,False,html/96d134ff9793fbd7.html,,2026-01-12T12:55:37.815922,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-white-widow-x-the-ultimate/prod_1974,,,18.0,,19.0,17.0,17.00-19.00%,,,,Dutch Passion
2e199594-f950-4a76-88f7-c49cf994bff6,dutch_passion,The World's Largest,,s Seeds,0.05,,,,,,,,,,pine,,,F5,,,,,,False,html/aad58634518e23c3.html,,2026-01-12T12:55:38.031350,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-white-widow/prod_2582,,,17.5,,20.0,15.0,15-20%,,,,Dutch Passion
34153c4b-4a90-44e5-afe7-62137cee0c36,dutch_passion,White Widow,,Bundles,,,,,,,,,,,,AutoFlower,,,treme Auto,,,,,True,html/1dea0dc25f465f1b.html,,2026-01-12T12:55:38.251947,,https://multiversebeans.com/product/dutch-passion-white-widow-auto-fem/,,,,,,,,,,,Dutch Passion
d1691512-6a25-428a-8951-3bfe70e3ad29,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,,,,,,F1,,,,,,False,html/27b77440fb0f179c.html,,2026-01-12T12:55:38.467178,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-white-widow/prod_411,,,,,,,,,,,Dutch Passion
9083db49-7b73-4ca1-9189-de51e9b2eb95,dutch_passion,White Widow,,crossing Brazilian and Indian strains,,,,,,,,,,,earthy,,,F1,,,,,,True,html/c74e770d2585468a.html,,2026-01-12T12:55:38.809599,,https://dutch-passion.us/cannabis-seeds/white-widow,,,,0.3,0.3,0.3,,,,,Dutch Passion
0e79f4b3-51eb-4871-823a-52f53ad2ffb7,dutch_passion,The World's Largest,,s Seeds,0.07,,,,,,,,,,,,,F5,,,,,,False,html/01c88b4e57cfc1d5.html,,2026-01-12T12:55:39.076615,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-ultimate/prod_2744,,,,,,,,,,,Dutch Passion
cb521a6b-ed7f-4617-9eba-c018a8f5e57f,dutch_passion,Auto Ultimate,,carefully selecting and crossing The Ultimate with,,,,,,,,,,,earthy,,,,,,,,,True,html/9e2f2f7abe4371e6.html,,2026-01-12T12:55:39.451184,,https://dutch-passion.us/cannabis-seeds/auto-ultimate,,5.0,,0.3,0.3,0.3,,,,,Dutch Passion
16793f0f-1d21-4ff8-9c65-58034126c856,dutch_passion,The World's Largest,,s Seeds,0.17,,,,,,,,,,,,,F5,,,,,,False,html/70cf07a652d780f5.html,,2026-01-12T12:55:39.689862,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-trichome-and-cream/prod_7707,,,,,,,,,,,Dutch Passion
09db335a-6c6f-4991-9b63-b9cfea97fd41,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,Sativa,,,,,F5,,,,,20.0,False,html/9f59c7fb0555dd88.html,60.0,2026-01-12T12:55:39.919378,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-think-different/prod_405,,,17.5,,20.0,15.0,15-20%,,,,Dutch Passion
bd766f55-04ee-4ac2-95e4-a5512fb97a39,dutch_passion,Auto Think Different,,,,,,,,,,,,,"earthy, pine",,,,,,,,,True,html/788c790e8e73aff2.html,,2026-01-12T12:55:40.296439,,https://dutch-passion.us/cannabis-seeds/auto-think-different,,,,0.3,0.3,0.3,,,,,Dutch Passion
743e821c-013c-42fd-b1b5-709dc4e73e07,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,,,,,,F5,,,,,,False,html/e9ce07596bdb9bb9.html,,2026-01-12T12:55:40.518272,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-think-big/prod_4010,,,,,,,,,,,Dutch Passion
b6d2865f-1dc9-4916-9880-710dfbb4f271,dutch_passion,The Ultimate,,Bundles,,,,,,,,,,,,AutoFlower,,,,,,,,,html/65e60a2fd400e7e1.html,,2026-01-12T12:55:40.704521,CBD Dominate,https://multiversebeans.com/product/dutch-passion-the-ultimate-auto-fem/,,,,,,,,,,,Dutch Passion
3bbb0871-5ad5-405f-82bd-02dd9930ef4b,dutch_passion,The Ultimate | Dutch Passion | FEM Photoperiod,,Bundles,,,,,,,"The Ultimate has a pungent scent with piney, spicy and fruity notes",,,,"earthy, pine",Photoperiod,,,,,,,,True,html/ee722a5ec36b99c9.html,,2026-01-12T12:55:40.926573,,https://multiversebeans.com/product/dutch-passion-the-ultimate-fem-photo/,,,,,,,,,,,Dutch Passion
4a3d17e8-c291-48d0-82d7-60e9c129ac82,dutch_passion,The Ultimate,,s have worked hard to give this stable hybrid the,,,,,,,,,Balanced Hybrid,,"earthy, pine",,,,,,,,50.0,True,html/592de578d6c9f877.html,50.0,2026-01-12T12:55:41.269667,,https://dutch-passion.us/cannabis-seeds/the-ultimate,,,,0.3,0.3,0.3,,,,,Dutch Passion
2f56d8e1-c5de-493d-ba62-181e1c58d861,dutch_passion,Sugar Bomb Punch ,,carefully crossing different types of genetics,,,,,,,,,,,earthy,,,,,,,,,True,html/f78733dabc40eab3.html,,2026-01-12T12:55:41.657198,,https://dutch-passion.us/cannabis-seeds/sugar-bomb-punch,,5.0,,0.3,0.3,0.3,,,,,Dutch Passion
21d1ff46-9b1d-47ac-a164-a1879ea334f1,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,,,,,,F5,,,,,,False,html/9129269bd340de4c.html,,2026-01-12T12:55:41.856588,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-strawberry-soda/prod_9797,,,16.5,,18.0,15.0,15.00-18.00%,,,,Dutch Passion
1c65b91a-9460-4242-8fee-5bcffb72675a,dutch_passion,Auto Strawberry Soda,,,,,,,,,,,,,,,,,,,,,,True,html/6b68c97c64d71c1f.html,,2026-01-12T12:55:42.144287,,https://dutch-passion.us/cannabis-seeds/auto-strawberry-soda,,,,0.3,0.3,0.3,,,,,Dutch Passion
89f6b541-a0ea-46c9-b00e-9d35a80718a3,dutch_passion,Strawberry Cough,,,,,,,,,,,,,,,,,,,,,,True,html/3a0eda9d126123e2.html,,2026-01-12T12:55:42.543385,,https://dutch-passion.us/cannabis-seeds/strawberry-cough,,,17.5,,20.0,15.0,15-20%,,,,Dutch Passion
fabb0b2a-40d8-4d16-a773-61f0d1671ffe,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,Sativa,,,,,F5,,,,,25.0,False,html/63bb8fa42c1a3553.html,70.0,2026-01-12T12:55:42.832667,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-starryder/prod_1972,,,17.0,,19.0,15.0,15-19%,,,,Dutch Passion
7cf0dcdd-9542-4aba-bbdc-9515d3b08ef4,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,,,,,,F1,,,,,,False,html/8b6121e24c851af2.html,,2026-01-12T12:55:43.109297,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-sour-fruit-tartare-f1/prod_10114,,,,,,,,,,,Dutch Passion
19202009-4c32-45cb-a45b-c0961cd247e5,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,,,,,,F5,,,,,,False,html/1f3ebb5cfe49510e.html,,2026-01-12T12:55:43.348747,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-auto-skywalker-haze/prod_7278,,,,20.0,20.0,20.0,,,,,Dutch Passion
b86585da-2b19-489f-8388-d5af9c9c4771,dutch_passion,Auto Skywalker Haze,,,,,,,,,,,,,,,,,,,,,,True,html/c35b1bd53987b760.html,,2026-01-12T12:55:43.719355,,https://dutch-passion.us/cannabis-seeds/auto-skywalker-haze,,5.0,,0.3,0.3,0.3,,,,,Dutch Passion
78c39611-f0f6-45c8-8a1e-360f1cc42def,dutch_passion,The World's Largest,,s Seeds,,,,,,,,,Sativa,,,,,F5,,,,,25.0,False,html/066a598d6c9a936b.html,75.0,2026-01-12T12:55:43.955477,,https://www.cannabis-seeds-bank.co.uk/dutch-passion-seeds-skunk-1/prod_3856,,,,,,,,,,,Dutch Passion
53990fff-0883-426b-969d-8b08782be62d,dutch_passion,Skunk #1,1992.0,,,,,,,,,,Sativa,,earthy,,,,,,,,25.0,True,html/298d6cc032bc1fb9.html,75.0,2026-01-12T12:55:44.220256,,https://dutch-passion.us/cannabis-seeds/skunk-1,,,,0.3,0.3,0.3,,,,,Dutch Passion
