strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
5f2d59fc-1f7e-4229-b30e-b3383e1cbe0e,exotic,Alpha One,,,,,,,,,,,,,,,,,The One x Grape Jubilee,,,,,,html/00f5219dad8ce7ad.html,,2026-01-14,,https://exoticgenetix.com/product/alpha-one-3231313/,,,,,,,,,,,Exotic Genetix
c4f5b8ad-f7ac-4f36-bf5d-5b14e5e93c25,exotic,Big Ripper,,,,,,,,,,,,,,,,,Grease Monkey x Scotty 2 Hotty,,,,,,html/02568041ecf63ce9.html,,2026-01-14,,https://exoticgenetix.com/product/big-ripper-2/,,,,,,,,,,,Exotic Genetix
7f022a02-fb52-4f4a-bfd6-f19287c7835d,exotic,Sweat Helmet,,,,,,,,,,,,,,,,,,,,,,,html/03f3cf20fc6b51d4.html,,2026-01-14,,https://exoticgenetix.com/product/sweat-helmet/,,,,,,,,,,,Exotic Genetix
f4439ae3-1740-4f7f-aed4-9a7b145a858f,exotic,Big League Sherb,,,,,,,,,,,,,,,,,,,,,,,html/03ff5237075c94f6.html,,2026-01-14,,https://exoticgenetix.com/product/big-league-sherb-regs/,,,,,,,,,,,Exotic Genetix
52211850-ce3d-4715-a596-7d0109427bd1,exotic,Breakfast of Champions,,,,,,,,,,,,,,,,,Strawberry Gary x Cereal Milk,,,,,,html/042fb9ec8a880e06.html,,2026-01-14,,https://exoticgenetix.com/product/breakfast-of-champions/,,,,,,,,,,,Exotic Genetix
e00099ad-5ef3-4484-aa8a-020b97fa88ce,exotic,Splash Daddy,,,,,,,,,,,,,,,,,Zoap x DrippinÃ¢ÂÂ Aint Eazy,,,,,,html/0453b959602c1a09.html,,2026-01-14,,https://exoticgenetix.com/product/splash-daddy-gen/,,,,,,,,,,,Exotic Genetix
d91b3d97-4573-4d3d-8648-c9961f2d96d5,exotic,Tina,,,,,,,,,,,,,,,,,,,,,,,html/050f44ddd6582ddd.html,,2026-01-14,,https://exoticgenetix.com/product/tina/,,,,,,,,,,,Exotic Genetix
c1efd493-49a5-4946-a3f6-0b360ffbbf5a,exotic,Blueberry Bang Bang Player Packs,,,,,,,,,,,,,,,,,,,,,,,html/08908bd8f8c47bac.html,,2026-01-14,,https://exoticgenetix.com/product/blueberry-bang-bang-player-packs/,,,,,,,,,,,Exotic Genetix
eeab01a3-d118-4b65-8f78-d868352e6611,exotic,DunkinÃ¢ÂÂ Dandy,,,,,,,,,,,,,,,,,Milk & Cookies x Falcon-9,,,,,,html/0e19cdb8db7f2514.html,,2026-01-14,,https://exoticgenetix.com/product/dunkin-dandy/,,,,,,,,,,,Exotic Genetix
e035f7db-e506-412a-9c7c-03266f13f9c3,exotic,Nal Nudda Ã¢ÂÂ Early Release Label,,,,,,,,,,,,,,,,,Grease Monkey x DrippinÃ¢ÂÂ Aint Eazy,,,,,,html/0e60dee96e4a3dad.html,,2026-01-14,,https://exoticgenetix.com/product/nal-nudda/,,,,,,,,,,,Exotic Genetix
7b8c3142-e07c-4e22-8389-09dccc4de296,exotic,PoppinÃ¢ÂÂ Fresh,,,,,,,,,,,,,,,,,Pave x Gary Poppins,,,,,,html/0f662a97fc3f8962.html,,2026-01-14,,https://exoticgenetix.com/product/poppin-fresh/,,,,,,,,,,,Exotic Genetix
18f34a32-553d-4c7a-8efb-26a074dca950,exotic,Frosty FrappÃ¢ÂÂe,,,,,,,,,,,,,,,,,Horchata x OMFG,,,,,,html/0f68d3e0955e18d2.html,,2026-01-14,,https://exoticgenetix.com/product/frosty-frappe/,,,,,,,,,,,Exotic Genetix
5fc2ceb0-3916-41f2-9d75-6d85db8500a4,exotic,High Voltage,,,,,,,,,,,,,,,,,Lemon Drip x Falcon-9,,,,,,html/0fd4baba306d378e.html,,2026-01-14,,https://exoticgenetix.com/product/high-voltage/,,,,,,,,,,,Exotic Genetix
011575f6-2c9d-4c60-8984-1942e3e89a1d,exotic,drip station,,,,,,,,,,,,,,,,,,,,,,,html/1016658af048c2bf.html,,2026-01-14,,https://exoticgenetix.com/product-category/seeds/drip-station/,,,,,,,,,,,Exotic Genetix
79094c00-0a01-46af-8418-af0e7af65dfb,exotic,Finger Blaster,,,,,,,,,,,,,,,,,Lazer Fuel x Kacklesnatch,,,,,,html/14056c7bbeb5a8c7.html,,2026-01-14,,https://exoticgenetix.com/product/finger-blaster/,,,,,,,,,,,Exotic Genetix
bf14db8e-faf9-47eb-93d7-b84d37ce3265,exotic,Pissin In Your Milk Ã¢ÂÂ LTD. Edition Lil Stimmy Kit,,,,,,,,,,,,,,,,,,,,,,,html/160743d53e421f53.html,,2026-01-14,,https://exoticgenetix.com/product/pissin-in-your-milk-ltd-edition-lil-stimmy-kit/,,,,,,,,,,,Exotic Genetix
dd4a54d8-00e7-4734-94fd-aa3ceed5ecab,exotic,Marshmallow Mountain,,,,,,,,,,,,,,,,,Bakers Dozen x Gary Poppins,,,,,,html/167bd6f931d12a59.html,,2026-01-14,,https://exoticgenetix.com/product/marshmallow-mountain/,,,,,,,,,,,Exotic Genetix
2ad00c3e-15fc-4c45-84c1-fbaf2156c28e,exotic,grease monkey,,,,,,,,,,,,,,,,,,,,,,,html/169df476605ecc71.html,,2026-01-14,,https://exoticgenetix.com/product-category/seeds/grease-monkey/,,,,,,,,,,,Exotic Genetix
e86bee05-3447-48cf-aa31-964214e5bdc9,exotic,O-Face,,,,,,,,,,,,,,,,,Lemon Cherry Gelato x OMFG,,,,,,html/17a4e1358b09f93d.html,,2026-01-14,,https://exoticgenetix.com/product/o-face/,,,,,,,,,,,Exotic Genetix
377b5d48-93ab-4fae-99af-ceee73b09b3d,exotic,Dough Nutty,,,,,,,,,,,,,,,,,BakerÃ¢ÂÂs Dozen x OMFG,,,,,,html/186b842c7200bc24.html,,2026-01-14,,https://exoticgenetix.com/product/dough-nutty/,,,,,,,,,,,Exotic Genetix
59255970-e577-4771-a0d9-56fa8a2e7613,exotic,Zip zap,,,,,,,,,,,,,,,,,Red Runtz x Falcon-9,,,,,,html/1916edd74a43e109.html,,2026-01-14,,https://exoticgenetix.com/product/zip-zap/,,,,,,,,,,,Exotic Genetix
7edef082-ffd1-4436-8162-3ecc0b5f8898,exotic,Pleasure Button,,,,,,,,,,,,,,,,,,,,,,,html/1ae10faada90aa2a.html,,2026-01-14,,https://exoticgenetix.com/product/pleasure-button/,,,,,,,,,,,Exotic Genetix
54885250-c1b0-4936-b2e0-5e236dd75488,exotic,Jungle Cat Ã¢ÂÂ Early Release Label,,,,,,,,,,,,,,,,,Golden Poppy x Greasy Runtz,,,,,,html/1b168e8c7274d55e.html,,2026-01-14,,https://exoticgenetix.com/product/jungle-cat/,,,,,,,,,,,Exotic Genetix
982650a5-a714-46bc-82f3-00e71fed4509,exotic,Splat,,,,,,,,,,,,,,,,,Cookies & Cream x Pressure,,,,,,html/1b35a498b488ed60.html,,2026-01-14,,https://exoticgenetix.com/product/splat-2/,,,,,,,,,,,Exotic Genetix
52e61155-18b3-419a-a08e-7e3807ad375d,exotic,StimmyÃ¢ÂÂs Choice Random 3ct Bonus Pack,,,,,,,,,,,,,,,,,,,,,,,html/1b43f7daff3967dc.html,,2026-01-14,,https://exoticgenetix.com/product/stimmys-choice-random-3-pack/,,,,,,,,,,,Exotic Genetix
