strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Mimosa Shot Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/mimosa-shot-herbies-seeds,html/003baad9d5646147.html,Herbies Seeds
Holy Snow Ghs,https://herbiesheadshop.com/cannabis-seeds/holy-snow-ghs,html/00af474d995cd192.html,Green House Seeds
Dozy Whale,https://herbiesheadshop.com/cannabis-seeds/dozy-whale,html/00d6de21c82701d2.html,AlphaFem Seeds
Auto Lemon Z,https://herbiesheadshop.com/cannabis-seeds/auto-lemon-z,html/01593969fc4cf3be.html,Dutch Passion
Larry Og Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/larry-og-herbies-seeds-usa,html/01944f3623991761.html,Herbies Seeds
Cbd Auto Blackberry Kush,https://herbiesheadshop.com/cannabis-seeds/cbd-auto-blackberry-kush,html/01b8cb65adb45dd5.html,Dutch Passion
Hindu Kush Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/hindu-kush-auto-herbies-seeds-usa,html/025019c5ecc5d96f.html,Herbies Seeds
Lemon Tree Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/lemon-tree-barneys-farm,html/0256cec45eaae253.html,Barney's Farm
Durban,https://herbiesheadshop.com/cannabis-seeds/durban,html/032fdcbc4654f4d4.html,Sensi Seeds
Ztrawberry Ghs,https://herbiesheadshop.com/cannabis-seeds/ztrawberry-ghs,html/0342b1b2bbcf3e2f.html,Green House Seeds
Russian Doll,https://herbiesheadshop.com/cannabis-seeds/russian-doll,html/035048322f934615.html,Kannabia Seeds
White Truffle Growers Choice,https://herbiesheadshop.com/cannabis-seeds/white-truffle-growers-choice,html/03609e4ed9a8a15f.html,Growers Choice
Chem Cookies,https://herbiesheadshop.com/cannabis-seeds/chem-cookies,html/048f1ff1359b278b.html,AlphaFem Seeds
Auto White Widow Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/auto-white-widow-dutch-passion,html/04a3ff8f166dfeac.html,Dutch Passion
