strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
102af824-9225-4389-9c78-bdb779afe5ab,herbies,Mimosa Shot Herbies Seeds,,,98.29,,,,,,,,,happy,sweet,56-70 days,,,Purple Punch x Clementine   Show all Show less     Mimosa Shot Strain Reviews    5.0   42 reviews,78.7,78.7,,30.0,,html/003baad9d5646147.html,70.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/mimosa-shot-herbies-seeds,"Outdoor, Indoor",,,98.29,,,,,2.3,28.2,Herbies Seeds
bf6f7ab7-7553-442f-bf4f-a168560eab32,herbies,Holy Snow Ghs,,,96.74,,,,,,,,,happy,sweet,63-70 days,,,Hawaiian Snow x Holy Punch   Show all Show less     Holy Snow Strain Reviews     No reviews yet. Be,,,,30.0,,html/00af474d995cd192.html,70.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/holy-snow-ghs,"Outdoor, Indoor",,,96.74,,,,,1.6,24.7,Green House Seeds
5e0b52cc-4bbe-4cc6-a4ee-43009c2350a0,herbies,Dozy Whale,,,99.34,,,,,,,,,happy,pine,65-70 days,,,Dozy Doz x (White Widow IBL x Haze IBL)   Show all Show less     Dozy Whale Strain Reviews    4.9,78.7,78.7,,,,html/00d6de21c82701d2.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/dozy-whale,"Outdoor, Indoor",,,99.34,,,,,1.6,21.2,AlphaFem Seeds
b408738e-a16e-4861-aece-6cf24f7f0c0e,herbies,Auto Lemon Z,,,99.01,,,,,,,,,happy,citrus,,,,Z x Las Vegas Lemon Skunk   Show all Show less     Auto Lemon Kix (Auto Lemon Z) Strain Reviews    4,,,,,,html/01593969fc4cf3be.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/auto-lemon-z,"Outdoor, Indoor, Greenhouse",,,99.01,,,,84 days,1.6,,Dutch Passion
0c5e0af5-8e1c-430e-9eba-e8b6193db56a,herbies,Larry Og Herbies Seeds Usa,,,98.29,,,,,,,,,happy,earthy,60-63 days,,,Larry OG (Indica) x OG   Show all Show less     Larry OG Strain Reviews     No reviews yet. Be the f,47.2,47.2,,,,html/01944f3623991761.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/larry-og-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,1.6,10.6,Herbies Seeds
3bfa5639-eefb-4d46-9a1d-fd254682bce9,herbies,Cbd Auto Blackberry Kush,,,99.01,,,,,,,,,relaxed,berry,,,,Auto Blackberry Kush x CBD Plant   Show all Show less     CBD Auto Blackberry Kush Strain Reviews,,,,,,html/01b8cb65adb45dd5.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/cbd-auto-blackberry-kush,"Outdoor, Indoor, Greenhouse",,,99.01,,,,91 days,1.6,,Dutch Passion
523a2c30-2ab9-46a9-927c-c8b0d2bdc5c8,herbies,Hindu Kush Auto Herbies Seeds Usa,,,98.29,,,,,,,,,happy,sweet,60-70 days,,,(Hindu Kush x Star Dawg) x Ruderalis   Show all Show less     Hindu Kush Auto Strain Reviews    4.9,59.1,59.1,,,,html/025019c5ecc5d96f.html,,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/hindu-kush-auto-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,60 - 70 days,1.6,3.9,Herbies Seeds
4b48c223-94c2-47f4-9d65-e01223f2b2a3,herbies,Lemon Tree Barneys Farm,,,98.39,,,,,,,,,happy,sweet,65-70 days,,,Lemon Skunk x Sour Diesel   Show all Show less     Lemon Tree Strain Reviews    5.0   4 reviews,39.4,78.7,,55.0,,html/0256cec45eaae253.html,45.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/lemon-tree-barneys-farm,"Outdoor, Indoor",,,98.39,,,,,2.1,52.9,Barney's Farm
94199810-58a0-48a3-89da-0240dedfa556,herbies,Durban,,,99.2,,,,,,,,,euphoric,earthy,50-70 days,,,South African   Show all Show less     Durban Strain Reviews    5.0   2 reviews     Customer photos,,98.4,,10.0,,html/032fdcbc4654f4d4.html,90.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/durban,"Outdoor, Indoor",,,99.2,,,,,,,Sensi Seeds
3d1e3906-084d-455b-b970-6d667a7c858f,herbies,Ztrawberry Ghs,,,96.74,,,,,,,,,relaxed,berry,56-63 days,,,Runtz x A.M.S   Show all Show less     Ztrawberry Strain Reviews     No reviews yet. Be the first to,,110.2,,60.0,,html/0342b1b2bbcf3e2f.html,40.0,2026-01-14,,https://herbiesheadshop.com/cannabis-seeds/ztrawberry-ghs,"Outdoor, Indoor",,,96.74,,,,,2.6,42.3,Green House Seeds
