strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw
e36bc822-55a3-4426-9df7-9acf8431a2ef,ilgm,Critical Mass Feminized,,,,,,,,,"Critical Mass Feminized is an 18Ã¢ÂÂ22% THC indica-dominant strain with skunky-citrus flavor, calm clarity, and heavy body relaxation for evening use.",,,,,,,,,,,,,,html/0017fbd840f2539f.html,,2026-01-13T08:30:43.034964,,https://ilgm.com/products/critical-mass-feminized-seeds,,,20.0,,22.0,18.0,,,,
9ab82227-263a-45f4-ac60-fe9879bc5aba,ilgm,Chronic Widow Feminized,,,,,,,,,Chronic Widow is a high-potency marijuana strain that delivers energetic to relaxed effects. | Free Discreet Shipping,,,,,,,,,,,,,,html/04bda71b105a561c.html,,2026-01-13T08:36:07.216638,,https://ilgm.com/products/chronic-widow-feminized-seeds,,,,,,,,,,
7d350fdc-0584-46eb-867a-50c31bf43335,ilgm,Gelonade Autoflower,,,,,,,,,"Gelonade Autoflower is a High Times Cup-winning marijuana strain that delivers energetic, giggly highs. | Free Discreet Shipping",,,,,,,,,,,,,,html/051576cf88d9b6d3.html,,2026-01-13T08:34:23.403349,,https://ilgm.com/products/gelonade-autoflower-seeds,,,,,,,,,,
c649fc75-07ab-408c-8669-ab5a6f0434a5,ilgm,Carma Cbd Feminized,,,,,,,,,Carma is a high CBD industrial hemp strain with some of the richest levels of cannabinoids! Grow pesticide & GMO-free Carma seeds from ILGM.,,,,,,,,,,,,,,html/09d797aff08f7703.html,,2026-01-13T08:22:47.214593,,https://ilgm.com/products/carma-cbd-feminized-seeds,,,,,,,,,,
7bfc671f-cfe0-48c5-9391-85500434afbc,ilgm,Green Crack Feminized,,,,,,,,,Green Crack is a Snoop Dogg renamed classic with a citrus-mango Skunk flavor. | Free Discreet Shipping,,,,,,,,,,,,,,html/0a773c1f8fe81602.html,,2026-01-13T08:36:46.082779,,https://ilgm.com/products/green-crack-feminized-seeds,,,,,,,,,,
cd9be51a-498c-4e84-80d7-c0a1b5aaaf34,ilgm,Pineapple Haze Feminized,,,,,,,,,"Pineapple Haze is a fruity weed that tastes like ripe pineapple and delivers energetic, uplifted effects. | Free Discreet Shipping",,,,,,,,,,,,,,html/0a9ab4529d54ddc1.html,,2026-01-13T08:34:28.977124,,https://ilgm.com/products/pineapple-haze-feminized-seeds,,,,,,,,,,
4c115655-f79e-4872-8041-351bf5c08934,ilgm,Do Si Dos Feminized,,,,,,,,,"Buy Do-Si-Dos seeds with discreet shipping, and guaranteed arrival & germination! Our Do Si Dos feminized cannabis seeds are potent a strain with high THC...",,,,,,,,,,,,,,html/0b575d00c515483d.html,,2026-01-13T10:20:19.201485,,https://ilgm.com/products/do-si-dos-feminized-seeds,,,,,,,,,,
05408220-02ff-4d9c-81fa-c8b6424cca7e,ilgm,Purple Kush Autoflower,,,,,,,,,"Purple Kush Autoflower is a true-purple grape-berry flavored weed with euphoric, giggly effects | Free Discreet Shipping",,,,,,,,,,,,,,html/0c4ec00646c8e20d.html,,2026-01-13T08:37:10.030458,,https://ilgm.com/products/purple-kush-autoflower-seeds,,,,,,,,,,
adcad694-6a1c-4302-8ca8-bc5a38f5a50a,ilgm,Blueberry Autoflower,,,,,,,,,Fruity and potent Blueberry Auto delivers a calming Indica high. Ideal for stress relief. Ã¢ÂÂ Free & discreet delivery. From $9.45 per seed,,,,,,,,,,,,,,html/0d2b3bf9370a054d.html,,2026-01-13T08:25:40.322020,,https://ilgm.com/products/blueberry-autoflower-seeds,,,,,,,,,,
682bb67b-ad8d-4c57-9b26-65825450247f,ilgm,Blue Dream Autoflower,,,,,,,,,"Blue Dream Autoflower is a balanced hybrid with sweet berry flavor and uplifting effects. Perfect for daytime focus, creativity, and stress relief.",,,,,,,,,,,,,,html/0fe88189a457fcb0.html,,2026-01-13T10:22:01.758117,,https://ilgm.com/products/blue-dream-autoflower-seeds,,,,,,,,,,
b3eb138d-02a5-4fae-80e5-49c2816d44a3,ilgm,Blackberry Kush Feminized,,,,,,,,,Blackberry Kush is a popular indica-dominant strain to relax to. Buy Blackberry Kush seeds for growing a compact plant indoors. Guaranteed germination!,,,,,,,,,,,,,,html/109c6d012c6b68fd.html,,2026-01-13T08:33:56.425127,,https://ilgm.com/products/blackberry-kush-feminized-seeds,,,,,,,,,,
fd99c133-39c5-442c-91df-dc754dbefdbe,ilgm,Tangie Autoflower,,,,,,,,,"Tangie Autoflower is bursting with explosive tangerine citrus and sparks energetic, talkative, uplifted vibes. | Free Discreet Shipping",,,,,,,,,,,,,,html/10b90ef57f0feb84.html,,2026-01-13T08:32:44.966263,,https://ilgm.com/products/tangie-autoflower-seeds,,,,,,,,,,
81a14bb9-a8c2-4be7-99f2-558dc9517b42,ilgm,Critical Mass Autoflower,,,,,,,,,"Critical Mass Autoflower is marijuana that stacks big, dense colas and leaves you relaxed and couch locked | Free Discreet Shipping",,,,,,,,,,,,,,html/1213de4129aa3496.html,,2026-01-13T08:22:25.740597,,https://ilgm.com/products/critical-mass-autoflower-seeds,,,,,,,,,,
