strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
28a4d48b-ddd8-46b6-82d1-bad945f23232,seed_supreme,Amnesia x AK-47 Feminized,,,,,,,,,"A comparative newcomer to the scene, Amnesia x AK-47 Feminized is a Sativa-dominant hybrid that impresses in all the essential areas. Whether looking to get fired up on a Monday morning or in need of a jitter-free energy boost in the afternoon, look no further than this potent feminized hybrid of industry legends...",,Indica,,,,,,,,,,,False,html/f4ad15c7561c4a03.html,40.0,2026-01-12T17:09:15.005752,Hybrid,https://seedsupreme.com/amnesia-x-ak-47-feminized.html,,,,,,,,,,,Seed Supreme
472b46da-a94f-40a7-942b-2eed48897974,seed_supreme,Zookies Autoflower Cannabis,,,,,,,,,,,,,,,,,,,,,,False,html/bf63f44d97612ab9.html,,2026-01-12T17:09:15.357073,,https://seedsupreme.com/zookies-autoflower.html,,,,,,,,,,,Seed Supreme
3a5ebb6d-f7cc-4d55-8e95-7874f4f99c56,seed_supreme,Zombie Death Fuck Feminized,,,,,,,,,"Strongly Sativa and cerebral, this immense psychedelic pot is a miracle baby between legendary strains, and the happiest accident the cannabis community has ever seen...",,,,,,,,,,,,,False,html/dc99405999195801.html,,2026-01-12T17:09:15.726781,Hybrid,https://seedsupreme.com/zombie-death-fuck-feminized.html,,,,23.0,23.0,23.0,,,,,Seed Supreme
55276e93-c708-4ec6-b052-ab7227e6df66,seed_supreme,Zkittlez Feminized,2016.0,,,,,,,,"Probably named after the kaleidoscopic candy, Skittles, this strain promises a rainbow of fruity and sweet delights worthy of the moniker...",,,,,,,,,,,,,False,html/7c9a2e75fde41220.html,,2026-01-12T17:09:16.098711,Hybrid,https://seedsupreme.com/zkittlez-feminized.html,,,,,,,,,,,Seed Supreme
2f48737a-ae77-4059-b7e8-f50f0d992c36,seed_supreme,Yumbolt Autoflower,,,,,,,,,"Heavy-handed and relaxing despite her refreshing tropical rainforest aroma, this potÃ¢ÂÂs effects begin with a soaring euphoria before she drags you down to bliss and tranquility...",,,,,,,,,,,,,False,html/c41f8ed2d2cb818a.html,,2026-01-12T17:09:16.402965,Hybrid,https://seedsupreme.com/yumbolt-autoflower.html,,,,24.0,24.0,24.0,,,,,Seed Supreme
a02c922b-600c-4f0a-a7d8-4ced2f4f691d,seed_supreme,White Widow x Crystal Meth Autoflower,,,,,,,,,"The exquisite ancestry of White Widow x Crystal Meth says all that needs to be said about this herb's quality. Multi-dimensional in her appeal, this is an easy-grow strain that combines a generous 20% THC content with...",,,,,,,,,,,,,False,html/7fae9a9f9d5f0b77.html,,2026-01-12T17:09:16.757841,Hybrid,https://seedsupreme.com/white-widow-x-crystal-meth-autoflower.html,,,,20.0,20.0,20.0,,,,,Seed Supreme
0b7e33d1-e648-4ba9-8a45-251546f833db,seed_supreme,White Widow x California Snow Autoflower,,,,,,,,,"An outstanding new-generation hybrid with endless points of appeal, White Widow x California Snow Autoflower is everything a simple homegrown strain should be.&nbsp; Typically taking just 10 weeks...",,,,,,,,,,,,,False,html/2b0087cc0a1877bd.html,,2026-01-12T17:09:17.127634,Hybrid,https://seedsupreme.com/white-widow-x-california-snow-autoflower.html,,,,25.0,25.0,25.0,,,,,Seed Supreme
a995694c-fd11-42f2-974b-c7f6e2268aed,seed_supreme,White Widow Feminized,1995.0,,,,,,,,"Beautiful, potent and pungent, White Widow Feminized is well-loved across the cannabis community for her invaluable medicinal effects and hard-hitting recreational buzz...",,,,,,,,,,,,,False,html/4566819d5dcd82c5.html,,2026-01-12T17:09:17.508711,Hybrid,https://seedsupreme.com/white-widow-feminized.html,,,,25.0,25.0,25.0,,,,,Seed Supreme
088cca1a-3246-42c5-a0a0-e7432b5dc845,seed_supreme,White Widow Regular,,,,,,,,,"As legendary as any strain ever to hit the commercial market, White Widow is an absolute superstar for all types of social situations. With her exquisite...",,,,,,,,,,,,,False,html/a79b857a4aeb0403.html,,2026-01-12T17:09:17.824023,Hybrid,https://seedsupreme.com/white-widow-regular.html,,,,,,,,,,,Seed Supreme
260ec9ad-4b5e-47f3-8551-6e89f16faedd,seed_supreme,White Truffle Ice Cream Feminized Seeds ,,,,,,,,,,,Indica,,,,,,,,,,,False,html/ca7417e2f8ec8050.html,40.0,2026-01-12T17:09:18.139288,,https://seedsupreme.com/white-truffle-ice-cream-feminized-seeds.html,,,26.0,,28.0,24.0,24-28%,,,,Seed Supreme
93ad4dc3-7679-4653-896c-c70ef7f517f8,seed_supreme,White Russian Feminized,,,,,,,,,"A strain thatÃ¢ÂÂs stood the test of time, award-winning&nbsp;White Russian Feminized remains one of the most well-loved strains in the cannabis community decades after she was first introduced...",,,,,,,,,,,,,False,html/c4b43d0877593fcb.html,,2026-01-12T17:09:18.404954,Hybrid,https://seedsupreme.com/white-russian-feminized.html,,,,22.0,22.0,22.0,,,,,Seed Supreme
a189598f-0d0a-45a4-9d64-9b7571217217,seed_supreme,White Rhino Feminized,1996.0,,,,,,,,"King&nbsp;of the marijuana scene, this tropical-looking specimen is a sight to behold and a beast of a strain in flavor, effects and yield size...",,,,,,,,,,,,,False,html/79c15db4f9ddb485.html,,2026-01-12T17:09:18.735960,Hybrid,https://seedsupreme.com/white-rhino-feminized.html,,,,,,,,,,,Seed Supreme
