strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Zkittlez OG (Autoflower) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/zkittlez-og-autoflower-barneys-farm/,html/2f5ae0248966a8ea.html,Barney’s Farm
Z &#8211; Up (Autoflower) &#8211; Fast Buds,https://seedsherenow.com/shop/z-up-auto-autoflower-fast-buds/,html/d8fb2c74d62fc573.html,Fast Buds
Wedding Cake (Autoflower) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/wedding-cake-autoflower-barneys-farm/,html/ac5296ac0ea3de39.html,Barney’s Farm
Wedding Cake (Feminized) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/wedding-cake-feminized-barneys-farm/,html/255730da29390219.html,Barney’s Farm
Watermelon Zkittlez (Feminized) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/watermelon-zkittlez-feminized-barneys-farm/,html/5d3b1896c99b9104.html,Barney’s Farm
Tropicanna Banana (Feminized) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/tropicanna-banana-feminized-barneys-farm/,html/0383f111979446f1.html,Barney’s Farm
Strawberry Lemonade (Feminized) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/strawberry-lemonade-feminized-barneys-farm/,html/3549c0638dcfc243.html,Barney’s Farm
Skywalker OG (Autoflower) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/skywalker-og-autoflower-barneys-farm/,html/300beb36c3167a71.html,Barney’s Farm
Shiskaberry (Feminized) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/shiskaberry-feminized-barneys-farm/,html/e95037f922e4759d.html,Barney’s Farm
Scoops (Regular) &#8211; Exotic Genetix,https://seedsherenow.com/shop/scoops-regular-exotic-genetix/,html/799620c27e06dd3d.html,Exotic Genetix
Runtz (Autoflower) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/runtz-autoflower-barneys-farm/,html/3446e3ca5dee4ab9.html,Barney’s Farm
Purple Punch (Autoflower) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/purple-punch-autoflower-barneys-farm/,html/435148076e9819f0.html,Barney’s Farm
Purple Punch (Feminized) &#8211; Barney&#8217;s Farm,https://seedsherenow.com/shop/purple-punch-feminized-barneys-farm/,html/aab24ce9b8903faf.html,Barney’s Farm
Purple Haze (Autoflower) &#8211; Fast Buds,https://seedsherenow.com/shop/purple-haze-auto-autoflower-fast-buds/,html/bf3ba3a52d37e6b6.html,Fast Buds
Permanent Marker S1 (Feminized) &#8211; Elite Clone Seed Company,https://seedsherenow.com/shop/elite-clone-seed-company-permanent-marker-fem-5pk/,html/edbf24021d272952.html,Elite Clone Seed Company
