strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
White Wedding Strain,https://www.cropkingseeds.com/feminized-seeds/white-wedding-strain-feminized-marijuana-seeds/,html/265a33cd96ed9f5c.html,Crop King Seeds
Ice Cream Sundae Strain,https://www.cropkingseeds.com/feminized-seeds/ice-cream-sundae-strain-feminized-marijuana-seeds/,html/22849d10d0d1d429.html,Crop King Seeds
Watermelon Sorbet Strain,https://www.cropkingseeds.com/feminized-seeds/watermelon-sorbet-strain-feminized-marijuana-seeds/,html/b6f7a5d4ff50075f.html,Crop King Seeds
Grape Stomper Strain,https://www.cropkingseeds.com/feminized-seeds/grape-stomper-strain-feminized-marijuana-seeds/,html/dda8bcbc975a1896.html,Crop King Seeds
Blockhead,https://www.cropkingseeds.com/feminized-seeds/blockhead-feminized-seeds/,html/cea8cba560aa2754.html,Crop King Seeds
Dutch Treat,https://www.cropkingseeds.com/autoflowering-seeds/dutch-treat-autoflowering-marijuana-seeds/,html/8b907b9e329fad35.html,Crop King Seeds
Face Fat,https://www.cropkingseeds.com/autoflowering-seeds/face-fat-strain-autoflowering-feminized-marijuana-seeds/,html/f6f3309217956be1.html,Crop King Seeds
Tidal Wave Strain,https://www.cropkingseeds.com/feminized-seeds/tidal-wave-strain/,html/e37dc9526d316142.html,Crop King Seeds
Supernova Strain,https://www.cropkingseeds.com/feminized-seeds/supernova-strain/,html/daf88daf1c4e1605.html,Crop King Seeds
Purple Pineapple Strain,https://www.cropkingseeds.com/feminized-seeds/purple-pineapple-strain-feminized-marijuana-seeds/,html/3306084d6e924cb3.html,Crop King Seeds
Chocolate Diesel,https://www.cropkingseeds.com/feminized-seeds/chocolate-diesel-feminized-seeds/,html/7a47c3b93cc0a16f.html,Crop King Seeds
Strain Balboa,https://www.cropkingseeds.com/feminized-seeds/strain-balboa-feminized-seeds/,html/cbb72241d741f841.html,Crop King Seeds
White Burgundy Strain,https://www.cropkingseeds.com/feminized-seeds/white-burgundy-strain-feminized-marijuana-seeds/,html/71c3c60df93d6ed7.html,Crop King Seeds
Green Kush #2,https://www.cropkingseeds.com/feminized-seeds/green-kush-2-feminized-seeds/,html/415e9c454cebaa2c.html,Crop King Seeds
Cherry Guava Strain,https://www.cropkingseeds.com/feminized-seeds/cherry-guava-strain-feminized-marijuana-seeds/,html/f3ee8c817773d0f3.html,Crop King Seeds
Doppelganger Strain,https://www.cropkingseeds.com/feminized-seeds/doppelganger-strain-feminized-marijuana-seeds/,html/36a8a0f4cbdfd1d5.html,Crop King Seeds
Drip Station Strain,https://www.cropkingseeds.com/feminized-seeds/drip-station-strain-feminized-marijuana-seeds/,html/468f00ce2bb6051c.html,Crop King Seeds
Skunky Jack,https://www.cropkingseeds.com/feminized-seeds/skunky-jack-feminized-seeds/,html/c45f8ece8392d36b.html,Crop King Seeds
Angel OG,https://www.cropkingseeds.com/autoflowering-seeds/angel-og-autoflowering-marijuana-seeds/,html/92bb075bc4e6e253.html,Crop King Seeds
Pineapple Kush,https://www.cropkingseeds.com/feminized-seeds/pineapple-kush-feminized-seeds/,html/50a8f46c26603972.html,Crop King Seeds
Blue Power Strain,https://www.cropkingseeds.com/feminized-seeds/blue-power-strain-feminized-marijuana-seeds/,html/2313b7d0d633a169.html,Crop King Seeds
Kiwi Strawberry,https://www.cropkingseeds.com/feminized-seeds/kiwi-strawberry-feminized-seeds/,html/8d2e1585edb5fc85.html,Crop King Seeds
Berry Punch Strain,https://www.cropkingseeds.com/feminized-seeds/berry-punch-strain-feminized-marijuana-seeds/,html/a1c8985a6da45d96.html,Crop King Seeds
Wookies Strain,https://www.cropkingseeds.com/feminized-seeds/wookies-strain-feminized-marijuana-seeds/,html/ff40c2252a765a0f.html,Crop King Seeds
Daily Grape Strain,https://www.cropkingseeds.com/feminized-seeds/daily-grape-strain-feminized-marijuana-seeds/,html/4911d01e213419a8.html,Crop King Seeds
Country Candy Hybrid Strain,https://www.cropkingseeds.com/feminized-seeds/country-candy-hybrid-strain-feminized-seeds/,html/d158f1c7bb635108.html,Crop King Seeds
Honey Banana Strain,https://www.cropkingseeds.com/feminized-seeds/honey-banana-strain-feminized-marijuana-seeds/,html/361c20649d44d558.html,Crop King Seeds
Compound Z Strain,https://www.cropkingseeds.com/feminized-seeds/compound-z-strain-feminized-marijuana-seeds/,html/a5574b39acbc281a.html,Crop King Seeds
Wagyu Strain,https://www.cropkingseeds.com/feminized-seeds/wagyu-strain-feminized-marijuana-seeds/,html/108b7aa95e70ea3c.html,Crop King Seeds
Bio Chem,https://www.cropkingseeds.com/feminized-seeds/bio-chem-feminized-seeds/,html/1ba40adb5acfe529.html,Crop King Seeds
Grape Bubblegum Strain,https://www.cropkingseeds.com/feminized-seeds/grape-bubblegum-strain-feminized-marijuana-seeds/,html/d636fc596604a207.html,Crop King Seeds
Nightshade Strain,https://www.cropkingseeds.com/feminized-seeds/nightshade-strain-feminized-marijuana-seeds/,html/be1beb4193880e5b.html,Crop King Seeds
Daywrecker Strain,https://www.cropkingseeds.com/feminized-seeds/daywrecker-strain-feminized-marijuana-seeds/,html/f111fac837bbef41.html,Crop King Seeds
Forbidden Zkittlez Strain,https://www.cropkingseeds.com/feminized-seeds/forbidden-zkittlez-strain-feminized-marijuana-seeds/,html/10ca194223d022b1.html,Crop King Seeds
Root Beer Float,https://www.cropkingseeds.com/feminized-seeds/root-beer-float-feminized-seeds/,html/410e5d9447b06fa0.html,Crop King Seeds
Zlurpee Strain,https://www.cropkingseeds.com/feminized-seeds/zlurpee-strain-feminized-marijuana-seeds/,html/d723cf45b8c8d3e9.html,Crop King Seeds
Purple Trainwreck Strain,https://www.cropkingseeds.com/feminized-seeds/purple-trainwreck-strain-feminized-marijuana-seeds/,html/8e5f89861391a832.html,Crop King Seeds
Frosties Strain,https://www.cropkingseeds.com/feminized-seeds/frosties-strain-feminized-marijuana-seeds/,html/5a60306f88711535.html,Crop King Seeds
Full Gas,https://www.cropkingseeds.com/feminized-seeds/full-gas-feminized-seeds/,html/57889f1fc937efe4.html,Crop King Seeds
Purple Sunset Strain,https://www.cropkingseeds.com/feminized-seeds/purple-sunset-strain-feminized-marijuana-seeds/,html/c943744fa9808efb.html,Crop King Seeds
Georgia Cry,https://www.cropkingseeds.com/feminized-seeds/georgia-cry-feminized-seeds/,html/0e3660287763a63a.html,Crop King Seeds
92 OG,https://www.cropkingseeds.com/feminized-seeds/92-og-feminized-seeds/,html/36bce3f6717c5c2b.html,Crop King Seeds
Flower Bomb Kush,https://www.cropkingseeds.com/feminized-seeds/flower-bomb-kush-feminized-marijuana-seeds/,html/b8553da100712eb8.html,Crop King Seeds
Sour Dawg,https://www.cropkingseeds.com/feminized-seeds/sour-dawg-feminized-seeds/,html/a53398c3dc6ed932.html,Crop King Seeds
Rose Gold Runtz Strain,https://www.cropkingseeds.com/feminized-seeds/rose-gold-runtz-strain-feminized-marijuana-seeds/,html/5fa7a8f521f6a18c.html,Crop King Seeds
Chocolate Gelato,https://www.cropkingseeds.com/feminized-seeds/chocolate-gelato-feminized-marijuana-seeds/,html/a7f6ea9993b8bea6.html,Crop King Seeds
Gooberry Strain,https://www.cropkingseeds.com/feminized-seeds/gooberry-strain-feminized-marijuana-seeds/,html/03bac47487cab76b.html,Crop King Seeds
Quicksand Strain,https://www.cropkingseeds.com/feminized-seeds/quicksand-strain-feminized-marijuana-seeds/,html/10a4092823dffade.html,Crop King Seeds
