strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
f1793263-c435-4405-b9ab-ef4c0a8f58e5,sensi_seeds,Strawberry Kush,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/b91f42185c46ddc6.html,,2026-01-13T14:49:10.077542,,https://sensiseeds.us/feminized-seeds/strawberry-kush/,,,,,0.3,0.3,,,,,Sensi Seeds
8ae00d02-16e0-4494-ba6b-b3fbce88feaf,sensi_seeds,StrawZ,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/7ce6866c8c8bbd9a.html,,2026-01-13T14:49:10.265676,,https://sensiseeds.us/autoflowering-seeds/strawz/,,,,,0.3,0.3,,,,,Sensi Seeds
9d4efcc0-85ec-4caa-a431-aad5ca0a681b,sensi_seeds,Purple Bud,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/3024627e3ed17d86.html,,2026-01-13T14:49:10.436859,,https://sensiseeds.us/autoflowering-seeds/purple-bud/,,,,,0.3,0.3,,,,,Sensi Seeds
a3779685-b71a-4ba4-b9df-7be771c23ed4,sensi_seeds,Sensi Purple Kush,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,True,html/14405cdafe3e2bec.html,,2026-01-13T14:49:10.605388,,https://sensiseeds.us/feminized-seeds/sensi-purple-kush/,,,,,0.3,0.3,,,,,Sensi Seeds
b2224fe6-8cc4-4e2a-a22f-26435771bcf4,sensi_seeds,BÃÂ©luga Blanc,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/89cf1c946459586a.html,,2026-01-13T14:49:10.835205,,https://sensiseeds.us/feminized-seeds/beluga-blanc/,,,,,0.3,0.3,,,,,Sensi Seeds
ca97ace2-4b5b-4b87-b528-7184be74b4a6,sensi_seeds,Vlad the Inhaler,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,True,html/11e4b25f2698766b.html,,2026-01-13T14:49:11.034270,,https://sensiseeds.us/feminized-seeds/vlad-the-inhaler/,,,,,0.3,0.3,,,,,Sensi Seeds
e9f4a556-2bfe-4f33-806e-2f0d4342bd3e,sensi_seeds,Blue Skunk,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/7bb9668889ac4493.html,,2026-01-13T14:49:11.221391,,https://sensiseeds.us/feminized-seeds/blue-skunk/,,,,,0.3,0.3,,,,,Sensi Seeds
401a0f14-c63b-4342-a339-021a1a1d8278,sensi_seeds,Double Kush Cake,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/05e3f0ded9c31d60.html,,2026-01-13T14:49:11.408254,,https://sensiseeds.us/autoflowering-seeds/double-kush-cake/,,,,,0.3,0.3,,,,,Sensi Seeds
7bbb6ebf-1fc9-4caf-b91b-3e2e7448f82d,sensi_seeds,Master Kush,1.0,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/a309917639c274b3.html,,2026-01-13T14:49:11.609442,,https://sensiseeds.us/autoflowering-seeds/master-kush/,,,,,0.3,0.3,,,,,Sensi Seeds
f4cfb3c6-b21f-4db9-8ce8-44e2239f1a8b,sensi_seeds,Papi Chulo OG,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/e2d50a9b99d9052f.html,,2026-01-13T14:49:11.798710,,https://sensiseeds.us/feminized-seeds/papi-chulo-og/,,,,,0.3,0.3,,,,,Sensi Seeds
1da1001a-c2c2-4271-95f5-2f3793e2b958,sensi_seeds,Mandarine Jam,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,True,html/87ec218121ae6334.html,,2026-01-13T14:49:11.982489,,https://sensiseeds.us/feminized-seeds/mandarine-jam/,,,,,0.3,0.3,,,,,Sensi Seeds
68c4409a-2475-4e48-9fee-980719329f5b,sensi_seeds,Pineapple,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/2ca0130668197d98.html,,2026-01-13T14:49:12.162283,,https://sensiseeds.us/autoflowering-seeds/pineapple/,,,,,0.3,0.3,,,,,Sensi Seeds
bd445585-eb87-4641-914e-555e48556da1,sensi_seeds,The Bird,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/87d85469e51fe660.html,,2026-01-13T14:49:12.364357,,https://sensiseeds.us/feminized-seeds/the-bird/,,,,,0.3,0.3,,,,,Sensi Seeds
822303e3-077f-4d44-aafe-169d8c7b934f,sensi_seeds,Bahama Mama,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/058eb23dfdae1476.html,,2026-01-13T14:49:12.510490,,https://sensiseeds.us/autoflowering-seeds/bahama-mama/,,,,,0.3,0.3,,,,,Sensi Seeds
d85a08f6-8537-400c-8b95-cc7215288c82,sensi_seeds,Northern Lights,1.0,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/055ef7c79804689a.html,,2026-01-13T14:49:12.667931,,https://sensiseeds.us/feminized-seeds/northern-lights/,,,,,0.3,0.3,,,,,Sensi Seeds
2e69d003-0525-482c-b2f9-6996eb6c4bf9,sensi_seeds,Skunk #1 Regular,1.0,Sensi Seeds,,,,,,,,,Indica,,,,,,,,,,,True,html/6bb1c816df806f16.html,,2026-01-13T14:49:12.872202,,https://sensiseeds.us/regular-seeds/skunk-1/,,,,,0.3,0.3,,,,,Sensi Seeds
8081bbd0-51c4-4cff-abe4-8dba3acc1665,sensi_seeds,White Gorilla Haze,,Sensi Seeds,,,,,,,,,Indica,,,,,,,,,,,False,html/324a31d384c47d7d.html,,2026-01-13T14:49:13.034072,,https://sensiseeds.us/feminized-seeds/white-gorilla-haze/,,,,,0.3,0.3,,,,,Sensi Seeds
b98a9010-72de-4e34-9640-9282a581f81e,sensi_seeds,Ghostbuzzters OG,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/302f1af5983b72b1.html,,2026-01-13T14:49:13.234076,,https://sensiseeds.us/autoflowering-seeds/ghostbuzzters-og/,,,,,0.3,0.3,,,,,Sensi Seeds
11550ae7-c7a8-4b71-9879-ffa110829278,sensi_seeds,Wedding Cheesecake,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,True,html/9ccec1a1268b8398.html,,2026-01-13T14:49:13.406963,,https://sensiseeds.us/feminized-seeds/wedding-cheesecake/,,,,,0.3,0.3,,,,,Sensi Seeds
a291314e-77d5-43b6-a752-d923446d4dd2,sensi_seeds,Fallout OG,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/52e25b94e23e009a.html,,2026-01-13T14:49:13.582113,,https://sensiseeds.us/feminized-seeds/fallout-og/,,,,,0.3,0.3,,,,,Sensi Seeds
752736c5-5af3-4e30-a368-d737c41c72c6,sensi_seeds,Glamour,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/cffd84876606c0c3.html,,2026-01-13T14:49:13.767397,,https://sensiseeds.us/autoflowering-seeds/glamour/,,,,,0.3,0.3,,,,,Sensi Seeds
269be9dc-2b73-42df-87a7-5870bd4f6665,sensi_seeds,Candy Hash,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,True,html/780673a144067602.html,,2026-01-13T14:49:13.947161,,https://sensiseeds.us/feminized-seeds/candy-hash/,,,,,0.3,0.3,,,,,Sensi Seeds
1276f5db-df22-4192-963e-2223177ca344,sensi_seeds,Pure Power Plant,2.0,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/16505c90d2d99abb.html,,2026-01-13T14:49:14.137642,,https://sensiseeds.us/autoflowering-seeds/pure-power-plant/,,,,,0.3,0.3,,,,,Sensi Seeds
8377c04f-e430-4d5d-aa9c-f3b7ea9c5c13,sensi_seeds,Caramellow Kush,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/2db065358a316045.html,,2026-01-13T14:49:14.310978,,https://sensiseeds.us/autoflowering-seeds/caramellow-kush/,,,,,0.3,0.3,,,,,Sensi Seeds
04655c07-ae60-402e-8c8f-b7a6dc3c6d90,sensi_seeds,Early Skunk,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/f8399d858c3403ca.html,,2026-01-13T14:49:14.489411,,https://sensiseeds.us/autoflowering-seeds/early-skunk/,,,,,0.3,0.3,,,,,Sensi Seeds
06edc06c-6643-47b2-a34b-6af53d92ac46,sensi_seeds,Ruderalis Indica Regular,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/e1e2d5a24d6a86d2.html,,2026-01-13T14:49:14.681364,,https://sensiseeds.us/regular-seeds/ruderalis-indica/,,,,,0.3,0.3,,,,,Sensi Seeds
de5b3841-9a49-4bcb-95cf-c6db04b01a4b,sensi_seeds,Chocolate Rainbow XXL,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/dc45dea854e72935.html,,2026-01-13T14:49:14.872174,,https://sensiseeds.us/feminized-seeds/chocolate-rainbow-xxl/,,,,,0.3,0.3,,,,,Sensi Seeds
77dee1d6-7c71-475b-9a90-bde7e23982a5,sensi_seeds,Girl Scout Cookies,,Sensi Seeds,,,,,,,,,Balanced Hybrid,,,,,,,,,,,False,html/95dd1a2f572d7af8.html,,2026-01-13T14:49:15.071565,,https://sensiseeds.us/feminized-seeds/girl-scout-cookies/,,,,,0.3,0.3,,,,,Sensi Seeds
c0abfa07-70ba-4197-b7d4-e457c7170dcf,sensi_seeds,Gorillaz,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,True,html/4bdf542d542b6916.html,,2026-01-13T14:49:15.266485,,https://sensiseeds.us/autoflowering-seeds/gorillaz/,,,,,0.3,0.3,,,,,Sensi Seeds
8121903e-c615-4746-a76f-54077500b728,sensi_seeds,Amnesia Jelly,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,True,html/4fa61d9938478546.html,,2026-01-13T14:49:15.469278,,https://sensiseeds.us/autoflowering-seeds/amnesia-jelly/,,,,,0.3,0.3,,,,,Sensi Seeds
e53f7d20-bf13-4333-a361-af2133a8954b,sensi_seeds,Sweet Cherry Kush,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/686e8dcd4801d022.html,,2026-01-13T14:49:15.651966,,https://sensiseeds.us/feminized-seeds/sweet-cherry-kush/,,,,,0.3,0.3,,,,,Sensi Seeds
22c88766-7598-4254-a59e-1e6f51a3f0bb,sensi_seeds,White Widow,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/28b2ce7767d7e765.html,,2026-01-13T14:49:15.835876,,https://sensiseeds.us/feminized-seeds/white-widow/,,,,,0.3,0.3,,,,,Sensi Seeds
c0af1af9-5b66-4a2a-ab66-379b89153465,sensi_seeds,Autoflowering,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,True,html/6cf716e1ae644d25.html,,2026-01-13T14:49:16.104338,,https://sensiseeds.us/autoflowering-seeds/,,,,,0.3,0.3,,,,,Sensi Seeds
61ff0c83-a571-49b7-a490-789f10159046,sensi_seeds,Raspberry Critical Kush,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/974d2eda066cd7aa.html,,2026-01-13T14:49:16.316567,,https://sensiseeds.us/feminized-seeds/raspberry-critical-kush/,,,,,0.3,0.3,,,,,Sensi Seeds
5490fa88-6e06-4ca0-87f2-6949d2ccfbaa,sensi_seeds,Thin Mint Kiwi,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/df035a73f49222a3.html,,2026-01-13T14:49:16.490171,,https://sensiseeds.us/autoflowering-seeds/thin-mint-kiwi/,,,,,0.3,0.3,,,,,Sensi Seeds
db310a0e-c0ff-41a2-b08d-3d108b861a2c,sensi_seeds,Banana Cake Pop,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/f3b7bb0f92936c8a.html,,2026-01-13T14:49:16.683084,,https://sensiseeds.us/feminized-seeds/banana-cake-pop/,,,,,0.3,0.3,,,,,Sensi Seeds
0db5b838-69a0-43f5-9ed5-6392be48f3fb,sensi_seeds,Sensi Amnesia,,Sensi Seeds,,,,,,,,,Sativa,,,,,,,,,,,False,html/592c7289a46bc624.html,,2026-01-13T14:49:16.903233,,https://sensiseeds.us/feminized-seeds/sensi-amnesia/,,,,,0.3,0.3,,,,,Sensi Seeds
e8b65190-897f-4f25-869f-963536b0e025,sensi_seeds,Choco,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/a4c57d0d56f315b7.html,,2026-01-13T14:49:17.091172,,https://sensiseeds.us/autoflowering-seeds/choco/,,,,,0.3,0.3,,,,,Sensi Seeds
7870fe9d-dc67-4917-ad6b-6eca050dbab4,sensi_seeds,Pineapple Kush Cake,,Sensi Seeds,,,,,,,,,,,,,,,,,,,,False,html/ee39be4f330c499c.html,,2026-01-13T14:49:17.257552,,https://sensiseeds.us/autoflowering-seeds/pineapple-kush-cake/,,,,,0.3,0.3,,,,,Sensi Seeds
