strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
62a5f775-3f86-4512-942a-1fc12b7004ab,multiverse_beans,aeque genetics zwiesel strain auto fem 3 pack,,,,,,,,,,,,,,,,,,,,,,False,html/f50ebb9a32049844.html,,2026-01-12T17:01:17.027864,,https://multiversebeans.com/product/aeque-genetics-zwiesel-strain-auto-fem-3-pack/,,,,,,,,,,,Aeque Genetics
e5d4d250-b1ae-4096-9db8-f56c7bfcde8d,multiverse_beans,ztrawberriez fast buds,,,,,,,,,"Genetics: Indica-dominant hybrid (Autoflowering) Flavor: Sweet, fruity (strawberry, grape, blueberry), with creamy and citrus notes Effect: Uplifting cerebral high followed by full-body relaxation Grow Info: 9Ã¢ÂÂ10 weeks seed to harvest, yields up to 600 g/mÃÂ², height ~120 cm Best For: Beginners, terpene enthusiasts, extractors, and daytime focus ÃÂ  Ztrawberriez Auto is an Indica-dominant hybrid that delivers up to 600 g/mÃÂ² of dense, resin-covered buds in just 9Ã¢ÂÂ10 weeks. Featuring a medley of fruity flavors like strawberry, lemon, grape, and blueberry, this strain offers a balanced high that uplifts the mind while relaxing the body, making it ideal for productive, stress-free days.",,,,,,,,,,,,,False,html/e1c931a4eac7f1a1.html,,2026-01-12T17:01:17.263846,,https://multiversebeans.com/product/ztrawberriez-fast-buds/,,,,,,,,,,,Fast buds
9a241634-ba23-4730-a7ad-618dc4c3b7fe,multiverse_beans,ethos genetics zoap duet strains fem photo,,,,,,,,,CHERRY ZOAP R1 -*AND*- SUN DART R1,,,,,,,,,,,,,False,html/69a92036451a9eba.html,,2026-01-12T17:01:17.512309,,https://multiversebeans.com/product/ethos-genetics-zoap-duet-strains-fem-photo/,,,,,,,,,,,Ethos
fd9b4d40-d83e-4bc0-8b63-ce8472d58e76,multiverse_beans,canuk seeds zkittlez glue elite strain fem photo,,,,,,,,,,,,,,,,,,,,,,,html/947ac2493b1436e5.html,,2026-01-12T17:01:17.678479,,https://multiversebeans.com/product/canuk-seeds-zkittlez-glue-elite-strain-fem-photo/,,,,,,,,,,,Canuk Seeds
b7b32e89-af90-44bc-b714-cc9c87b59f6b,multiverse_beans,canuk seeds zkittlez elite strain fem photo,,,,,,,,,,,,,,,,,,,,,,False,html/d40d9d05e2b3e9dc.html,,2026-01-12T17:01:17.870413,,https://multiversebeans.com/product/canuk-seeds-zkittlez-elite-strain-fem-photo/,,,,,,,,,,,Canuk Seeds
628d5bcf-5ea0-473d-a955-01826ce8ebd9,multiverse_beans,tastebudz yuzu sour strain fem auto,,,,,,,,,,,,,,,,,,,,,,False,html/54696fda458dbff4.html,,2026-01-12T17:01:18.085720,,https://multiversebeans.com/product/tastebudz-yuzu-sour-strain-fem-auto/,,,,,,,,,,,Tastebudz
4edee3b1-05bf-4c9e-8887-9a96c16f4fc9,multiverse_beans,ethos genetics xxx strain fem photo,,,,,,,,,ETHOS GENETICS > XXX (LEMON BERRY CANDY OG x END GAME PUNCH LINE #3),,,,,,,,,,,,,False,html/481a0ca78cfc8a4d.html,,2026-01-12T17:01:18.296032,,https://multiversebeans.com/product/ethos-genetics-xxx-strain-fem-photo/,,,,,,,,,,,Ethos
531d8103-4434-4dd2-ac6e-5282883b5485,multiverse_beans,dimebag seed co xendra photo reg 7 pack,,,,,,,,,Genetics: Miracle Alien Cookies - M.A.C. (Capulators cut) x Hawaiian Peaches (Black BartÃ¢ÂÂs 80Ã¢ÂÂS Hawaiian x Tom HillÃ¢ÂÂs North Indian - Tresdawg),,,,,,,,,,,,,False,html/a48c1531d5227a62.html,,2026-01-12T17:01:18.511914,,https://multiversebeans.com/product/dimebag-seed-co-xendra-photo-reg-7-pack/,,,,,,,,,,,DIMEBAG SEED CO
ff4beffe-2242-48da-b5df-a42adff7a46e,multiverse_beans,discounted night owl wizards stash remix strain auto fem 3 pack,,,,,,,,,WIZARDS STASH REMIX,,,munchies,,,,F1,,,,,,True,html/2025d251cf510438.html,,2026-01-12T17:01:18.712294,,https://multiversebeans.com/product/discounted-night-owl-wizards-stash-remix-strain-auto-fem-3-pack/,,,,,,,,,,,Night Owl
fadad50f-904a-4436-b6a7-137df7132c3e,multiverse_beans,gnome automatics witchers creek auto fem 3 pack,,,,,,,,,WitcherÃ¢ÂÂs CreekÃÂ  (Bobby's Swirled x Moth Man),,,,,,,,,,,,,True,html/0320d136d991a3ce.html,,2026-01-12T17:01:18.941642,,https://multiversebeans.com/product/gnome-automatics-witchers-creek-auto-fem-3-pack/,,,,,,,,,,,Gnome Automatics
