strain_id,source_of_truth,source_url,strain_name,primary_generation,breeding_method,phenotype,lineage,breeder_name,bank_name,seed_gender,flowering_behavior,sativa_percentage,indica_percentage,ruderalis_percentage,thc_min,thc_max,thc,cbd_min,cbd_max,cbd,seed_to_harvest_day_min,seed_to_harvest_day_max,flowering_day_min,flowering_day_max,height_indoor_description,height_indoor_min_cm,height_indoor_max_cm,height_outdoor_description,height_outdoor_min_cm,height_outdoor_max_cm,yield_decription,indoor_yield_min_g_per_m,indoor_yield_max_g_per_m,outdoor_yield_min_g_per_plant,outdoor_yield_max_g_per_plant,effects,flavors,terpenes,grow_difficulty,scraped_at,strain_info,quality_score,confidence_notes
3107,FALSE,https://multiversebeans.com/product/hooligan-farming-supplies-chicken-trucks-fem-auto-32-pack/,Chicken Trucks Auto,F1,,, Grand Generalissima F1(HFS) X Fantasmo Express (Mephisto),Hooligan Farming Supplies,Multiverse Beans,Feminized,Autoflowering,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T21:29:49.631301Z,"The Hooligan Farming Supplies Chicken Trucks 32 is a feminized auto-flower strain, noted to be on day 22 of its cycle. Its lineage is a cross between Grand Generalissima F1 (HFS) and Fantasmo Express (Mephisto). The genetic generation is F/Sativa, with a reported ratio of 40/60, though the specific meaning of 'F/Sativa' in this context and the 40/60 ratio requires further clarification.",1,"The provided webpage content resulted in a '404: Page Not Found' error, meaning no strain-specific information could be extracted or verified. All numerical fields, effects, and flavors are null as they were not present in the scraped data and could not be found on the webpage. The 'enhanced_info' paragraph is based solely on the limited scraped data."
4758,FALSE,https://multiversebeans.com/product/hooligan-farming-supplies-fantom-menace-fem-auto-32-pack/,Fantom Menace Auto,,,, Sith Lord (DeltaMPropigation) X Fantasmo Express (Mephisto)),Hooligan Farming Supplies,Multiverse Beans,Feminized,Autoflowering,70,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T21:09:00.520972Z,"Hooligan Farming Supplies Fantom Menace 32 is a feminized autoflowering strain, suitable for both indoor and outdoor cultivation. This F1 generation hybrid boasts a genetic lineage tracing back to Sith Lord (DeltaMPropigation) and Fantasmo Express (Mephisto). Its genetic profile is predominantly Sativa, comprising 70%, with the remaining 30% being Indica.",1,"The provided webpage content was a 'Page Not Found' error, offering no additional information. All extracted data is solely from the 'SCRAPED DATA'. Key metrics such as THC/CBD percentages, specific flowering time range, effects, and flavors are not available in the source material. 'day20' was interpreted as a growth stage rather than a full flowering time range."
9720,FALSE,https://multiversebeans.com/product/aeque-genetics-noxious-nuts-strain-fem-photo-3-pack/,Noxious Nuts,,,, Tuts Nuts X Gas-O-Cane,Aeque Genetics,Multiverse Beans,Feminized,Photoperiod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T20:17:13.379398Z,Noxious Nuts is a feminized photoperiod strain developed by Aeque Genetics. Its genetic lineage is a cross between Tuts Nuts and Gas-O-Cane.,1,"Most requested data points (THC, CBD, Sativa/Indica ratio, flowering time, effects, flavors) were not present in the provided webpage content. The enhanced info combines the scraped genetics with the 'feminized photoperiod' detail from the webpage."
10975,TRUE,https://www.cannabis-seeds-bank.co.uk/archive-seeds-polynesian-thin-mints/prod_4565,Polynesian Thin Mints,,BX1,,"""Polynesian"" Thin Mint Girl Scout Cookies X Face Off OG BX1",Archive Seeds,The Attitude Seed Bank,Regular,Photoperiod,,,,,,,,,,,,63,63,Stretch Tall,,,,,,,,,,,,,,,2025-11-25T14:49:09.270054,"Polynesian Thin Mints is a regular cannabis strain from Archive Seeds, developed through a genetic cross of ""Polynesian"" Thin Mint Girl Scout Cookies and Face Off OG BX1. This photoperiod variety exhibits characteristics of both Indica and Sativa, making it versatile for cultivation. It is suitable for both indoor and outdoor growing environments, with a flowering period of approximately 9 weeks and typically yielding a medium harvest.",2,"The provided webpage content was primarily a list of seed brands and contact information, offering no additional details beyond what was already present in the scraped data. THC%, CBD%, specific genetics ratios, effects, and flavors were not found."
11499,TRUE,https://www.cannabis-seeds-bank.co.uk/relentless-genetics-queen-of-the-south/prod_9045,Queen Of The South,,,1,#1 Stunna X trop Cherry(r),Relentless Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-25T09:50:42.478820,"Queen Of The South is a cannabis strain bred by Relentless Genetics. This cultivar is a genetic cross between #1 Stunna and trop cherry(r). Further details regarding its cannabinoid profile, genetic dominance, flowering time, effects, and flavors are not available in the provided information.",1,"The provided webpage content offered no additional strain-specific details beyond what was already scraped (strain name, breeder, and genetic lineage). All other requested fields (THC/CBD, Sativa/Indica percentages, flowering time, effects, and flavors) were missing."
8333,TRUE,https://www.cannabis-seeds-bank.co.uk/grounded-genetics-lime-drizzle/prod_9626,Lime Drizzle,,S1,,( Caviar Lime [Lemon Tree S1 X Gelato #41] X PapayaDawg),Grounded Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,56,63,Stretch Medium,,,,,,,,,,,,"lime, citrus",,,2025-11-25T08:45:59.254830,"Lime Drizzle, a distinguished hybrid cannabis strain from Grounded Genetics, is a standout cultivar within the PapayaDawg lineage. It is particularly prized for its strong washing potential, indicating high resin production suitable for concentrates. This strain's genetic makeup is a cross between the citrus-forward Caviar Lime (Lemon Tree S1 x Gelato 41) and elite PapayaDawg pollen, resulting in progeny that consistently express bold lime aromas. Growers can expect a flowering time of 59 to 63 days, yielding medium to high harvests with exceptional resin production.",2,"The webpage content provided no additional strain-specific details beyond confirming the product name. All extracted information, including genetics, flowering time, and flavors, was derived solely from the 'SCRAPED DATA'. Many fields remain null due to lack of information in the source material."
12397,TRUE,https://neptuneseedbank.com/product/shuga-gucci-f-10pk/,Shuga Guccipk,,,,( designer runtz X crepes ),Shuga Professional Seeds,Neptune Seed Bank,Feminized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T04:14:05.235133Z,"Shuga Gucci is a cannabis strain with a known lineage, resulting from a cross between Designer Runtz and Crepes. This information suggests a hybrid genetic background. Specific details regarding its cannabinoid content (THC, CBD), genetic dominance (sativa/indica percentages), flowering duration, and typical effects or flavors are not available from the provided data.",1,"All numerical and descriptive fields (THC, CBD, genetics, flowering time, effects, flavors) are null due to the complete absence of webpage content. The enhanced info paragraph is constructed solely from the lineage provided in the scraped data."
160,TRUE,https://neptuneseedbank.com/product/h-o-n-genetics-afa-negus/,Afa Negus,,,,( Kingstone) MAC Oz X Highland Runtz,H O N Genetics,Neptune Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T03:00:31.535423Z,"Afa Negus is a strain developed by H.O.N. Genetics, offered as 12 regular seeds. Its genetic lineage is a cross between (Kingstone) MAC Oz and Highland Runtz.",1,"Webpage content was empty, so all information is derived solely from the 'Current Info' in the scraped data. Most fields for detailed strain characteristics are missing."
2113,TRUE,https://neptuneseedbank.com/product/pure-breeding-breeders-kush-f/,Breeders Kush,,,,( Master Kush X Hindu Kush),Pure Breeding,Neptune Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T04:20:17.665614Z,"Pure Breeding Breeders Kush is a feminized cannabis strain developed by Pure Breeding. Its genetic lineage is a cross between the renowned Master Kush and Hindu Kush, suggesting a strong indica heritage.",1,"Webpage content was empty. Information extracted solely from the provided 'SCRAPED DATA'. Many key strain details (THC/CBD, specific genetics, flowering time, effects, flavors) are missing."
1107,TRUE,https://neptuneseedbank.com/product/killerz-genetics-beam-me-up-scottie/,Beam Me Up Scottie,,,,( Pure Biscotti X Scotty 2 Hotti),Killerz Genetics,Neptune Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T02:02:05.371327Z,"Killerz Beam Me Up Scottie is a cannabis strain developed by Killerz Genetics. This offering consists of 10 regular seeds, with its genetic lineage tracing back to a cross between Pure Biscotti and Scotty 2 Hotti.",1,"Webpage content was empty. All information is derived solely from the limited scraped data. Most requested fields (THC, CBD, genetics ratios, flowering time, effects, flavors) are missing."
2406,TRUE,https://www.cannabis-seeds-bank.co.uk/wizard-trees-genetics-cali-tings/prod_9824,Cali Tings,,,,( SFV OG X Runtz ) X Zangria,Wizard Trees Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,25,25,25,,,,,,56,63,Stretch Medium to Stretch Tall,,,,,,,,,,,,"gas, sugary candy",,,2025-11-25T10:58:42.256910,"Cali Tings, a feminized, photoperiod strain by Wizard Trees, is a powerhouse cross of (SFV OG x Runtz) x Zangria, designed to bridge old-school LA vibes with new-school potency. This Indica/Sativa hybrid is known for its consistency, visual appeal, and top-tier smoke. It produces dense, resin-soaked buds with significant bag appeal and a unique terpene profile that spans classic gas and sugary candy notes. Plants exhibit a sturdy, upright structure with strong lateral branching, making them suitable for both indoor tents and outdoor cultivation. The SFV OG lineage contributes to tight node spacing and a solid framework, while Runtz and Zangria enhance vibrant hues, loud aromas, and frosty trichome production. Phenotypic variations offer exciting possibilities, with some expressions leaning towards sweet candy profiles and others showcasing the gassy OG funk cherished by West Coast connoisseurs. With a THC content of approximately 25%, Cali Tings is engineered for high potency and robust performance, typically flowering within 56 to 63 days and offering medium to high yields with a medium to tall stature.",3,"All relevant strain data was extracted from the 'SCRAPED DATA' section, as the 'WEBPAGE CONTENT' provided was a list of seed banks and not specific strain information. THC percentage, flowering time, and flavors were identified. CBD percentages, specific sativa/indica ratios, and explicit effects were not detailed in the provided text."
8346,TRUE,https://www.cannabis-seeds-bank.co.uk/grounded-genetics-lime-slurpi/prod_9943,Lime Slurpi,,S1,,(([OZ Kush X Jealousy] X RS11) X (Lemon Tree S1 X Runtz),Grounded Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,56,63,Stretch Medium,,,,,,,,,,,"uplifting, balanced","lime, creamy, sweet, zesty",,,2025-11-25T08:46:23.239952,"Lime Slurpi is a meticulously bred hybrid cannabis strain from Grounded Genetics, resulting from a complex cross involving OZ Kush, Jealousy, RS11, Lemon Tree s1, and Runtz. This strain is known for its refreshing profile, delivering medium to high yields of dense buds after a flowering period of 8 to 9 weeks. Its flavor profile is characterized by a vibrant burst of zesty lime complemented by a creamy sweetness. Lime Slurpi offers a balanced and uplifting high, making it suitable for both recreational enjoyment and medicinal applications.",3,"All extracted information, including flowering time, effects, and flavors, was derived from the 'SCRAPED DATA' section. The 'WEBPAGE CONTENT' provided was irrelevant for strain-specific details. THC/CBD percentages and specific sativa/indica ratios were not available in the provided text."
12107,TRUE,https://www.cannabis-seeds-bank.co.uk/exotic-seed-russian-automatic/prod_4084,Russian Auto,F6,,,((AK 47 X Skunk) X (AK 47 X Skunk)) F6,Exotic Seed,The Attitude Seed Bank,Feminized,Autoflowering,,,,,,,,,,77,77,,,,,,,,,,,,,,Relaxing,Fruity,,,2025-11-25T12:08:57.145092,"Russian Automatic by Exotic Seed is a 100% autoflowering cannabis strain, developed as the automatic version of the highly acclaimed AK 47. This hybrid was created by crossing selected AK 47 genetics with an autoflowering strain, resulting in robust plants with a strong, columnar structure capable of supporting dense flowers. The genetic lineage is described as ((AK 47 x Skunk Auto) x (AK 47 x Skunk Auto)) F6. This variety completes its cycle from seed to harvest in approximately 11 weeks, yielding an average amount of flowers. Users can expect a relaxing effect, accompanied by a distinct fruity fragrance.",3,"Extracted flowering time, effects, and flavors from the provided 'SCRAPED DATA'. THC, CBD, and specific Sativa/Indica percentages were not available in the source text. The webpage content provided was irrelevant to strain details."
8532,TRUE,https://neptuneseedbank.com/product/neptune-pharms-mac-auto/,Mac Auto,,,,((Alien Cookies X Starfighter) X Columbian Landrace) X Ruderalis,Neptune Pharms,Neptune Seed Bank,,Autoflowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24T03:48:20.390746Z,"Neptune Pharms Mac is an autoflowering strain, with a genetic lineage tracing back to a cross of ((Alien Cookies x Starfighter) x Columbian Landrace) with Ruderalis. Each seed pack contains 6 autoflower seeds.",1,"Webpage content was empty. All information is derived solely from the provided scraped data. Significant details such as cannabinoid percentages, specific genetics ratios, flowering time, effects, and flavors are missing."
12758,TRUE,https://www.cannabis-seeds-bank.co.uk/archive-seeds-sonic-bloom/prod_10080,Sonic Bloom,F2,,3,((Colorado Flo X Zkittlez)#3) X Planet Purple F2 #144,Archive Seeds,The Attitude Seed Bank,Regular,,,,,,,30,,,,,,,,Stretch Medium,,,,,,,,,,,,"deep OG pine-sol, chemical funk, Zkittlez candy, gelato, sherbet",,,2025-11-25T14:14:02.620740,"Sonic Bloom by Archive Seeds is a rare hybrid strain, meticulously bred from a cross of ((Colorado Flo x Zkittlez)#3) and Planet Purple F2 #144. The Colorado Flo lineage contributes a unique and highly sought-after terpene profile, while Zkittlez infuses the strain with its characteristic fruity sweetness and vibrant flavor. The Planet Purple F2 #144 male is instrumental in passing on exceptional resin production, larger glandular heads, and significant frosty bag appeal to its offspring. The aromatic and flavor profile is complex, featuring deep notes of OG pine-sol and chemical funk, beautifully layered with hints of Zkittlez candy, gelato, and sherbet. While specific THC percentages are not fully detailed, phenotypes are noted for their potency, and hash washers have reported yields of 6% or more. Sonic Bloom is suitable for both indoor and outdoor cultivation, promising medium to high yields and delivering true Archive quality through its potent, flavorful, and resin-drenched characteristics.",2,"The provided 'WEBPAGE CONTENT' was irrelevant to the strain details. All information was extracted from the 'SCRAPED DATA'. THC%, CBD%, Sativa/Indica percentages, flowering time, and specific effects were not present in the source text. The THC percentage was incomplete ('above ,')."
5378,TRUE,https://www.cannabis-seeds-bank.co.uk/geist-grow-genetics-geistgrow-og-s1/prod_7371,Geistgrow OG,,S1,,((Fire OG Kush BX1 X Diamond OG) X Emerald OG) X Fire OG BX2,Geist Grow Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,22,0,1,,,,62,56,Stretch Tall,300,,,,,,,,,,,,,,2025-11-25T08:32:23.899201,"Geistgrow OG S1 is a feminized cannabis strain developed by Geist Grow Genetics in collaboration with Humboldt Seed Organization. This highly productive and aggressive variety is derived from a complex 4-way OG cross, specifically ((Fire OG Kush BX1 x Diamond OG) x Emerald OG) x Fire OG BX2, which includes Diamond, Fire, and Emerald OG genetics. Suitable for both indoor and outdoor cultivation, it boasts a comprehensive life cycle (flowering time) of 62 to 68 days. Indoor growers can expect yields ranging from 450 to 600 g/m2. For outdoor cultivation, the harvest typically occurs in mid-October, with impressive yields of 400 to 4000 g/plant and plants reaching heights of up to 3 meters. The strain's CBD content is noted to be under 1%.",3,"THC, Sativa/Indica percentages, effects, and flavors were not provided in the source material. CBD range inferred from 'Under 1%'. Flowering time extracted from 'Comprehensive life cycle'."
4968,TRUE,https://www.cannabis-seeds-bank.co.uk/dna-genetics-seeds-four-prophets/prod_9013,Four Prophets,,,,(3 X Crazy) X Kosher Kush,DNA Genetics,The Attitude Seed Bank,Feminized,Photoperiod,,,,,,,,,,,,56,63,,,,,,,,,,,,"Relaxing, Tranquil, Comfortable","Fruity, Dank",,,2025-11-25T07:51:48.497664,"Four Prophets is an illustrious Indica-dominant hybrid strain, a divine union of Kosher Kush and 3 x Crazy, developed by DNA Genetics Seeds. This strain is celebrated for its resin-drenched blossoms that exude an enticing fruity dankness. With a genetic lineage dominated by Indica, Four Prophets promises a deeply relaxing experience, gently cradling users in waves of tranquility and leaving them in a comfortable state. It boasts a flowering cycle of 8-9 weeks, yielding bountiful harvests of 450-500 g/m2.",3,"The provided webpage content was irrelevant to the strain 'Four Prophets'. All extracted information was derived from the 'SCRAPED DATA'. THC/CBD percentages and specific Sativa/Indica ratios were not available. Flowering time, effects, and flavors were extracted and enhanced."
