strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted
db3e8210-bd5b-4124-a3f4-5fada3aad004,crop_king,White Wedding Strain,,Crop King Seeds,Low,0.2,0.1,0.1-0.2%,,,"White Wedding is a balanced hybrid with 25% THC, offering growers an easy-to-grow strain that delivers a potent, smooth, and well-rounded high.",,,,,,,,to elevate your cultivation experience,Medium (5 to 8 FT),Medium (5 to 8 FT),,,TRUE,html/265a33cd96ed9f5c.html,,2026-01-13T11:14:53.378374,,https://www.cropkingseeds.com/feminized-seeds/white-wedding-strain-feminized-marijuana-seeds/,,,24,25%,28,20,20-28%,,14 oz/m2,18 ÃÂ¢ÃÂÃÂ 21 oz/plant,56,243.84,243.84,4272.1,595.35,,,,Hybrid,white wedding strain,,White Wedding Strain,whiteweddingstrain,FALSE,,,White Wedding
c1d3b9cc-bcf7-4839-8a15-c6e7c8af9dc4,crop_king,Ice Cream Sundae Strain,,Crop King Seeds,1%,0.2,0.1,0.1-0.2%,,,"Ice Cream Sundae is a deliciously unique strain that offers a rewarding cannabis experience, perfect for elevating your growth and enjoyment.",,,,,,,,Sundae Driver and Gelato 33,Medium (5 to 8 FT),Medium (5 to 8 FT),,,FALSE,html/22849d10d0d1d429.html,,2026-01-13T11:14:53.692892,,https://www.cropkingseeds.com/feminized-seeds/ice-cream-sundae-strain-feminized-marijuana-seeds/,,,22.5,18-22%,25,20,20-25%,,425g/m2,550g/plant,63,243.84,243.84,425,550,,,,,ice cream sundae strain,,Ice Cream Sundae Strain,icecreamsundaestrain,FALSE,,,Ice Cream Sundae
96f5ec5c-4030-4cbd-9edb-70bd824276bd,crop_king,Watermelon Sorbet Strain,,Crop King Seeds,0%,1.2,0.48,0.48-1.2%,,,"Watermelon Sorbet is a balanced hybrid with 18% THC, offering a refreshing, euphoric high thatÃÂ¢ÃÂÃÂs smooth and energizing without heavy sedation.",,,,,,,,Watermelon Zkittlez and Sherbert,Small (0-4 FT),Medium (5 to 8 FT),,,FALSE,html/b6f7a5d4ff50075f.html,,2026-01-13T11:14:53.970014,,https://www.cropkingseeds.com/feminized-seeds/watermelon-sorbet-strain-feminized-marijuana-seeds/,,,18,18%,19,17,17-19%,,400-500 g/m2,16 oz/plant,63,121.92,243.84,500,453.6,,,,,watermelon sorbet strain,,Watermelon Sorbet Strain,watermelonsorbetstrain,FALSE,,,Watermelon Sorbet
e6c01a36-ab62-4b71-8871-e2a7f0352e7a,crop_king,Grape Stomper Strain,,Crop King Seeds,Up to 1%,0.6,0.43,0.43-0.6%,,,"Grape Stomper is a slightly Sativa-dominant hybrid with 16-22% THC and up to 1% CBD, offering growers a rewarding and balanced cultivation experience.",,,,,,,,"make it a breeze to grow, especially for those with a bit of experience under their belt, and its flowering period of 9-",Medium (5 to 8 FT),Medium (5 to 8 FT),,,TRUE,html/dda8bcbc975a1896.html,,2026-01-13T11:14:54.297802,,https://www.cropkingseeds.com/feminized-seeds/grape-stomper-strain-feminized-marijuana-seeds/,,,23,16%-22%,29,17,17-29%,,400-600g/mÃÂÃÂ²,550-900g/plant,56,243.84,243.84,600,900,,,,Hybrid,grape stomper strain,,Grape Stomper Strain,grapestomperstrain,FALSE,,,Grape Stomper
d17251af-a858-486f-9d42-cff5a8e799b1,crop_king,Blockhead,,Crop King Seeds,Low,0.2,0.1,0.1-0.2%,,,"Blockhead Feminized is an indica-dominant strain with 17-23% THC, blending Sweet Tooth and a mystery variety for a smooth, balanced experience.",,,,"Blueberry, Lemon, Pine, Sweet",,,,Sweet Tooth x Unknown Strain,Small (0-4 FT),Medium (5 to 8 FT),,,TRUE,html/cea8cba560aa2754.html,,2026-01-13T11:14:54.711186,,https://www.cropkingseeds.com/feminized-seeds/blockhead-feminized-seeds/,,,24,17-23%,28,20,20-28%,,Heavy yield (approximately 500 grams/mÃÂ¢ÃÂÃÂ´),High yield (approximately 600 grams/plant),63,121.92,243.84,500,600,,,,Hybrid,blockhead,,Blockhead,blockhead,FALSE,,,Blockhead
4f9e512e-9ffa-441f-bdf0-fdf3c5825608,crop_king,Dutch Treat,,Crop King Seeds,0.20%,4,1.5,1.5-4%,,,"Dutch Treat autoflower seeds offer a woody-pine flavor, 10ÃÂ¢ÃÂÃÂ15% THC, an 8ÃÂ¢ÃÂÃÂ10 week finish, and high indoor yields for compact, resinous plants.",,,,"Earthy, Fruity, Herbal, Pine, Spicy, Sweet",,,,Northern Lights x Haze x Ruderalis,Small (0-4 FT),Small (0-4 FT),,,TRUE,html/8b907b9e329fad35.html,,2026-01-13T11:14:55.095343,,https://www.cropkingseeds.com/autoflowering-seeds/dutch-treat-autoflowering-marijuana-seeds/,,"Myrcene, Ocimene, Terpinolene",13.5,10-15%,16,11,11-16%,,400-500g/m2,10-200g/plant,,121.92,121.92,500,200,,,,Hybrid,dutch treat,,Dutch Treat,dutchtreat,TRUE,63,63,Dutch Treat
d6e029d0-6ade-4697-b079-ee70ad07ea13,crop_king,Face Fat,,Crop King Seeds,,0.56,0.3,0.3-0.56%,,,"Face Fat autoflowering feminized seeds produce a potent, fuel-flavored indica with 16ÃÂ¢ÃÂÃÂ26% THC and a fast 9ÃÂ¢ÃÂÃÂ10 week flowering time, ideal for autoflower",,,,Fuel,,,,GMO Auto x Fatso Auto,,,,,TRUE,html/f6f3309217956be1.html,,2026-01-13T11:14:55.434689,,https://www.cropkingseeds.com/autoflowering-seeds/face-fat-strain-autoflowering-feminized-marijuana-seeds/,,,26,16-26%,27,25,25-27%,,,,,,,,,,,,Hybrid,face fat,,Face Fat,facefat,TRUE,63,63,Face Fat
8da9ed7d-f4d2-495a-862e-a8bf6610af84,crop_king,Tidal Wave Strain,,Crop King Seeds,0.50%,0.2,0.1,0.1-0.2%,,,"Tidal Wave is a sativa-dominant hybrid known for its dense, frosty buds and high yields, making it ideal for both beginner and experienced growers.",,,,,,,,comes directly from the celebrated B+ and Penis Envy varieties,Small (0-4 FT),Small (0-4 FT),,,FALSE,html/e37dc9526d316142.html,,2026-01-13T11:14:55.738666,,https://www.cropkingseeds.com/feminized-seeds/tidal-wave-strain/,,,24,16%,29,19,19-29%,,500 g/m2,250-400 g/plant,63,121.92,121.92,500,400,,,,,tidal wave strain,,Tidal Wave Strain,tidalwavestrain,FALSE,,,Tidal Wave
761cf026-a262-46ee-a6a5-c6630bc2f305,crop_king,Supernova Strain,,Crop King Seeds,low,0.56,0.23,0.23-0.56%,,,"Supernova Strain is an Indica-dominant hybrid from Blueberry and Mazar I Sharif, prized for high yields, frosty buds, and strong pest resistance.",,,,,,,,ing of the legendary Blueberry and Mazar I Sharif,Medium (5 to 8 FT),Medium (5 to 8 FT),,,FALSE,html/daf88daf1c4e1605.html,,2026-01-13T11:14:55.993051,,https://www.cropkingseeds.com/feminized-seeds/supernova-strain/,,,24,14-25%,28,20,20-28%,,550-600g/m2,500g/plant,70,243.84,243.84,600,500,,,,,supernova strain,,Supernova Strain,supernovastrain,FALSE,,,Supernova
e6b7f041-d193-4d11-944e-cdace6225cd8,crop_king,Purple Pineapple Strain,,Crop King Seeds,1%,12,10,10-12%,,,"Purple Pineapple is an Indica-dominant hybrid blending sweet Pineapple Express flavors with the rich, deep purple tones of The Purps for a tropical escape.",,,,,,,,"make it even easier to cultivate, ensuring that your plants focus on producing dense, potent buds",Medium (5 to 8 FT),Medium (5 to 8 FT),,,FALSE,html/3306084d6e924cb3.html,,2026-01-13T11:14:56.272138,,https://www.cropkingseeds.com/feminized-seeds/purple-pineapple-strain-feminized-marijuana-seeds/,,,18,17-21%,20,16,16-20%,,400 g/m2,550 g/plant,70,243.84,243.84,400,550,,,,,purple pineapple strain,,Purple Pineapple Strain,purplepineapplestrain,FALSE,,,Purple Pineapple
