strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted
5aa39d7d-bf49-4590-ab89-2e3da7628fb2,seedsman_js,platinum green apple candy feminized seeds atl pgac fem,,,,,,,,,,,,,,,,,,,,,,,html_js/0001e4b9a9c43140_js.html,,2026-01-15T18:13:52.133243,,https://www.seedsman.com/us-en/platinum-green-apple-candy-feminized-seeds-atl-pgac-fem,,,,,,,,,,,,,,,,,,,,platinum green apple candy feminized seeds atl pgac fem,,platinum green apple candy feminized seeds atl pgac fem,platinumgreenapplecandyfeminizedseedsatlpgacfem,FALSE,,,Platinum Green Apple Candy
aafe0235-5e18-41fd-81a3-efbefe365825,seedsman_js,cbg relief auto feminized seeds sman cbgr auto fem,,,,,,,,,"Experience natural wellness with CBG Relief Auto Feminised Seeds. High-quality, easy-to-grow seeds providing a potent blend for therapeutic benefits.",,,,,,,,,,,,,,html_js/003152eeb067dfdf_js.html,,2026-01-15T18:13:52.949454,,https://www.seedsman.com/us-en/cbg-relief-auto-feminized-seeds-sman-cbgr-auto-fem,,,,,,,,,,,,,,,,,,,,cbg relief auto feminized seeds sman cbgr auto fem,,cbg relief auto feminized seeds sman cbgr auto fem,cbgreliefautofeminizedseedssmancbgrautofem,TRUE,,,Cbg Relief
d83a4c2a-19b8-465e-8da9-f56cd1d07599,seedsman_js,Deluxe Sugarcane Feminized Seeds,,In House GeneticsParental linesSlurmint IX #7 x Pl,,,,,,,"Discover Deluxe Sugarcane Feminised Seeds, a top-quality product for robust plant growth. Exclusively selected for superior performance, resilience and high yield.",,,,2,,,,,,,,,,html_js/005677a4b6fe91d9_js.html,,2026-01-15T18:13:53.644605,Feminized,https://www.seedsman.com/us-en/deluxe-sugarcane-feminized-seeds-ihg-desu-fem,,,,,,,,,,,,,,,,,,,,deluxe sugarcane feminized seeds,,Deluxe Sugarcane Feminized Seeds,deluxesugarcanefeminizedseeds,FALSE,,,Deluxe Sugarcane
dcddd0da-55bd-4722-ba22-1f2ffe986ad1,seedsman_js,Jellycat Feminised Seeds,,,,,,,,,"Jellycat Feminised Seeds #html-body [data-pb-style=SR81TQP]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}Jellycat is a bushy, indi",,,,,,,,,,,,,,html_js/0069dced9e352170_js.html,,2026-01-15T18:13:54.231934,,https://www.seedsman.com/us-en/jellycat-feminised-seeds-mosca-jlycat-fem,,,,,,,,,,,,,,,,,,,,jellycat feminised seeds,,Jellycat Feminised Seeds,jellycatfeminisedseeds,FALSE,,,Jellycat
7c300b5c-9acd-4372-a67c-10e62eca2bf1,seedsman_js,Tangielope Kush Regular Seeds,,DNA GeneticsParental lines24K x Chocolope KushVari,,,,,,"indoor, outdoor",Tangielope Kush Regular Seeds grow an atypical indica-dominant strain in terms of both its morphology and effect. Growers will harvest some high yields of uplifting weed with a rich terpene profile. Good for extract-makers.,,,4,4,,,,,,,,,,html_js/00fe2b433cd7e88d_js.html,,2026-01-15T18:13:54.761741,Regular,https://www.seedsman.com/us-en/tangielope-kush-regular-seeds-dna-taku-reg,,myrcene,,,,,,,High Yield (450-600gr/m2),High Yield (450-750gr/plant),,,,600,750,,,,,tangielope kush regular seeds,,Tangielope Kush Regular Seeds,tangielopekushregularseeds,FALSE,,,Tangielope Kush
5307f268-cbf6-413b-b5d1-1b02d33826b4,seedsman_js,Granddaddy Purple Auto Feminised Seeds,,Royal Queen SeedsParental linesGranddaddy Purple x,,,,,,,"Purchase Granddaddy Purple Auto Feminised Seeds from Seedsman today! Enjoy top-quality seeds at competitive prices,with delivery across the US in just 2-12 days",,,1,,,,,,,,,,,html_js/0129f3a261517cf6_js.html,,2026-01-15T18:13:55.310652,Autoflower,https://www.seedsman.com/us-en/granddaddy-purple-auto-feminised-seeds-rqs-grdp-auto-fem,,,,,,,,,High Yield (450-600gr/m2),,,,,600,,,,,,granddaddy purple auto feminised seeds,,Granddaddy Purple Auto Feminised Seeds,granddaddypurpleautofeminisedseeds,TRUE,,,Granddaddy Purple
2bac2f76-a823-47aa-86fe-74d150c5bf6b,seedsman_js,Pink Mist Auto Feminised Seeds,,Royal Queen SeedsParental linesPink Mist x Royal H,Low CBD (0-1%),,,,,,Small autoflowering plants for tight spaces. Buy Pink Mist Auto Feminised seeds online from Seedsman and receive fast delivery and our famous customer service.,,,3,,,,,,,,,,,html_js/01f58cfb63a07690_js.html,,2026-01-15T18:13:55.824595,Feminized,https://www.seedsman.com/us-en/pink-mist-auto-feminised-seeds-rqs-pmist-auto-fem,,,,,,,,,Average Yield (350-450gr/m2),Modest Yield (up to 200gr/plant),,,,450,200,,,,,pink mist auto feminised seeds,,Pink Mist Auto Feminised Seeds,pinkmistautofeminisedseeds,TRUE,,,Pink Mist
781a3040-dba7-45f0-8d47-7d02ceb54a47,seedsman_js,Baja Blast S1 Feminised Seeds,,Mosca SeedsParental linesMtn Deux Baja Blast selec,,,,,,,Baja Blast S1 Feminised Seeds is a slightly indica-dominant strain that grows large plants outdoors with a robust branching structure. Delicious sweet citrus flavours.,,,,1,,,,,,,,,,html_js/02424504df3a5da3_js.html,,2026-01-15T18:13:56.298020,,https://www.seedsman.com/us-en/baja-blast-s1-feminised-seeds-mosca-babls1-fem,,,,,,,,,High Yield (450-600gr/m2),Very High Yield (above 750gr/plant),,,,600,750,,,,,baja blast s1 feminised seeds,,Baja Blast S1 Feminised Seeds,bajablasts1feminisedseeds,FALSE,,,Baja Blast S1
e9c936a8-bcb6-4275-8d3d-d0cb31c89015,seedsman_js,duck auto feminized seeds dp auto duck,,,,,,,,,,,,,,,,,,,,,,,html_js/02f8558201a813a5_js.html,,2026-01-15T18:13:56.746798,,https://www.seedsman.com/us-en/duck-auto-feminized-seeds-dp-auto-duck,,,,,,,,,,,,,,,,,,,,duck auto feminized seeds dp auto duck,,duck auto feminized seeds dp auto duck,duckautofeminizedseedsdpautoduck,TRUE,,,Duck
ba44955f-3181-49cb-b8ef-a484e857ef19,seedsman_js,planet of the grapes auto feminized seeds etho potg auto fem,,,,,,,,,Planet of the Grapes Auto Feminised Seeds #html-body [data-pb-style=DASJCIW]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}Planet o,,,,,,,,,,,,,,html_js/030536901b20e841_js.html,,2026-01-15T18:13:57.163884,,https://www.seedsman.com/us-en/planet-of-the-grapes-auto-feminized-seeds-etho-potg-auto-fem,,,,,,,,,,,,,,,,,,,,planet of the grapes auto feminized seeds etho potg auto fem,,planet of the grapes auto feminized seeds etho potg auto fem,planetofthegrapesautofeminizedseedsethopotgautofem,TRUE,,,Planet Of The Grapes
