strain_id,genetics_raw,thc_raw,cbd_raw,category_type_raw,flowering_time_raw,height_indoor_raw,height_outdoor_raw,harvest_time_raw,yield_indoor_raw,yield_outdoor_raw,terpenes_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max
30a5eb1c-c1eb-4212-b506-68b1618f04d1,Afghani x Acapulco Gold x Colombian Gold,17%,0.20%,Indica Dominant Hybrid,8-10 weeks,Medium (5 to 8 FT),Medium (5 to 8 FT),October,400g/m2,500g/plant,"Limonene, Ocimene, Phellandrene, Pinene, Sabinene",17.0,17.0,17.0,0.2,0.2,0.2,56.0,70.0,63.0,152.4,243.84,152.4,243.84,2.0,400.0,500.0,500.0
5aef0d2e-8418-4632-8e22-991e61d19807,Alien Cookies F2 and Miracle 15,23% to 30%,low CBD,Balanced Hybrid,9-10 weeks,Small (0-4 FT),Small (0-4 FT),Early October,6-8 ounces,18 ounces,,23.0,30.0,26.5,,,,63.0,70.0,66.5,0.0,121.92,0.0,121.92,6.0,8.0,18.0,18.0
879c0654-37c0-4da7-a4ae-97585ea6d42f,F1 Durban x Gushers x Runtz,23%,0.76%,Indica Dominant Hybrid,8-10 weeks,Small (0-4 FT),Small (0-4 FT),October,375-425g/m2,400-450g/plant,,23.0,23.0,23.0,0.76,0.76,0.76,56.0,70.0,63.0,0.0,121.92,0.0,121.92,2.0,425.0,400.0,450.0
b04d0406-75b6-4937-85e4-2a08f93b1a47,Original Skunk #1 x Ruderalis,14%,0.20%,Indica Dominant Hybrid,8-10 weeks,Small (0-4 FT),Medium (5 to 8 FT),All Year,250-300g/m2,110g/plant,"Ocimene, Phellandrene, Pinene, Sabinene",14.0,14.0,14.0,0.2,0.2,0.2,56.0,70.0,63.0,0.0,121.92,152.4,243.84,2.0,300.0,110.0,110.0
20f4cfbe-b23f-469e-abe5-01a09578ae7d,Zkittles x Moonbow #75,20-25%,low,Balanced Hybrid,8-9 weeks,Medium (5 to 8 FT),Medium (5 to 8 FT),Late September to early October,400-500 g/m²,500-600 g/plant,,20.0,25.0,22.5,,,,56.0,63.0,59.5,152.4,243.84,152.4,243.84,400.0,500.0,500.0,600.0
55159d10-801d-4d1e-a4e9-5a5e642ecf63,Crtical + Auto x Critical +,16-20%,0.30%,Indica Dominant Hybrid,10-12 weeks,Small (0-4 FT),Medium (5 to 8 FT),All year,500g/m2,100-300g/plant,"Delta 3 Carene, Ocimene, Phellandrene, Sabinene",16.0,20.0,18.0,0.3,0.3,0.3,70.0,84.0,77.0,0.0,121.92,152.4,243.84,2.0,500.0,100.0,300.0
5879b8ef-40f8-40f5-9b03-679687a2939a,Bruce Banner #3 x Strawberry Diesel x OG Kush,30%,0.80%,Sativa Dominant Hybrid,8-10 weeks,Small (0-4 FT),Small (0-4 FT),October,450 g,550 g,"Caryophyllene, Linalool, Myrcene, Pinene, Terpinolene",30.0,30.0,30.0,0.8,0.8,0.8,56.0,70.0,63.0,0.0,121.92,0.0,121.92,450.0,450.0,550.0,550.0
82f648da-1880-40f6-934f-8da7de3c3cc4,Critical x Critical +,18%,0.30%,Sativa,8-10 weeks,Small (0-4 FT),Small (0-4 FT),September,25 oz/m2,32 oz/plant,"Caryophyllene, Limonene, Linalool, Myrcene, Pinene",18.0,18.0,18.0,0.3,0.3,0.3,56.0,70.0,63.0,0.0,121.92,0.0,121.92,2.0,25.0,32.0,32.0
93c838c2-2428-4f9a-a850-8822213cb217,Guava and Gelato 41,15-24%,0.20%,Indica Dominant Hybrid,8-9 weeks,Small (0-4 FT),Medium (5 to 8 FT),Late September &#8211; Early October,550g/m2,600-700 g/plant,,15.0,24.0,19.5,0.2,0.2,0.2,56.0,63.0,59.5,0.0,121.92,152.4,243.84,2.0,550.0,600.0,700.0
97b68025-1e35-4ba2-a42b-2d96f867870e,Chem D x Super Silver Sour Diesel Haze,18.46% to 27.57%,1%,Sativa Dominant Hybrid,9-10 weeks,Medium (5 to 8 FT),Medium (5 to 8 FT),Mid-October,400-450g/m2,450-500g/plant,,18.46,27.57,23.015,1.0,1.0,1.0,63.0,70.0,66.5,152.4,243.84,152.4,243.84,2.0,450.0,450.0,500.0
