strain_id,thc_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max
e7ef6363-9096-467d-83cc-8c15ba1248c9,30%,30.0,30.0,30.0,,,,,,,,,,,,,,
0029da4d-b993-4e3a-bd7e-10127c702ace,19%,19.0,19.0,19.0,,,,,,,,,,,,,,
02a0f1a5-085e-4fe4-ae4a-5346dc9c5f7c,20%,20.0,20.0,20.0,,,,,,,,,,,,,,
02d8c485-56f1-4f4c-b4e7-ce1ca32a51b5,22%,22.0,22.0,22.0,,,,,,,,,,,,,,
05408220-02ff-4d9c-81fa-c8b6424cca7e,18%,18.0,18.0,18.0,,,,,,,,,,,,,,
06979ba6-69a8-4545-9ca6-1490ab59b76b,18%,18.0,18.0,18.0,,,,,,,,,,,,,,
07cebb26-f320-4c79-97c0-73ff3e26383a,27%,27.0,27.0,27.0,,,,,,,,,,,,,,
099e3581-3663-4915-a53a-540b02e21a58,20%,20.0,20.0,20.0,,,,,,,,,,,,,,
0baf523b-6133-4133-9544-ef7955534686,20%,20.0,20.0,20.0,,,,,,,,,,,,,,
0c014fe6-1506-47a1-9ec6-52a8410c610f,28%,28.0,28.0,28.0,,,,,,,,,,,,,,
