strain_id,thc_raw,yield_raw,flowering_raw,height_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max
00a022fb-5033-479a-9341-c64bad4fe1b6,17% THC,500 to 550 gr/seed,End of September,"60 to 100 cm Inside, 200 to 270 cm Outside",17.0,17.0,17.0,,,,,,,60.0,270.0,,,500.0,550.0,,
0139b45f-7dc4-431f-b86d-899de774839c,8.1%,,1st half of Nov. in a greenhouse,,8.1,8.1,8.1,,,,1.0,1.0,1.0,,,,,,,,
056e0396-77fa-4626-9b73-e30b478e67c6,,30-110 gr/plant,Yes,,,,,,,,,,,,,,,30.0,110.0,,
0c38b36a-e625-47e2-8349-18ec617955cb,28 ± 2%,Good,End of September – Beginning of October,,2.0,28.0,15.0,,,,,,,,,,,,,,
14c3bc69-c995-4482-8809-6eb6c3c61242,,Good,7 weeks,medium,,,,,,,49.0,49.0,49.0,,,,,,,,
15929600-9132-4479-9a7a-8aaac483dca2,,Good,9 weeks,,,,,,,,63.0,63.0,63.0,,,,,,,,
18c5eeef-a1a5-499b-a993-14506d193e86,,,2 months from seed,,,,,,,,2.0,2.0,2.0,,,,,,,,
2421b3e9-6300-4de4-b668-2c9afe2f6b34,27-30%,550-650 grams /m2,11 weeks,90 - 110cm indoors,27.0,30.0,28.5,,,,77.0,77.0,77.0,90.0,110.0,,,2.0,650.0,,
260eeb8a-8aa8-4eee-87d1-922f2457eff0,,450-500g/m²,Sep-Oct,70-100cm,,,,,,,,,,70.0,100.0,,,450.0,500.0,,
42709909-c9f5-497d-bc8e-389feac36627,18%,,Yes,,18.0,18.0,18.0,,,,,,,,,,,,,,
