strain_id,lineage_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max
8631bc2d-b52e-472f-b604-b75c58a3b2c8,Shogun #11 x Jealousy,,,,,,,,,,,,,,,,,
674e2a56-6c31-4432-8437-a0a50ca8b52b,Assassin&#039;s Creed #2 - Shogun #12 x Jealousy,,,,,,,,,,,,,,,,,
bb4aae55-957d-4c7a-a816-770bb1cb4b84,(Blueberry Thai x Greatful Breath) x Blueberry Thai.,,,,,,,,,,,,,,,,,
c915ed1e-9262-4de9-b33f-b22a9c282c20,BlowPops x CaliSunset. Flowering Time: 56-65 Days,,,,,,,,,,,,,,,,,
ce395a14-98ad-4733-a703-a472735b8913,Pineapplesorbetfreak Nl x BerryFreak,,,,,,,,,,,,,,,,,
f5664c6e-0e27-4efe-af3d-b4adc55b66db,Acai Gelato x Sherb BX1,,,,,,,,,,,,,,,,,
3ae7cd5d-fdaf-498c-aabb-9a08f69a52ea,ALIEN COOKIES F3 x GREEN CHERRY OGEE,,,,,,,,,,,,,,,,,
20f1c76e-7d15-42c0-a8d0-b321b42d21db,Pineapple Pomegranate F3 x South African. Flowering Time: 56-65 Days,,,,,,,,,,,,,,,,,
2f168396-5a7e-43e4-be31-0aa5af376f07,Pre-98 Bubba x The Whip,,,,,,,,,,,,,,,,,
525e8049-163a-4d03-86c6-55059b290f5a,Blueberry Breath x Blueberry Breath. Flower Time: 65+ Days.,,,,,,,,,,,,,,,,,
