strain_id,thc_raw,yield_raw,flowering_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max,yield_indoor_raw,yield_outdoor_raw,flowering_time_raw,outdoor_harvest_raw,height_indoor_raw,height_outdoor_raw,cbd_raw,genetics_raw,category_type_raw,harvest_time_raw,terpenes_raw,height_raw,lineage_raw,seed_type_raw,growth_type_raw,strain_type_raw,terpene_profile_raw,flavor_profile_raw
404c1743-5b66-41d1-b492-856af2138931,Up to 21%,Average,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
436208dd-9101-4da5-bc7b-f4cffb46add2,Up to 30%,Average,Fast (6-10 weeks),30,30,30,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
741608c9-8a62-45c9-97d3-d1a22170ecad,Up to 23%,High,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
0096fef0-9066-48ad-bcc1-f73a541db7fd,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
2db127f3-8bfe-4099-81e9-ce0aae7feeb2,Up to 15%,High,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
6af19699-a6c2-4ff0-b164-07ed0c5ff2a6,Up to 21%,High,Average (8-12 weeks),21,21,21,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
821f4358-7620-4f1a-abc3-4d010731ba96,Up to 30%,High,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83448770-4bd5-4974-815b-d77914d5ee54,Up to 23%,High,Fast (6-10 weeks),23,23,23,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
856d4882-4de5-4f50-a9e4-44e7db0f999d,Up to 25%,High,Fast (6-10 weeks),25,25,25,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
8683b4d8-5a53-48ca-8c35-e7285ad4c31f,Up to 15%,High,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
914a6f01-d2f3-47a4-bad2-b16d3a7ea281,Up to 21%,High,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
94044704-5d47-4d31-bd25-d24a7d0e8381,Up to 24%,Extreme,Fast (6-10 weeks),24,24,24,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
b135d712-ae1c-4ca1-b979-697b48d8d888,Up to 24%,Extreme,Fast (6-10 weeks),24,24,24,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
b3b20b4b-d98d-4dad-b99f-28e9ce9ba41a,Up to 23%,High,Average (8-12 weeks),23,23,23,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
